time,open,high,low,close,volume,open_interest,average_price,MA5,MA15,MA30,DIF,DEA,MACD,ATR,BOLL_MID,BOLL_UP,BOLL_LOW,RSI,K,D,J
2005-01-04,29110.000000,29190.000000,28270.000000,28560.000000,67105,57682,28860.000000,,,,0.000000,0.000000,0.000000,,,,,,,,
2005-01-05,27990.000000,27990.000000,27990.000000,27990.000000,2027,56292,27990.000000,,,,-45.470085,-9.094017,-72.752137,,,,,,,,
2005-01-06,28070.000000,28520.000000,28050.000000,28470.000000,59218,58093,28388.040000,,,,-42.286020,-15.732418,-53.107205,,,,,,,,
2005-01-07,28380.000000,28570.000000,28310.000000,28420.000000,38109,59508,28420.000000,,,,-43.298095,-21.245553,-44.105083,,,,,,,,
2005-01-10,28390.000000,28590.000000,27930.000000,28150.000000,57966,64126,28280.000000,28318.000000,,,-65.136066,-30.023656,-70.224821,,,,,,,,
2005-01-11,28360.000000,28550.000000,28330.000000,28510.000000,44327,62525,28430.000000,28308.000000,,,-52.785348,-34.575994,-36.418707,,,,,,,,
2005-01-12,28800.000000,28920.000000,28730.000000,28900.000000,36235,62306,28810.000000,28490.000000,,,-11.396206,-29.940036,37.087661,,,,,,,,
2005-01-13,28820.000000,28870.000000,28650.000000,28810.000000,38064,63238,28770.000000,28558.000000,,,13.981569,-21.155715,70.274569,,,,,,,,
2005-01-14,28550.000000,28810.000000,28520.000000,28800.000000,39577,63883,28690.000000,28634.000000,,,32.907386,-10.343095,86.500962,,,,,,69.047619,69.047619,69.047619
2005-01-17,29000.000000,29530.000000,28950.000000,29290.000000,51507,61105,29280.000000,28862.000000,,,86.448611,9.015246,154.866730,,,,,,78.619048,74.790476,86.276190
2005-01-18,29200.000000,29340.000000,28980.000000,29250.000000,43874,61297,29200.000000,29010.000000,,,124.220812,32.056359,184.328906,,,,,,80.457393,77.474805,86.422570
2005-01-19,29350.000000,29630.000000,29310.000000,29590.000000,43420,60556,29510.000000,29148.000000,,,179.521302,61.549348,235.943909,,,,,,87.597716,81.679707,99.433735
2005-01-20,29540.000000,29750.000000,29470.000000,29570.000000,32465,60205,29600.000000,29300.000000,,,219.206629,93.080804,252.251649,,,,,,88.562105,84.321765,97.042786
2005-01-21,29880.000000,30010.000000,29740.000000,30000.000000,33813,56672,29859.950000,29540.000000,,,282.103034,130.885250,302.435568,462.857143,,,,70.338983,92.524159,87.319031,102.934415
2005-01-24,30290.000000,30710.000000,30270.000000,30620.000000,35579,54480,30480.000000,29806.000000,28995.333333,,377.624685,180.233137,394.783095,447.857143,,,,74.759615,93.715998,89.583911,101.980172
2005-01-25,30290.000000,30590.000000,30290.000000,30580.000000,25537,52682,30430.000000,30072.000000,29130.000000,,444.969286,233.180367,423.577838,430.714286,,,,85.674931,93.836683,91.059060,99.391930
2005-01-26,30520.000000,30610.000000,29870.000000,30080.000000,39256,50553,30230.000000,30170.000000,29269.333333,,452.775236,277.099341,351.351790,445.714286,,,,72.054795,86.100855,89.362185,79.578193
