time,open,high,low,close,volume,open_interest,average_price,MA5,MA15,MA30,DIF,DEA,MACD,ATR,BOLL_MID,BOLL_UP,BOLL_LOW,RSI,K,D,J
2006-01-06,4700.000000,4800.000000,4650.000000,4741.000000,10786,2257,4751.000000,,,,0.000000,0.000000,0.000000,,,,,,,,
2006-01-09,4739.000000,4756.000000,4703.000000,4720.000000,2843,2021,4724.000000,,,,-1.675214,-0.335043,-2.680342,,,,,,,,
2006-01-10,4687.000000,4750.000000,4650.000000,4745.000000,3653,2286,4721.000000,,,,-0.974310,-0.462896,-1.022828,,,,,,,,
2006-01-11,4750.000000,4755.000000,4689.000000,4710.000000,5210,2693,4714.000000,,,,-3.206089,-1.011535,-4.389108,,,,,,,,
2006-01-12,4700.000000,4705.000000,4664.000000,4668.000000,3560,2906,4675.000000,4716.800000,,,-8.268524,-2.462933,-11.611183,,,,,,,,
2006-01-13,4665.000000,4678.000000,4628.000000,4632.000000,3052,2722,4648.000000,4695.000000,,,-15.012386,-4.972823,-20.079126,,,,,,,,
2006-01-16,4707.000000,4834.000000,4694.000000,4833.000000,12599,4214,4795.000000,4717.600000,,,-4.090770,-4.796413,1.411286,,,,,,,,
2006-01-17,4833.000000,4873.000000,4822.000000,4847.000000,13983,5080,4846.000000,4738.000000,,,5.629480,-2.711234,16.681428,,,,,,,,
2006-01-18,4884.000000,5018.000000,4861.000000,4990.000000,25299,6478,4972.000000,4794.000000,,,24.588314,2.748676,43.679277,,,,,,92.820513,92.820513,92.820513
2006-01-19,5000.000000,5100.000000,4982.000000,5025.000000,31902,7139,5023.000000,4865.400000,,,41.953916,10.589724,62.728384,,,,,,87.594307,89.684789,83.413342
2006-01-20,5112.000000,5204.000000,5110.000000,5201.000000,26447,8486,5150.000000,4979.200000,,,69.121223,22.296023,93.650398,,,,,,93.223977,91.361247,96.949438
2006-01-23,5356.000000,5356.000000,5356.000000,5356.000000,405,8201,5356.000000,5083.800000,,,101.983116,38.233442,127.499348,,,,,,96.038633,93.304161,101.507577
2006-01-24,5490.000000,5678.000000,5450.000000,5678.000000,30178,9172,5603.000000,5250.000000,,,152.254022,61.037558,182.432929,,,,,,97.559347,94.937669,102.802705
2006-01-25,5670.000000,5811.000000,5586.000000,5712.000000,33380,8361,5708.000000,5394.400000,,,192.617222,87.353491,210.527463,134.857143,,,,89.184826,95.393212,95.104130,95.971375
2006-01-26,5741.000000,5937.000000,5680.000000,5934.000000,39621,11743,5815.000000,5576.200000,5052.800000,,239.755146,117.833822,243.842648,142.500000,,,,90.828200,96.938818,95.753711,99.309032
2006-01-27,6048.000000,6048.000000,5950.000000,6030.000000,27603,12989,6005.000000,5742.000000,5138.733333,,281.612434,150.589544,262.045780,146.857143,,,,92.643229,97.491376,96.356451,99.761225
2006-02-06,6246.000000,6246.000000,6220.000000,6246.000000,5796,14154,6245.000000,5920.000000,5240.466667,,328.428117,186.157259,284.541717,155.142857,,,,93.456862,98.349916,97.038686,100.972378
2006-02-07,6110.000000,6110.000000,5995.000000,5995.000000,2880,13669,6031.000000,5983.400000,5323.800000,,341.341508,217.194109,248.294799,168.357143,,,,83.067422,92.173640,95.388385,85.744149
2006-02-08,5669.000000,5669.000000,5669.000000,5669.000000,623,13356,5669.000000,5974.800000,5387.733333,,321.563208,238.067929,166.990559,188.357143,,,,72.474181,77.684162,89.417953,54.216580
2006-02-09,5625.000000,5880.000000,5500.000000,5650.000000,35809,12879,5696.000000,5918.000000,5453.200000,,300.887181,250.631779,100.510804,211.928571,5269.100000,6357.179312,4181.020688,73.031674,62.685074,80.437780,27.179662
2006-02-10,5468.000000,5585.000000,5468.000000,5468.000000,22465,13519,5512.000000,5805.600000,5508.933333,,266.740582,253.853540,25.774085,210.500000,5305.450000,6367.508473,4243.391527,64.491100,42.439793,67.706368,-8.093355
2006-02-13,5380.000000,5428.000000,5275.000000,5308.000000,36661,13205,5344.000000,5618.000000,5540.600000,,224.184238,247.919679,-47.470883,220.642857,5334.850000,6360.604310,4309.095690,59.863072,29.381317,54.887440,-21.630929
2006-02-14,5370.000000,5445.000000,5357.000000,5433.000000,28430,12871,5411.000000,5505.600000,5579.666667,,198.259076,237.987559,-79.456965,218.214286,5369.250000,6357.162179,4381.337821,59.551531,25.001504,44.902659,-14.800806
2006-02-15,5420.000000,5470.000000,5386.000000,5401.000000,24801,11664,5427.000000,5452.000000,5607.066667,,173.135271,225.017101,-103.763661,215.785714,5403.800000,6341.701712,4465.898288,58.117444,20.986995,36.918616,-10.876246
2006-02-16,5390.000000,5433.000000,5353.000000,5364.000000,19953,10569,5400.000000,5394.800000,5629.666667,,148.526759,209.719033,-122.384548,208.714286,5438.600000,6310.904244,4566.295756,53.743684,17.042596,30.286545,-9.445301
2006-02-17,5300.000000,5339.000000,5184.000000,5280.000000,13744,8656,5261.000000,5357.200000,5634.933333,,120.853119,191.945850,-142.185463,210.500000,5471.000000,6261.456231,4680.543769,48.195632,14.815948,25.126187,-5.804532
2006-02-20,5280.000000,5354.000000,5256.000000,5338.000000,8107,7402,5327.000000,5363.200000,5633.733333,,102.421029,174.040886,-143.239714,194.500000,5496.250000,6231.210615,4761.289385,40.770901,17.253877,22.500900,6.759832
2006-02-21,5631.000000,5710.000000,5535.000000,5701.000000,22391,9597,5618.000000,5416.800000,5635.266667,,115.770006,162.386710,-93.233407,205.000000,5538.950000,6211.685961,4866.214039,49.746661,36.268839,27.091594,54.623331
2006-02-22,5700.000000,5813.000000,5666.000000,5767.000000,48136,12948,5757.000000,5490.000000,5638.933333,,130.174248,155.944217,-51.539939,197.142857,5577.800000,6205.276013,4950.323987,45.856079,55.078599,36.422466,92.390865
2006-02-23,5850.000000,5880.000000,5666.000000,5680.000000,53186,12869,5781.000000,5553.200000,5622.000000,5337.400000,133.035984,151.362571,-36.653173,204.285714,5610.550000,6182.454473,5038.645527,41.276171,60.474576,44.440908,92.541913
2006-02-24,5549.000000,5630.000000,5549.000000,5550.000000,34428,11751,5579.000000,5607.200000,5590.000000,5364.366667,123.391636,145.768384,-44.753496,198.214286,5628.000000,6167.678267,5088.321733,31.875000,57.844886,48.909299,75.716060
