time,open,high,low,close,volume,open_interest,average_price,MA5,MA15,MA30,DIF,DEA,MACD,ATR,BOLL_MID,BOLL_UP,BOLL_LOW,RSI,K,D,J
2013-09-26,525.400000,535.200000,523.800000,534.400000,154324,16085,529.400000,,,,0.000000,0.000000,0.000000,,,,,,,,
2013-09-27,535.800000,550.600000,533.200000,546.600000,215148,19785,545.000000,,,,0.973219,0.194644,1.557151,,,,,,,,
2013-09-30,545.000000,555.800000,542.200000,555.000000,120028,22409,548.800000,,,,2.394708,0.634657,3.520102,,,,,,,,
2013-10-08,555.000000,555.000000,538.400000,547.400000,91564,17693,544.400000,,,,2.874852,1.082696,3.584312,,,,,,,,
2013-10-09,546.400000,549.600000,541.600000,547.000000,95069,17602,547.200000,546.080000,,,3.186362,1.503429,3.365866,,,,,,,,
2013-10-10,545.600000,552.000000,545.600000,547.400000,85068,22889,548.200000,548.680000,,,3.426020,1.887947,3.076146,,,,,,,,
2013-10-11,549.200000,550.800000,546.800000,547.200000,44504,21611,548.600000,548.800000,,,3.558789,2.222115,2.673347,,,,,,,,
2013-10-14,548.000000,561.200000,547.200000,560.000000,143103,30975,556.600000,549.800000,,,4.643336,2.706360,3.873954,,,,,,,,
2013-10-15,561.000000,567.000000,559.200000,563.400000,127571,34499,563.000000,553.000000,,,5.711363,3.307360,4.808005,,,,,,91.666667,91.666667,91.666667
2013-10-16,563.200000,565.800000,560.000000,563.800000,91037,34630,562.800000,556.360000,,,6.514958,3.948880,5.132156,,,,,,90.986193,91.258383,90.441815
2013-10-17,565.000000,567.800000,558.800000,561.800000,139065,35170,564.000000,559.240000,,,6.910766,4.541257,4.739018,,,,,,85.588867,88.572822,79.620955
2013-10-18,562.000000,563.200000,557.400000,562.400000,71644,33306,560.800000,562.280000,,,7.189981,5.071002,4.237958,,,,,,83.945516,86.650711,78.535128
2013-10-21,563.000000,564.200000,558.000000,559.000000,64967,28324,560.800000,562.080000,,,7.055576,5.467917,3.175319,,,,,,77.214722,83.028364,65.587438
2013-10-22,558.200000,560.800000,555.600000,560.200000,65553,24170,558.000000,561.440000,,,6.965595,5.767452,2.396285,9.371429,,,,74.339623,73.031119,79.375236,60.342885
2013-10-23,561.000000,564.400000,558.200000,559.800000,75620,20850,561.400000,560.640000,554.360000,,6.783808,5.970723,1.626168,9.000000,,,,73.782772,69.091772,75.734320,55.806677
2013-10-24,560.200000,560.400000,552.200000,553.200000,58538,22597,555.200000,558.920000,555.613333,,6.037578,5.984094,0.106967,8.342857,,,,56.903766,55.229016,68.621695,28.443658
2013-10-25,554.000000,556.400000,552.800000,555.600000,44250,19208,554.800000,557.560000,556.213333,,5.575573,5.902390,-0.653634,7.628571,,,,50.717703,43.786660,60.122260,11.115458
2013-10-28,556.400000,560.200000,554.800000,558.200000,53035,21689,557.800000,557.400000,556.426667,,5.357472,5.793406,-0.871869,6.828571,,,,64.673913,41.980294,53.968218,18.004447
2013-10-29,557.800000,559.400000,555.800000,558.600000,34182,21624,557.600000,557.080000,557.173333,,5.157450,5.666215,-1.017530,6.514286,,,,65.760870,41.658354,49.816937,25.341189
2013-10-30,559.000000,562.000000,554.400000,556.800000,63403,21881,557.000000,556.480000,557.826667,,4.798374,5.492647,-1.388546,6.600000,554.890000,570.143355,539.636645,62.303665,40.330307,46.630165,27.730589
2013-10-31,555.400000,558.000000,554.600000,555.200000,29787,21235,556.200000,556.880000,558.346667,,4.334728,5.261063,-1.852670,6.557143,555.930000,567.751319,544.108681,60.101010,35.056494,42.752350,19.664783
2013-11-01,553.000000,559.200000,553.000000,559.000000,25327,19062,556.600000,557.560000,559.133333,,4.225209,5.053892,-1.657367,6.000000,556.550000,567.585541,545.514459,48.366013,41.973927,42.491984,40.937813
2013-11-04,559.000000,560.800000,556.600000,557.400000,25447,16996,558.600000,557.400000,558.960000,,3.963617,4.835837,-1.744441,5.742857,556.670000,567.686753,545.653247,39.583333,42.190763,42.391347,41.789596
2013-11-05,556.800000,557.600000,554.000000,554.000000,16965,17639,555.800000,556.480000,558.333333,,3.442272,4.557124,-2.229705,5.585714,557.000000,567.213716,546.786284,34.591195,34.237516,39.669259,23.374030
2013-11-06,554.000000,555.200000,550.800000,550.800000,17625,17234,553.000000,555.280000,557.466667,,2.739311,4.193562,-2.908501,5.257143,557.190000,566.740288,547.639712,33.333333,22.813416,34.044936,0.350375
2013-11-07,551.200000,553.600000,550.200000,552.000000,14473,13932,552.000000,554.640000,556.813333,,2.253068,3.805463,-3.104789,5.085714,557.420000,566.165188,548.674812,34.523810,20.291984,29.457515,1.960921
2013-11-08,559.000000,565.600000,558.600000,559.800000,42262,15355,562.800000,554.800000,556.640000,,2.468655,3.538101,-2.138893,5.614286,558.050000,565.399185,550.700815,51.052632,34.313535,31.076919,40.786767
2013-11-11,560.400000,563.000000,558.200000,559.200000,20125,15213,561.000000,555.160000,556.653333,,2.561566,3.342794,-1.562457,5.585714,558.010000,565.323117,550.696883,48.663102,42.358629,34.838620,57.398647
2013-11-12,559.400000,560.400000,558.000000,560.200000,16605,16678,559.400000,556.400000,556.653333,,2.684939,3.211223,-1.052568,5.314286,557.850000,564.797472,550.902528,50.526316,49.885617,39.855291,69.946267
2013-11-13,560.000000,564.000000,559.200000,563.200000,18310,15733,562.000000,558.880000,556.880000,555.620000,2.990318,3.167042,-0.353448,5.071429,557.820000,564.663699,550.976301,64.534884,61.397144,47.036869,90.117696
2013-11-14,564.200000,566.600000,562.200000,565.000000,19098,16433,564.400000,561.480000,557.666667,556.640000,3.339087,3.201451,0.275272,5.128571,557.980000,565.345238,550.614762,63.905325,71.013587,55.029821,102.981121
2013-11-15,565.800000,567.600000,565.200000,565.800000,19445,16324,566.400000,562.680000,558.346667,557.280000,3.638105,3.288782,0.698646,4.928571,558.150000,566.080089,550.219911,61.875000,77.227818,62.429593,106.824269
2013-11-18,566.600000,573.000000,566.400000,572.000000,31939,19250,570.800000,565.240000,559.266667,557.846667,4.325505,3.496127,1.658757,5.185714,558.800000,568.866725,548.733275,67.724868,83.356800,69.405605,111.259190
2013-11-19,571.800000,576.200000,571.200000,576.000000,29525,19154,574.000000,568.400000,560.426667,558.800000,5.133861,3.823673,2.620375,5.000000,559.590000,572.262041,546.917959,74.000000,88.648263,75.819993,114.304801
2013-11-20,576.200000,577.600000,574.600000,576.800000,27407,19959,576.200000,571.120000,561.760000,559.793333,5.772501,4.213439,3.118123,4.971429,560.440000,575.268479,545.611521,77.551020,91.071674,80.903976,111.407068
2013-11-21,576.000000,577.600000,573.600000,574.400000,25790,19741,575.800000,573.000000,563.040000,560.693333,6.015623,4.573876,2.883494,4.814286,561.500000,577.157115,545.842885,70.370370,88.605577,83.471206,98.874317
2013-11-22,575.600000,590.600000,575.400000,588.400000,87457,27823,585.400000,577.520000,565.000000,562.066667,7.254358,5.109972,4.288772,5.671429,563.140000,582.603585,543.676415,80.876494,90.154241,85.698902,99.064919
2013-11-25,590.000000,597.600000,590.000000,593.000000,85201,31008,594.000000,581.720000,567.373333,563.166667,8.509158,5.789809,5.438697,6.071429,564.880000,588.303389,541.456611,87.937743,89.443101,86.946975,94.435354
2013-11-26,594.800000,597.400000,592.200000,597.200000,43026,34353,594.200000,585.960000,570.253333,564.293333,9.730336,6.577915,6.304842,6.128571,566.810000,594.097005,539.522995,94.274809,92.585431,88.826467,100.103359
2013-11-27,598.000000,598.600000,588.400000,592.200000,80616,35421,593.000000,589.040000,573.013333,565.240000,10.177351,7.297802,5.759099,6.614286,568.580000,597.666267,539.493733,85.765125,88.669719,88.774217,88.460723
2013-11-28,593.000000,596.000000,591.800000,594.000000,61355,38334,593.800000,592.960000,575.813333,566.313333,10.555186,7.949279,5.211814,5.942857,570.520000,600.991495,540.048505,84.063745,87.684573,88.411002,86.231715
2013-11-29,595.000000,596.800000,592.200000,595.000000,82828,41691,594.800000,594.280000,578.160000,567.400000,10.810695,8.521562,4.578266,5.928571,572.320000,604.149123,540.490877,85.375494,87.410153,88.077385,86.075688
2013-12-02,595.800000,596.600000,589.600000,594.800000,50206,43764,593.600000,594.640000,580.533333,568.593333,10.871727,8.991595,3.760264,6.257143,574.190000,606.715287,541.664713,84.738956,86.540101,87.564957,84.490390
2013-12-03,594.000000,600.400000,589.800000,591.200000,123081,49373,595.600000,593.440000,582.600000,569.626667,10.508471,9.294970,2.427001,6.671429,576.050000,607.962743,544.137257,77.777778,79.583945,84.904619,68.942598
2013-12-04,591.000000,593.200000,587.200000,589.200000,89252,50760,590.600000,592.840000,584.333333,570.606667,9.944569,9.424890,1.039358,6.785714,577.970000,608.054590,547.885410,73.913043,71.455961,80.421731,53.524420
2013-12-05,591.000000,597.200000,590.000000,592.400000,112590,50018,594.000000,592.520000,586.160000,571.913333,9.644708,9.468853,0.351709,7.171429,579.990000,608.092512,551.887488,75.094340,60.768618,73.870692,34.564470
2013-12-06,593.000000,596.200000,591.000000,596.000000,72179,46655,593.600000,592.720000,588.173333,573.260000,9.587042,9.492491,0.189102,7.028571,581.800000,609.078216,554.521784,73.809524,62.734635,70.158673,47.886559
2013-12-09,597.600000,599.400000,592.400000,593.200000,62541,46590,595.600000,592.400000,589.586667,574.426667,9.209247,9.435842,-0.453191,7.171429,583.500000,609.029673,557.970327,67.479675,56.974604,65.763983,39.395848
2013-12-10,593.000000,594.800000,591.200000,592.600000,38392,42894,593.000000,592.680000,590.693333,575.560000,8.760441,9.300762,-1.080642,7.214286,585.120000,608.440702,561.799298,66.122449,51.619433,61.049133,32.760034
2013-12-11,592.200000,593.600000,582.000000,584.400000,76378,50690,588.000000,591.720000,591.200000,576.480000,7.654848,8.971579,-2.633463,7.757143,586.180000,607.110320,565.249680,59.124088,38.760781,53.619682,9.042979
2013-12-12,585.000000,587.200000,580.400000,581.400000,63064,47308,583.400000,589.520000,591.666667,577.353333,6.462091,8.469682,-4.015181,7.085714,587.000000,605.590773,568.409227,42.009132,27.507187,44.915517,-7.309472
2013-12-13,582.000000,583.400000,570.200000,575.800000,97057,34695,574.400000,585.480000,590.826667,577.913333,5.007230,7.777191,-5.539923,7.371429,587.500000,604.123889,570.876111,30.803571,24.519140,38.116724,-2.676028
2013-12-16,576.600000,581.400000,574.800000,579.400000,69925,39857,579.400000,582.720000,589.920000,578.646667,4.097498,7.041253,-5.887509,7.471429,587.870000,603.329979,572.410021,29.864253,26.848376,34.360608,11.823913
2013-12-17,581.000000,581.000000,578.000000,578.400000,27033,38769,579.000000,579.880000,588.666667,579.460000,3.258278,6.284658,-6.052760,6.957143,587.990000,603.095231,572.884769,32.835821,27.259648,31.993622,17.791702
2013-12-18,579.200000,582.000000,576.000000,579.400000,39749,40128,578.800000,578.880000,587.813333,580.413333,2.643410,5.556408,-5.825996,7.085714,588.120000,602.860078,573.379922,31.472081,28.675382,30.887542,24.251062
2013-12-19,579.800000,582.400000,570.400000,572.000000,71154,43355,574.600000,577.000000,586.346667,581.080000,1.541238,4.753374,-6.424272,7.614286,588.000000,603.240942,572.759058,24.890830,21.171716,27.648933,8.217281
2013-12-20,571.400000,573.800000,566.200000,567.000000,62437,39005,569.600000,575.240000,584.480000,581.320000,0.261289,3.854957,-7.187336,7.657143,586.930000,604.826204,569.033796,22.529644,15.046878,23.448248,-1.755862
2013-12-23,567.600000,569.000000,565.400000,566.800000,31812,36498,567.000000,572.720000,582.613333,581.573333,-0.760453,2.931875,-7.384655,7.157143,585.620000,605.383614,565.856386,24.152542,11.686098,19.527532,-3.996768
2013-12-24,567.200000,572.600000,567.000000,570.400000,41236,33809,570.200000,571.120000,581.226667,581.913333,-1.265116,2.092477,-6.715187,7.142857,584.280000,604.369233,564.190767,30.737705,15.435992,18.163685,9.980606
