time,open,high,low,close,volume,open_interest,average_price,MA5,MA15,MA30,DIF,DEA,MACD,ATR,BOLL_MID,BOLL_UP,BOLL_LOW,RSI,K,D,J
2018-03-26,440.000000,447.100000,426.300000,429.900000,20328,1557,433.800000,,,,0.000000,0.000000,0.000000,,,,,,,,
2018-03-27,429.900000,431.700000,412.600000,424.000000,20301,1968,426.400000,,,,-0.470655,-0.094131,-0.753048,,,,,,,,
2018-03-28,429.000000,429.200000,406.500000,410.400000,33599,3037,414.100000,,,,-1.918939,-0.459093,-2.919693,,,,,,,,
2018-03-29,410.500000,412.000000,401.600000,409.700000,33334,3866,406.800000,,,,-3.087606,-0.984795,-4.205622,,,,,,,,
2018-03-30,407.400000,421.700000,405.000000,420.300000,29281,3529,412.000000,418.860000,,,-3.122459,-1.412328,-3.420261,,,,,,,,
2018-04-02,420.500000,421.300000,413.800000,416.600000,12322,3268,417.000000,416.200000,,,-3.409338,-1.811730,-3.195215,,,,,,,,
2018-04-03,414.300000,414.300000,400.500000,402.500000,26413,4273,405.500000,411.900000,,,-4.720034,-2.393391,-4.653286,,,,,,,,
2018-04-04,403.800000,406.900000,399.000000,401.500000,22117,4582,402.300000,410.120000,,,-5.772915,-3.069296,-5.407239,,,,,,,,
2018-04-09,398.200000,403.500000,397.700000,402.300000,7735,4752,400.500000,408.640000,,,-6.468216,-3.749080,-5.438273,,,,,,9.311741,9.311741,9.311741
2018-04-10,404.200000,415.200000,403.800000,413.500000,30845,4496,410.100000,407.280000,,,-6.045808,-4.208425,-3.674766,,,,,,31.607049,22.688926,49.443296
2018-04-11,415.000000,421.800000,414.100000,417.800000,33217,6231,418.200000,407.520000,,,-5.302944,-4.427329,-1.751230,,,,,,46.860853,34.138786,72.304987
2018-04-12,421.000000,429.900000,416.900000,428.700000,55038,7237,424.400000,412.760000,,,-3.790980,-4.300059,1.018158,,,,,,67.386020,47.949176,106.259709
2018-04-13,425.300000,428.700000,423.300000,427.000000,31546,6740,426.100000,417.860000,,,-2.698803,-3.979808,2.562010,,,,,,76.448718,58.889758,111.566637
2018-04-16,427.700000,431.000000,423.500000,424.400000,32642,6747,427.900000,422.280000,,,-2.019761,-3.587799,3.136075,12.435714,,,,46.609125,77.812245,65.804291,101.828153
2018-04-17,426.000000,427.500000,421.500000,427.400000,27500,6501,425.100000,425.060000,417.066667,,-1.225414,-3.115322,3.779815,11.378571,,,,48.513674,81.840313,71.481931,102.557078
2018-04-18,422.800000,431.400000,420.600000,429.700000,40169,7314,425.400000,427.440000,417.053333,,-0.405622,-2.573382,4.335519,10.785714,,,,53.540373,86.389542,76.652898,105.862832
2018-04-19,435.000000,444.000000,432.500000,440.600000,42358,7964,437.800000,429.820000,418.160000,,1.110803,-1.836545,5.894696,10.185714,,,,69.408740,88.534349,80.719154,104.164738
2018-04-20,440.700000,443.000000,435.300000,436.700000,34215,7808,439.900000,431.760000,419.913333,,1.975116,-1.074213,6.098657,9.992857,,,,66.666667,86.263790,82.599982,93.591404
2018-04-23,435.100000,441.200000,432.400000,439.700000,35169,7993,436.300000,434.820000,421.913333,,2.869091,-0.285552,6.309287,9.428571,,,,63.215259,86.046254,83.762176,90.614412
2018-04-24,434.200000,449.200000,432.200000,447.300000,45795,9162,440.900000,438.800000,423.713333,,4.143071,0.600173,7.085798,10.107143,422.500000,449.006484,395.993516,69.857697,88.757616,85.440256,95.392336
2018-04-25,447.000000,448.900000,436.600000,438.000000,49496,8092,443.200000,440.460000,425.140000,,4.352109,1.350560,6.003098,9.835714,422.905000,450.125463,395.684537,74.482759,79.403400,83.417578,71.375045
2018-04-26,437.100000,445.000000,434.400000,441.400000,54628,8143,439.400000,440.620000,427.733333,,4.737513,2.027951,5.419126,10.028571,423.775000,452.227204,395.322796,76.635514,77.170375,81.328019,68.855087
2018-04-27,444.000000,445.500000,440.400000,444.200000,40291,8128,442.500000,442.120000,430.580000,,5.208842,2.664129,5.089425,9.978571,425.465000,454.579748,396.350252,77.243173,78.956824,80.535812,75.798849
2018-05-02,439.700000,444.400000,436.000000,443.500000,16727,8627,441.200000,442.880000,433.326667,,5.462915,3.223886,4.478058,9.657143,427.155000,456.340539,397.969461,72.590361,79.328425,80.132736,77.719804
2018-05-03,441.600000,448.000000,439.100000,447.000000,55599,10696,442.600000,442.820000,435.560000,,5.878923,3.754893,4.248058,9.700000,428.490000,458.777110,398.202890,72.256098,81.907843,80.725039,84.273449
2018-05-04,443.800000,448.800000,442.800000,446.900000,50347,10228,445.500000,444.600000,437.500000,,6.129881,4.229891,3.799980,9.200000,430.005000,460.814669,399.195331,66.605839,83.429788,81.627232,87.034898
2018-05-07,448.300000,461.600000,448.300000,458.300000,67501,11393,454.700000,447.980000,439.473333,,7.166046,4.817122,4.697848,9.864286,432.795000,463.220991,402.369009,74.263566,85.212499,82.822861,89.991776
2018-05-08,460.600000,462.400000,456.900000,459.100000,55463,11672,459.500000,450.960000,441.613333,,7.960010,5.445699,5.028620,9.721429,435.675000,464.490045,406.859955,77.671451,86.499669,84.048832,91.401343
2018-05-09,459.100000,466.600000,445.300000,465.200000,122134,12880,455.800000,455.300000,444.333333,,8.977958,6.152151,5.651614,10.814286,438.820000,465.980234,411.659766,78.723404,89.551116,85.883295,96.886758
2018-05-10,466.300000,478.400000,466.000000,476.400000,82728,15310,470.600000,461.180000,447.600000,432.333333,10.566631,7.035047,7.063167,10.985714,441.965000,471.263125,412.666875,81.258367,91.519189,87.762177,99.033212
2018-05-11,474.200000,474.300000,467.000000,471.200000,82843,14068,470.400000,466.040000,450.366667,433.710000,11.276085,7.883255,6.785660,10.635714,444.635000,474.390019,414.879981,72.173913,88.685496,88.069977,89.916533
2018-05-14,471.700000,472.600000,462.700000,465.600000,84129,12244,468.600000,467.500000,452.033333,435.096667,11.256699,8.557944,5.397511,10.792857,446.480000,476.647923,416.312077,70.438472,82.393730,86.177783,74.825626
2018-05-15,467.500000,475.600000,467.500000,472.800000,75024,13936,471.000000,470.240000,454.440000,437.176667,11.687588,9.183872,5.007431,10.878571,448.770000,479.656488,417.883512,72.096128,83.512743,85.289401,79.959428
2018-05-16,478.000000,478.000000,470.500000,473.100000,96918,12944,474.100000,471.820000,456.666667,439.290000,11.915919,9.730282,4.371275,10.200000,451.205000,481.677937,420.732063,69.082840,84.045963,84.874911,82.388067
2018-05-17,472.000000,485.300000,470.500000,481.900000,110103,15507,476.800000,472.920000,458.973333,441.343333,12.661011,10.316428,4.689167,10.378571,453.930000,485.177205,422.682795,82.712370,86.530686,85.426845,88.738366
2018-05-18,485.000000,488.600000,481.900000,486.500000,89663,14960,484.800000,475.980000,462.206667,443.673333,13.467439,10.946630,5.041619,10.100000,456.770000,489.052444,424.487556,83.016105,89.403863,86.752533,94.706521
2018-05-21,484.800000,486.000000,477.000000,482.400000,87834,13446,482.400000,479.340000,464.940000,446.336667,13.618716,11.481047,4.275337,10.414286,458.860000,492.131793,425.588207,77.442529,88.162996,87.222691,90.043607
2018-05-22,480.000000,486.500000,478.300000,485.100000,66508,14530,482.800000,481.800000,467.666667,449.123333,13.797423,11.944322,3.706201,10.400000,461.280000,494.805017,427.754983,79.050279,87.604157,87.349847,88.112776
2018-05-23,486.000000,493.800000,482.600000,484.600000,109047,15478,488.100000,484.100000,470.406667,451.866667,13.740314,12.303520,2.873586,10.564286,463.525000,496.978747,430.071253,77.405248,81.875420,85.525032,74.576197
2018-05-24,484.500000,487.400000,478.100000,485.000000,108584,15207,483.000000,484.720000,472.940000,454.250000,13.570894,12.556995,2.027798,10.800000,465.410000,499.260563,431.559437,77.648766,78.484999,83.178349,69.098299
2018-05-25,481.100000,483.800000,476.600000,477.400000,90187,15482,480.600000,482.900000,474.973333,456.236667,12.677236,12.581043,0.192385,10.350000,467.380000,499.028304,435.731696,64.669739,64.870840,77.075836,40.460847
2018-05-28,467.400000,470.500000,456.600000,462.800000,122797,15169,464.300000,478.980000,475.273333,457.373333,10.667934,12.198422,-3.060974,11.442857,468.450000,497.760641,439.139359,52.344740,48.802766,67.651470,11.105358
