time,open,high,low,close,volume,open_interest,average_price,MA5,MA15,MA30,DIF,DEA,MACD,ATR,BOLL_MID,BOLL_UP,BOLL_LOW,RSI,K,D,J
2014-03-21,3252.000000,3336.000000,3230.000000,3324.000000,93739,26015,3300.000000,,,,0.000000,0.000000,0.000000,,,,,,,,
2014-03-24,3314.000000,3330.000000,3266.000000,3330.000000,43405,23808,3304.030000,,,,0.478632,0.095726,0.765812,,,,,,,,
2014-03-25,3326.000000,3400.000000,3320.000000,3378.000000,59927,30628,3358.000000,,,,4.677235,1.012028,7.330413,,,,,,,,
2014-03-26,3370.000000,3382.000000,3354.000000,3376.000000,18938,30280,3368.000000,,,,7.753892,2.360401,10.786982,,,,,,,,
2014-03-27,3368.000000,3386.000000,3350.000000,3362.000000,20115,30715,3364.000000,3354.000000,,,8.959206,3.680162,10.558088,,,,,,,,
2014-03-28,3376.000000,3386.000000,3360.000000,3382.000000,17145,31540,3372.000000,3365.600000,,,11.396882,5.223506,12.346753,,,,,,,,
2014-03-31,3396.000000,3422.000000,3382.000000,3410.000000,30485,32820,3402.000000,3381.600000,,,15.410482,7.260901,16.299162,,,,,,,,
2014-04-01,3412.000000,3418.000000,3396.000000,3414.000000,8948,32068,3406.000000,3388.800000,,,18.698511,9.548423,18.300175,,,,,,,,
2014-04-02,3410.000000,3426.000000,3388.000000,3390.000000,14285,34350,3404.000000,3391.600000,,,19.146983,11.468135,15.357696,,,,,,81.632653,81.632653,81.632653
2014-04-03,3384.000000,3414.000000,3382.000000,3410.000000,10353,34205,3398.000000,3401.200000,,,20.875593,13.349627,15.051932,,,,,,86.653061,84.644898,90.669388
2014-04-04,3412.000000,3440.000000,3402.000000,3440.000000,10680,35047,3422.000000,3412.800000,,,24.385181,15.556738,17.656886,,,,,,92.975295,88.590876,101.744135
2014-04-08,3450.000000,3488.000000,3442.000000,3480.000000,20143,40436,3468.000000,3426.800000,,,30.047847,18.454959,23.185775,,,,,,93.485223,90.623912,99.207844
2014-04-09,3488.000000,3488.000000,3444.000000,3452.000000,16451,40917,3461.990000,3434.400000,,,31.908365,21.145641,21.525449,,,,,,85.971732,88.838004,80.239188
2014-04-10,3450.000000,3470.000000,3442.000000,3446.000000,9815,40616,3456.000000,3445.600000,,,32.523775,23.421267,18.205016,45.000000,,,,72.592593,79.107720,85.282427,66.758306
2014-04-11,3430.000000,3452.000000,3430.000000,3434.000000,6550,38420,3440.000000,3450.400000,3401.866667,,31.678028,25.072620,13.210817,39.000000,,,,69.503546,68.467961,79.329175,46.745533
2014-04-14,3432.000000,3464.000000,3432.000000,3438.000000,6321,38510,3446.000000,3450.000000,3409.466667,,30.973491,26.252794,9.441394,36.714286,,,,69.285714,63.043725,73.680280,41.770614
2014-04-15,3442.000000,3448.000000,3418.000000,3448.000000,10362,37762,3430.000000,3443.600000,3417.333333,,30.866249,27.175485,7.381529,33.142857,,,,64.462810,62.776927,69.948764,48.433253
2014-04-16,3446.000000,3446.000000,3410.000000,3418.000000,9269,34076,3418.000000,3436.800000,3420.000000,,28.037314,27.347851,1.378926,33.857143,,,,57.777778,53.002536,64.200335,30.606940
2014-04-17,3428.000000,3428.000000,3410.000000,3412.000000,2795,33702,3418.000000,3430.000000,3422.400000,,25.022765,26.882834,-3.720137,32.571429,,,,59.541985,39.049684,55.718729,5.711595
2014-04-18,3410.000000,3412.000000,3346.000000,3354.000000,25880,33249,3370.000000,3414.000000,3421.866667,,17.748999,25.056067,-14.614135,35.428571,3404.900000,3489.289822,3320.510178,45.333333,27.824541,46.348446,-9.223269
2014-04-21,3340.000000,3364.000000,3340.000000,3340.000000,4146,32418,3350.000000,3394.400000,3419.066667,,10.731103,22.191074,-22.919942,34.285714,3405.700000,3487.111495,3324.288505,37.762238,18.501791,37.018287,-18.531200
2014-04-22,3340.000000,3366.000000,3324.000000,3354.000000,11979,30475,3344.000000,3375.600000,3415.333333,,6.227268,18.998313,-25.542089,35.714286,3406.900000,3484.217936,3329.582064,39.864865,19.186187,31.053823,-4.549084
2014-04-23,3358.000000,3388.000000,3336.000000,3380.000000,9922,29460,3358.000000,3368.000000,3413.066667,,4.701731,16.138996,-22.874531,36.714286,3407.000000,3484.165577,3329.834423,48.322148,26.140005,29.412134,19.595746
2014-04-24,3376.000000,3396.000000,3366.000000,3390.000000,6324,29043,3380.000000,3363.600000,3413.066667,,4.250649,13.761327,-19.021356,36.571429,3407.700000,3483.929846,3331.470154,46.527778,33.151630,30.660534,38.133824
2014-04-25,3398.000000,3400.000000,3372.000000,3378.000000,4283,29285,3382.000000,3368.400000,3410.933333,,2.891532,11.587368,-17.391672,35.857143,3408.500000,3483.027282,3333.972718,38.518519,36.620737,32.649287,44.563638
2014-04-28,3372.000000,3372.000000,3334.000000,3336.000000,8677,28315,3342.000000,3367.600000,3404.000000,,-1.556682,8.958558,-21.030481,35.571429,3406.200000,3486.765371,3325.634629,23.529412,27.686468,30.993894,21.071616
2014-04-29,3334.000000,3374.000000,3334.000000,3360.000000,4368,27846,3358.000000,3368.800000,3396.000000,,-3.109481,6.544950,-19.308862,35.285714,3403.700000,3486.831095,3320.568905,32.835821,29.997149,30.661496,28.668456
2014-04-30,3370.000000,3370.000000,3338.000000,3344.000000,4974,27605,3344.000000,3361.600000,3388.800000,,-5.566978,4.122564,-19.379086,35.571429,3400.200000,3487.304535,3313.095465,31.654676,27.573128,29.631730,23.455924
2014-05-05,3334.000000,3362.000000,3224.000000,3352.000000,5784,26863,3340.000000,3354.000000,3382.533333,,-6.790750,1.939901,-17.461304,43.857143,3398.300000,3487.961586,3308.638414,35.036496,42.627528,33.964531,59.953521
2014-05-06,3342.000000,3364.000000,3336.000000,3344.000000,2361,26490,3350.000000,3347.200000,3376.533333,3389.200000,-8.310335,-0.110146,-16.400379,43.571429,3395.000000,3487.656695,3302.343305,33.093525,51.146763,39.692708,74.054875
2014-05-07,3338.000000,3358.000000,3330.000000,3332.000000,4766,26392,3340.000000,3346.400000,3369.466667,3389.466667,-10.363453,-2.160807,-16.405292,43.428571,3389.600000,3483.789954,3295.410046,29.285714,54.552691,44.646477,74.365120
2014-05-08,3330.000000,3338.000000,3310.000000,3312.000000,6649,24822,3320.000000,3336.800000,3360.400000,3388.866667,-13.449361,-4.418518,-18.061686,42.714286,3381.200000,3471.321789,3291.078211,30.370370,53.035037,47.442830,64.219452
2014-05-09,3312.000000,3330.000000,3302.000000,3318.000000,4806,24675,3318.000000,3331.600000,3353.733333,3386.866667,-15.235194,-6.581853,-17.306681,43.428571,3374.500000,3462.355144,3286.644856,32.592593,53.159727,49.348538,60.782105
2014-05-12,3332.000000,3336.000000,3298.000000,3336.000000,5756,24132,3316.000000,3328.400000,3348.666667,3385.533333,-15.024833,-8.270449,-13.508767,41.428571,3369.000000,3451.625343,3286.374657,46.086957,60.328896,53.008754,74.969181
2014-05-13,3336.000000,3346.000000,3320.000000,3326.000000,3347,23913,3332.000000,3324.800000,3346.800000,3384.333333,-15.486517,-9.713663,-11.545709,41.571429,3363.600000,3442.365207,3284.834793,46.902655,62.885976,56.301219,76.055489
2014-05-14,3326.000000,3330.000000,3314.000000,3324.000000,3872,22508,3318.000000,3323.200000,3345.733333,3382.400000,-15.831296,-10.937189,-9.788213,39.714286,3357.900000,3430.232274,3285.567726,42.990654,64.755056,59.119198,76.026772
2014-05-15,3324.000000,3328.000000,3298.000000,3300.000000,2333,22369,3312.000000,3320.800000,3342.133333,3378.733333,-17.835537,-12.316859,-11.037357,38.142857,3350.500000,3413.730572,3287.269428,31.132075,61.265248,59.834553,64.126637
2014-05-16,3294.000000,3300.000000,3240.000000,3272.000000,5949,22089,3272.000000,3311.600000,3334.933333,3374.000000,-21.436177,-14.140722,-14.590908,40.285714,3343.200000,3407.323565,3279.076435,24.347826,49.445588,56.371547,35.593669
2014-05-19,3262.000000,3284.000000,3250.000000,3264.000000,3701,21930,3268.000000,3297.200000,3326.533333,3369.800000,-24.651080,-16.242794,-16.816572,40.714286,3335.800000,3400.648325,3270.951675,24.778761,39.743352,50.828796,17.572465
