time,open,high,low,close,volume,open_interest,average_price,MA5,MA15,MA30,DIF,DEA,MACD,ATR,BOLL_MID,BOLL_UP,BOLL_LOW,RSI,K,D,J
2009-05-25,6575.000000,6630.000000,6435.000000,6490.000000,53882,6139,6495.000000,,,,0.000000,0.000000,0.000000,,,,,,,,
2009-05-26,6485.000000,6540.000000,6445.000000,6460.000000,19145,5281,6480.000000,,,,-2.393162,-0.478632,-3.829060,,,,,,,,
2009-05-27,6500.000000,6535.000000,6460.000000,6485.000000,17001,5173,6495.000000,,,,-2.246573,-0.832221,-2.828704,,,,,,,,
2009-06-01,6555.000000,6595.000000,6520.000000,6570.000000,13089,5176,6555.000000,,,,4.674506,0.269125,8.810762,,,,,,,,
2009-06-02,6590.000000,6590.000000,6545.000000,6555.000000,6748,4694,6560.000000,6512.000000,,,8.847151,1.984730,13.724842,,,,,,,,
2009-06-03,6565.000000,6595.000000,6550.000000,6580.000000,7340,4726,6565.000000,6530.000000,,,14.009797,4.389743,19.240108,,,,,,,,
2009-06-04,6545.000000,6570.000000,6530.000000,6555.000000,4266,4390,6550.000000,6549.000000,,,15.900648,6.691924,18.417447,,,,,,,,
2009-06-05,6590.000000,6695.000000,6575.000000,6655.000000,9932,5098,6640.000000,6583.000000,,,25.178087,10.389157,29.577861,,,,,,,,
2009-06-08,6650.000000,6970.000000,6620.000000,6970.000000,53674,17486,6920.000000,6663.000000,,,57.288012,19.768928,75.038168,,,,,,100.000000,100.000000,100.000000
2009-06-09,7020.000000,7160.000000,6910.000000,7040.000000,177433,23976,7030.000000,6760.000000,,,87.376551,33.290453,108.172197,,,,,,89.930070,93.958042,81.874126
2009-06-10,7120.000000,7130.000000,6955.000000,6990.000000,106076,19206,7025.000000,6842.000000,,,105.965845,47.825531,116.280627,,,,,,83.196277,88.860364,71.868104
2009-06-11,7025.000000,7050.000000,6930.000000,6930.000000,52459,19142,6980.000000,6917.000000,,,114.536193,61.167663,106.737060,,,,,,75.248401,83.206164,59.332874
2009-06-12,6955.000000,6970.000000,6790.000000,6820.000000,71327,19673,6890.000000,6950.000000,,,111.170669,71.168265,80.004809,,,,,,64.032528,75.845669,40.406248
2009-06-15,6800.000000,6910.000000,6755.000000,6855.000000,54975,20662,6840.000000,6927.000000,,,110.058983,78.946408,62.225150,141.785714,,,,69.312169,59.484874,69.867213,38.720196
2009-06-16,6805.000000,6890.000000,6800.000000,6850.000000,31603,19485,6850.000000,6889.000000,6720.333333,,107.534911,84.664109,45.741604,134.285714,,,,68.947368,56.407700,65.101800,39.019499
2009-06-17,6830.000000,6990.000000,6800.000000,6940.000000,101671,24056,6935.000000,6879.000000,6750.333333,,111.511379,90.033563,42.955632,141.071429,,,,73.762376,58.483863,62.806252,49.839083
2009-06-18,6965.000000,7085.000000,6910.000000,6945.000000,110258,25965,7005.000000,6882.000000,6782.666667,,113.754921,94.777834,37.954173,148.214286,,,,73.232323,59.066116,61.526244,54.145859
2009-06-19,6970.000000,7015.000000,6890.000000,6915.000000,56215,24544,6940.000000,6901.000000,6811.333333,,111.823167,98.186901,27.272532,149.285714,,,,68.449198,52.431073,58.441018,40.411183
2009-06-22,6850.000000,6930.000000,6815.000000,6815.000000,48718,24338,6865.000000,6893.000000,6827.666667,,101.058138,98.761148,4.593980,154.285714,,,,62.745098,40.145347,52.271131,15.893778
2009-06-23,6755.000000,6810.000000,6715.000000,6770.000000,43952,22250,6750.000000,6877.000000,6842.000000,,87.882596,96.585438,-17.405684,158.214286,6759.500000,7149.073316,6369.926684,59.134615,31.653066,45.345061,4.269077
2009-06-24,6795.000000,6795.000000,6715.000000,6770.000000,24420,21293,6755.000000,6843.000000,6854.666667,,76.558366,92.580024,-32.043314,160.357143,6773.500000,7141.840518,6405.159482,60.591133,26.028097,38.872817,0.338656
2009-06-25,6770.000000,6865.000000,6750.000000,6830.000000,35475,22472,6820.000000,6820.000000,6873.000000,,71.599971,88.384013,-33.568083,158.571429,6792.000000,7129.956709,6454.043291,58.974359,27.718214,35.141836,12.870972
2009-06-26,6880.000000,6920.000000,6825.000000,6885.000000,27506,20853,6860.000000,6814.000000,6888.333333,,71.286700,84.964550,-27.355702,140.357143,6812.000000,7119.423932,6504.576068,44.055944,33.808032,34.696217,32.031662
2009-06-29,6865.000000,6865.000000,6770.000000,6775.000000,18948,20755,6815.000000,6806.000000,6875.333333,,61.453946,80.262429,-37.616967,130.714286,6822.250000,7108.651908,6535.848092,32.450331,27.935152,32.439092,18.927272
2009-06-30,6820.000000,6915.000000,6800.000000,6885.000000,34925,22904,6860.000000,6829.000000,6865.000000,,61.824820,76.574908,-29.500175,128.214286,6838.750000,7096.959931,6580.540069,43.558282,33.944850,32.941521,35.951506
2009-07-01,6855.000000,6905.000000,6820.000000,6855.000000,23045,22066,6845.000000,6846.000000,6856.000000,,59.017673,73.063461,-28.091576,125.714286,6852.500000,7080.177057,6624.822943,45.222930,38.188327,34.691641,45.181699
2009-07-02,6830.000000,6895.000000,6815.000000,6830.000000,22940,20812,6850.000000,6846.000000,6849.333333,,54.151472,69.281063,-30.259181,118.571429,6866.250000,7046.567702,6685.932298,50.714286,43.290643,37.559269,54.753393
2009-07-03,6800.000000,6880.000000,6770.000000,6855.000000,29958,20196,6835.000000,6840.000000,6851.666667,,51.716113,65.768073,-28.103919,115.357143,6876.250000,7026.998134,6725.501866,50.000000,51.627164,42.249978,70.381536
2009-07-06,6850.000000,6955.000000,6840.000000,6870.000000,43933,20251,6900.000000,6859.000000,6852.666667,,50.415293,62.697517,-24.564449,117.142857,6871.250000,7015.394482,6727.105518,51.428571,55.946753,46.816485,74.207289
2009-07-07,6890.000000,6930.000000,6880.000000,6925.000000,19973,20823,6905.000000,6867.000000,6857.666667,6789.000000,53.209062,60.799826,-15.181528,107.857143,6865.500000,6988.997283,6742.002717,48.872180,65.754431,53.129977,91.003337
2009-07-08,6890.000000,6905.000000,6845.000000,6870.000000,13964,17859,6875.000000,6870.000000,6853.000000,6801.666667,50.404077,58.720676,-16.633198,101.071429,6859.500000,6968.316601,6750.683399,44.755245,61.853958,56.038230,73.485413
2009-07-09,6840.000000,6870.000000,6815.000000,6865.000000,13606,18230,6840.000000,6877.000000,6847.666667,6815.166667,47.233174,56.423176,-18.380004,96.071429,6856.250000,6959.963928,6752.536072,46.376812,58.352881,56.809826,61.438991
2009-07-10,6880.000000,6985.000000,6865.000000,6880.000000,43494,19211,6925.000000,6882.000000,6845.333333,6828.333333,45.407159,54.219972,-17.625627,96.428571,6859.250000,6962.015702,6756.484298,55.371901,55.956089,56.525236,54.817796
2009-07-13,6905.000000,6910.000000,6840.000000,6845.000000,20243,18454,6875.000000,6877.000000,6847.333333,6837.500000,40.667038,51.509385,-21.684696,94.285714,6858.750000,6961.699911,6755.800089,56.302521,48.931781,53.994017,38.807308
2009-07-14,6870.000000,6880.000000,6840.000000,6860.000000,11451,19231,6855.000000,6864.000000,6853.333333,6847.666667,37.686406,48.744790,-22.116767,91.428571,6859.250000,6962.118081,6756.381919,57.377049,46.574634,51.520846,36.682210
2009-07-15,6870.000000,6950.000000,6850.000000,6930.000000,29360,23212,6910.000000,6876.000000,6864.000000,6859.333333,40.505725,47.096977,-13.182504,90.357143,6858.750000,6960.050751,6757.449249,58.064516,55.856067,52.965937,61.636327
2009-07-16,6955.000000,7000.000000,6890.000000,6930.000000,27790,23580,6945.000000,6889.000000,6870.666667,6871.833333,42.252989,46.128179,-7.750381,91.428571,6858.000000,6956.803367,6759.196633,53.982301,57.958115,54.630009,64.614327
2009-07-17,6945.000000,7030.000000,6930.000000,7000.000000,52675,30493,6980.000000,6913.000000,6878.333333,6883.333333,48.724458,46.647435,4.154046,90.357143,6862.250000,6977.346070,6747.153930,71.428571,67.320963,58.860349,84.242190
2009-07-20,7030.000000,7075.000000,6990.000000,7005.000000,36948,31182,7020.000000,6945.000000,6893.666667,6884.500000,53.638293,48.045606,11.185373,86.428571,6871.750000,7000.928579,6742.571421,64.285714,69.239623,62.320119,83.078630
2009-07-21,7010.000000,7010.000000,6860.000000,6905.000000,27824,27839,6930.000000,6954.000000,6895.000000,6880.000000,48.899693,48.216424,1.366539,91.071429,6878.500000,6999.116836,6757.883164,55.102041,57.698183,60.779470,51.535610
2009-07-22,6905.000000,6945.000000,6865.000000,6875.000000,19105,25523,6905.000000,6943.000000,6896.333333,6876.166667,42.236691,47.020477,-9.567572,91.071429,6883.750000,6993.096143,6774.403857,54.545455,43.429973,54.996295,20.297327
2009-07-23,6900.000000,6915.000000,6845.000000,6895.000000,15807,25367,6880.000000,6936.000000,6900.666667,6875.000000,38.130503,45.242482,-14.223960,88.214286,6887.000000,6993.444945,6780.555055,54.081633,36.754727,48.915766,12.432647
2009-07-24,6900.000000,6935.000000,6880.000000,6905.000000,13982,24704,6905.000000,6917.000000,6904.000000,6877.833333,35.276588,43.249304,-15.945431,83.928571,6888.000000,6994.741202,6781.258798,53.608247,33.723007,43.851510,13.466002
2009-07-27,6910.000000,7045.000000,6910.000000,7035.000000,26617,26824,6975.000000,6923.000000,6915.000000,6883.833333,43.008973,43.201238,-0.384528,89.642857,6901.000000,7012.996241,6789.003759,59.821429,50.018244,45.907089,58.240555
2009-07-28,7245.000000,7340.000000,7195.000000,7270.000000,55158,36301,7275.000000,6996.000000,6938.000000,6897.833333,67.323418,48.025674,38.595489,105.714286,6920.250000,7119.233602,6721.266398,77.027027,61.965028,51.259737,83.375611
2009-07-29,7250.000000,7360.000000,7155.000000,7220.000000,61718,32806,7255.000000,7065.000000,6961.333333,6907.166667,81.617374,54.744014,53.746720,116.428571,6938.500000,7175.589812,6701.410188,72.611465,65.581864,56.033780,84.678032
2009-07-30,7200.000000,7495.000000,7185.000000,7490.000000,184132,63404,7410.000000,7184.000000,7003.000000,6925.333333,113.424691,66.480149,93.889084,130.000000,6971.500000,7307.922354,6635.077646,79.326923,76.798167,62.955244,104.484015
2009-07-31,7560.000000,7750.000000,7520.000000,7660.000000,151185,66930,7650.000000,7335.000000,7055.000000,6950.166667,150.613619,83.306843,134.613551,143.571429,7011.750000,7462.635386,6560.864614,84.680851,81.217195,69.042561,105.566462
2009-08-03,7745.000000,7865.000000,7550.000000,7740.000000,213796,74772,7735.000000,7476.000000,7114.666667,6981.000000,184.415615,103.528597,161.774034,163.214286,7055.250000,7605.479378,6505.020622,85.483871,83.393163,73.826095,102.527297
2009-08-04,7755.000000,7815.000000,7390.000000,7520.000000,230353,70596,7575.000000,7526.000000,7158.666667,7006.000000,191.247200,121.072318,140.349764,186.428571,7085.000000,7668.888958,6501.111042,71.223022,77.654265,75.102152,82.758491
2009-08-05,7600.000000,7670.000000,7460.000000,7520.000000,157259,67352,7575.000000,7586.000000,7198.000000,7031.000000,194.420126,135.741880,117.356493,193.571429,7117.500000,7722.961981,6512.038019,71.223022,73.427716,74.544007,71.195136
2009-08-06,7550.000000,7785.000000,7505.000000,7735.000000,312459,84946,7685.000000,7635.000000,7251.666667,7061.166667,211.841420,150.961788,121.759265,206.428571,7161.000000,7813.280211,6508.719789,73.941368,77.747623,75.611879,82.019110
2009-08-07,7705.000000,7825.000000,7540.000000,7570.000000,299481,76843,7655.000000,7617.000000,7289.666667,7084.000000,209.914042,162.752239,94.323607,220.714286,7195.500000,7858.109673,6532.890327,66.666667,71.315316,74.179691,65.586567
2009-08-10,7575.000000,7740.000000,7555.000000,7675.000000,259512,83695,7670.000000,7604.000000,7334.333333,7114.000000,214.387873,173.079365,82.617016,223.214286,7237.000000,7911.048257,6562.951743,72.647059,71.956690,73.438691,68.992688
2009-08-11,7645.000000,8025.000000,7635.000000,7930.000000,439088,97332,7850.000000,7686.000000,7402.666667,7148.833333,235.791725,185.621837,100.339776,245.357143,7290.500000,8007.070047,6573.929953,77.402597,77.534619,74.804000,82.995856
2009-08-12,7930.000000,8035.000000,7765.000000,7785.000000,300577,88938,7900.000000,7739.000000,7463.333333,7179.833333,238.307089,196.158888,84.296402,259.642857,7333.250000,8061.190679,6605.309321,71.707317,72.103182,73.903728,68.502092
2009-08-13,7900.000000,7990.000000,7815.000000,7875.000000,221921,89704,7890.000000,7767.000000,7528.666667,7214.666667,244.741552,205.875420,77.732262,270.357143,7380.500000,8120.805058,6640.194942,72.769953,73.133388,73.646948,72.106268
