time,open,high,low,close,volume,open_interest,average_price,MA5,MA15,MA30,DIF,DEA,MACD,ATR,BOLL_MID,BOLL_UP,BOLL_LOW,RSI,K,D,J
2005-01-04,2150.000000,2155.000000,2142.000000,2150.000000,29396,31682,2150.000000,,,,0.000000,0.000000,0.000000,,,,,,,,
2005-01-05,2131.000000,2154.000000,2127.000000,2154.000000,35586,31352,2141.000000,,,,0.319088,0.063818,0.510541,,,,,,,,
2005-01-06,2152.000000,2168.000000,2146.000000,2167.000000,33087,31974,2158.000000,,,,1.602487,0.371552,2.461871,,,,,,,,
2005-01-07,2174.000000,2193.000000,2162.000000,2182.000000,62779,30944,2179.000000,,,,3.786318,1.054505,5.463626,,,,,,,,
2005-01-10,2193.000000,2200.000000,2170.000000,2177.000000,43731,30637,2181.000000,2166.000000,,,5.055287,1.854661,6.401252,,,,,,,,
2005-01-11,2196.000000,2200.000000,2182.000000,2185.000000,44991,34173,2189.000000,2173.000000,,,6.630061,2.809741,7.640639,,,,,,,,
2005-01-12,2175.000000,2185.000000,2171.000000,2173.000000,29944,33748,2176.000000,2176.800000,,,6.831036,3.614000,6.434072,,,,,,,,
2005-01-13,2158.000000,2176.000000,2158.000000,2166.000000,28411,31258,2167.000000,2176.600000,,,6.352245,4.161649,4.381191,,,,,,,,
2005-01-14,2173.000000,2179.000000,2149.000000,2152.000000,50849,32443,2162.000000,2170.600000,,,4.787924,4.286904,1.002039,,,,,,34.246575,34.246575,34.246575
2005-01-17,2130.000000,2147.000000,2128.000000,2144.000000,35268,34545,2139.000000,2164.000000,,,2.869576,4.003438,-2.267725,,,,,,27.671233,30.301370,22.410959
2005-01-18,2145.000000,2150.000000,2133.000000,2148.000000,48534,34381,2142.000000,2156.600000,,,1.652984,3.533348,-3.760727,,,,,,27.721702,29.079422,25.006261
2005-01-19,2141.000000,2149.000000,2138.000000,2148.000000,24338,34353,2144.000000,2151.600000,,,0.680976,2.962873,-4.563795,,,,,,27.744995,28.525121,26.184742
2005-01-20,2151.000000,2155.000000,2134.000000,2138.000000,25164,34797,2141.000000,2146.000000,,,-0.886050,2.193089,-6.158277,,,,,,22.425826,26.183686,14.910107
2005-01-21,2146.000000,2146.000000,2133.000000,2136.000000,21293,34517,2137.000000,2142.800000,,,-2.263224,1.301826,-7.130099,21.000000,,,,43.137255,18.291276,23.299692,8.274444
2005-01-24,2130.000000,2156.000000,2127.000000,2155.000000,39847,35815,2144.000000,2145.000000,2158.333333,,-1.800745,0.681312,-4.964113,22.142857,,,,52.066116,28.907480,25.285160,36.152120
2005-01-25,2148.000000,2151.000000,2137.000000,2138.000000,21611,35574,2144.000000,2143.000000,2157.533333,,-2.774007,-0.009752,-5.528511,21.500000,,,,44.029851,26.217996,25.608730,27.436527
2005-01-26,2149.000000,2152.000000,2140.000000,2146.000000,22158,33281,2145.000000,2142.600000,2157.000000,,-2.866746,-0.581151,-4.571191,20.928571,,,,41.860465,29.750027,27.026030,35.198022
2005-01-27,2143.000000,2145.000000,2135.000000,2140.000000,13995,32391,2138.000000,2143.000000,2155.200000,,-3.385368,-1.141994,-4.486747,19.500000,,,,32.500000,34.864574,29.684988,45.223746
2005-01-28,2131.000000,2133.000000,2108.000000,2117.000000,42129,33811,2119.000000,2139.200000,2150.866667,,-5.587873,-2.031170,-7.113406,19.642857,,,,28.260870,29.430223,29.599073,29.092522
2005-01-31,2118.000000,2119.000000,2086.000000,2090.000000,47613,35175,2097.000000,2126.200000,2145.066667,,-9.403649,-3.505666,-11.795967,20.357143,2150.300000,2194.852039,2105.747961,19.745223,21.463508,26.866155,10.658215
2005-02-01,2098.000000,2102.000000,2092.000000,2098.000000,21080,33446,2097.000000,2118.200000,2139.266667,,-11.647877,-5.134108,-13.027538,20.214286,2147.700000,2198.021493,2097.378507,25.490196,20.015853,24.570927,10.905704
2005-02-02,2080.000000,2087.000000,2073.000000,2087.000000,25718,32056,2080.000000,2106.400000,2133.533333,,-14.150929,-6.937472,-14.426913,20.714286,2144.350000,2201.379171,2087.320829,24.840764,18.962785,22.695121,11.498112
2005-02-03,2084.000000,2097.000000,2082.000000,2096.000000,13225,30240,2087.000000,2097.600000,2128.866667,,-15.232796,-8.596537,-13.272518,19.642857,2140.800000,2200.661595,2080.938405,31.578947,21.885479,22.424622,20.807191
2005-02-04,2088.000000,2100.000000,2086.000000,2093.000000,14786,27555,2093.000000,2092.800000,2124.933333,,-16.146136,-10.106457,-12.079359,18.928571,2136.350000,2196.547132,2076.152868,32.653061,23.030881,22.627017,23.838611
2005-02-16,2168.000000,2168.000000,2138.000000,2141.000000,26692,26706,2146.000000,2103.000000,2124.733333,,-12.848655,-10.654896,-4.387517,23.071429,2134.550000,2191.705282,2077.394718,48.167539,39.230012,28.166971,61.356092
2005-02-17,2144.000000,2157.000000,2134.000000,2156.000000,27911,29318,2146.000000,2114.600000,2125.266667,,-8.922153,-10.308348,2.772389,23.928571,2133.100000,2186.193364,2080.006636,51.941748,55.287013,37.213106,91.434826
2005-02-18,2180.000000,2198.000000,2180.000000,2187.000000,45112,29496,2190.000000,2134.600000,2127.866667,,-3.271223,-8.900923,11.259400,25.428571,2133.800000,2189.417491,2078.182509,60.792952,67.263411,47.234395,107.321443
2005-02-21,2191.000000,2223.000000,2187.000000,2223.000000,47906,37459,2205.000000,2160.000000,2133.533333,,4.065218,-6.307695,20.745825,27.071429,2136.650000,2203.850486,2069.449514,66.666667,78.178890,57.552330,119.432011
2005-02-22,2225.000000,2293.000000,2223.000000,2293.000000,122900,42032,2268.000000,2200.000000,2144.000000,,15.350860,-1.975984,34.653687,30.000000,2143.700000,2240.671184,2046.728816,72.115385,85.454052,66.854769,122.652618
2005-02-23,2327.000000,2350.000000,2298.000000,2308.000000,136584,44882,2321.000000,2233.400000,2154.200000,2156.266667,25.214530,3.462119,43.504822,32.785714,2151.900000,2273.568921,2030.231079,77.419355,85.248522,72.986839,109.771888
2005-02-24,2323.000000,2361.000000,2311.000000,2359.000000,172524,49338,2336.000000,2274.000000,2168.933333,2163.233333,36.723507,10.114397,53.218221,35.571429,2162.450000,2315.293195,2009.606805,80.169972,89.927150,78.634113,112.513224
2005-02-25,2331.000000,2344.000000,2313.000000,2326.000000,150611,46349,2329.000000,2301.800000,2180.933333,2168.966667,42.689532,16.629424,52.120217,38.071429,2171.350000,2340.509252,2002.190748,74.473684,89.042290,82.103711,102.919447
2005-02-28,2410.000000,2422.000000,2410.000000,2422.000000,25464,43512,2420.000000,2341.600000,2199.733333,2177.466667,54.535398,24.210619,60.649558,42.642857,2185.550000,2387.436341,1983.663659,83.664459,92.695004,85.634282,106.816449
2005-03-01,2460.000000,2488.000000,2443.000000,2468.000000,190116,46975,2462.000000,2376.600000,2223.133333,2187.000000,66.864376,32.741370,68.246012,45.000000,2202.150000,2438.531739,1965.768261,90.042373,93.246778,88.171848,103.396639
2005-03-02,2444.000000,2560.000000,2442.000000,2560.000000,270227,56796,2519.000000,2427.000000,2254.466667,2199.766667,83.100876,42.813271,80.575210,52.571429,2222.400000,2506.373609,1938.426391,91.546763,95.497892,90.613905,105.265865
