time,open,high,low,close,volume,open_interest,average_price,MA5,MA15,MA30,DIF,DEA,MACD,ATR,BOLL_MID,BOLL_UP,BOLL_LOW,RSI,K,D,J
2011-04-15,2300.000000,2300.000000,2225.000000,2247.000000,28567,3202,2255.000000,,,,0.000000,0.000000,0.000000,,,,,,,,
2011-04-18,2233.000000,2388.000000,2233.000000,2381.000000,66351,9744,2344.000000,,,,10.689459,2.137892,17.103134,,,,,,,,
2011-04-19,2375.000000,2384.000000,2320.000000,2336.000000,102231,11635,2344.000000,,,,15.352830,4.780879,21.143901,,,,,,,,
2011-04-20,2350.000000,2395.000000,2328.000000,2343.000000,87753,11742,2352.000000,,,,19.389912,7.702686,23.374452,,,,,,,,
2011-04-21,2353.000000,2363.000000,2323.000000,2335.000000,48788,11123,2346.000000,2328.400000,,,21.693724,10.500893,22.385660,,,,,,,,
2011-04-22,2336.000000,2351.000000,2297.000000,2330.000000,64109,9440,2319.000000,2345.000000,,,22.852622,12.971239,19.762766,,,,,,,,
2011-04-25,2340.000000,2359.000000,2317.000000,2329.000000,32477,9019,2334.000000,2334.600000,,,23.420390,15.061069,16.718641,,,,,,,,
2011-04-26,2315.000000,2329.000000,2303.000000,2322.000000,22168,8926,2316.000000,2331.800000,,,23.039919,16.656839,12.766159,,,,,,,,
2011-04-27,2332.000000,2339.000000,2315.000000,2320.000000,16019,8178,2327.000000,2327.200000,,,22.319721,17.789416,9.060612,,,,,,55.882353,55.882353,55.882353
2011-04-28,2330.000000,2347.000000,2326.000000,2337.000000,13143,7095,2335.000000,2327.600000,,,22.857234,18.802979,8.108509,,,,,,60.871460,58.875817,64.862745
2011-04-29,2337.000000,2343.000000,2323.000000,2329.000000,8827,5881,2332.000000,2327.400000,,,22.379704,19.518324,5.722759,,,,,,47.504850,53.489569,35.535411
2011-05-03,2330.000000,2354.000000,2326.000000,2344.000000,13297,6438,2342.000000,2330.400000,,,22.947113,20.204082,5.486061,,,,,,47.693573,51.082002,40.916716
2011-05-04,2341.000000,2346.000000,2320.000000,2329.000000,7259,5391,2331.000000,2331.800000,,,21.933577,20.549981,2.767192,,,,,,47.997333,49.897840,44.196319
2011-05-05,2309.000000,2319.000000,2293.000000,2308.000000,6948,5368,2308.000000,2329.400000,,,19.214327,20.282850,-2.137046,48.857143,,,,60.701754,38.763311,45.829132,24.631668
2011-05-06,2255.000000,2289.000000,2255.000000,2271.000000,7368,5103,2274.000000,2316.200000,2324.066667,,13.913327,19.008946,-10.191237,47.285714,,,,53.726708,30.485958,40.396799,10.664277
