time,open,high,low,close,volume,open_interest,average_price,MA5,MA15,MA30,DIF,DEA,MACD,ATR,BOLL_MID,BOLL_UP,BOLL_LOW,RSI,K,D,J
2005-01-04,1150.000000,1154.000000,1143.000000,1145.000000,50661,69390,1149.000000,,,,0.000000,0.000000,0.000000,,,,,,,,
2005-01-05,1141.000000,1152.000000,1141.000000,1151.000000,57702,70335,1146.000000,,,,0.478632,0.095726,0.765812,,,,,,,,
2005-01-06,1151.000000,1157.000000,1151.000000,1154.000000,58265,74645,1153.000000,,,,1.087491,0.294079,1.586823,,,,,,,,
2005-01-07,1162.000000,1164.000000,1156.000000,1158.000000,71048,73193,1158.000000,,,,1.871212,0.609506,2.523413,,,,,,,,
2005-01-10,1158.000000,1158.000000,1152.000000,1155.000000,62543,73703,1154.000000,1152.600000,,,2.224599,0.932525,2.584148,,,,,,,,
2005-01-11,1156.000000,1158.000000,1154.000000,1155.000000,63406,72207,1156.000000,1154.600000,,,2.476116,1.241243,2.469747,,,,,,,,
2005-01-12,1153.000000,1158.000000,1153.000000,1157.000000,76684,71747,1155.000000,1155.800000,,,2.804501,1.553895,2.501213,,,,,,,,
2005-01-13,1150.000000,1156.000000,1149.000000,1155.000000,69985,70757,1153.000000,1156.000000,,,2.870278,1.817171,2.106213,,,,,,,,
2005-01-14,1155.000000,1157.000000,1154.000000,1156.000000,65483,68320,1155.000000,1155.600000,,,2.968875,2.047512,1.842726,,,,,,65.217391,65.217391,65.217391
2005-01-17,1151.000000,1156.000000,1151.000000,1156.000000,52473,66466,1155.000000,1155.800000,,,3.012290,2.240468,1.543645,,,,,,65.217391,65.217391,65.217391
2005-01-18,1158.000000,1158.000000,1154.000000,1156.000000,44488,66315,1155.000000,1156.000000,,,3.011977,2.394769,1.234414,,,,,,56.430206,61.055040,47.180537
2005-01-19,1155.000000,1160.000000,1154.000000,1158.000000,66390,66555,1156.000000,1156.200000,,,3.136951,2.543206,1.187490,,,,,,57.913043,59.749903,54.239324
2005-01-20,1158.000000,1159.000000,1155.000000,1156.000000,65417,62274,1156.000000,1156.400000,,,3.039572,2.642479,0.794186,,,,,,60.110147,59.888196,60.554050
2005-01-21,1157.000000,1158.000000,1155.000000,1156.000000,44754,65240,1156.000000,1156.400000,,,2.928639,2.699711,0.457856,6.142857,,,,72.000000,61.398675,60.440145,63.315733
2005-01-24,1155.000000,1157.000000,1154.000000,1157.000000,66984,61629,1155.000000,1156.600000,1155.000000,,2.888123,2.737393,0.301459,5.571429,,,,73.076923,65.409626,62.199616,71.829644
2005-01-25,1155.000000,1159.000000,1155.000000,1158.000000,61903,60690,1157.000000,1157.000000,1155.866667,,2.903239,2.770562,0.265353,5.071429,,,,66.666667,71.101222,65.287295,82.729075
2005-01-26,1159.000000,1160.000000,1157.000000,1157.000000,51817,61275,1158.000000,1156.800000,1156.266667,,2.802224,2.776895,0.050659,4.857143,,,,57.894737,69.583559,66.757629,75.235417
2005-01-27,1157.000000,1158.000000,1154.000000,1155.000000,52406,60076,1157.000000,1156.600000,1156.333333,,2.531603,2.727836,-0.392466,4.428571,,,,41.176471,61.055973,64.823537,53.520844
2005-01-28,1153.000000,1155.000000,1150.000000,1153.000000,56684,58731,1153.000000,1156.000000,1156.000000,,2.131184,2.608506,-0.954644,4.357143,,,,43.750000,50.582902,60.021138,31.706431
2005-01-31,1153.000000,1153.000000,1147.000000,1148.000000,35758,58594,1149.000000,1154.200000,1155.533333,,1.394318,2.365668,-1.942701,4.500000,1154.800000,1161.499568,1148.100432,33.333333,36.174991,52.010683,4.503606
2005-02-01,1151.000000,1151.000000,1146.000000,1146.000000,38672,60828,1147.000000,1151.800000,1154.933333,,0.641567,2.020848,-2.758562,4.500000,1154.850000,1161.249836,1148.450164,23.809524,24.054382,42.643787,-13.124427
2005-02-02,1146.000000,1149.000000,1144.000000,1145.000000,61909,63551,1146.000000,1149.400000,1154.133333,,-0.035278,1.609623,-3.289802,4.285714,1154.550000,1162.158167,1146.941833,25.000000,18.099189,34.434132,-14.570698
2005-02-03,1144.000000,1150.000000,1144.000000,1149.000000,53578,63504,1146.000000,1148.200000,1153.733333,,-0.246079,1.238483,-2.969124,4.500000,1154.300000,1162.302631,1146.297369,34.782609,22.492826,30.444586,6.589306
2005-02-04,1149.000000,1151.000000,1148.000000,1150.000000,46612,61569,1148.000000,1147.600000,1153.333333,,-0.328661,0.925054,-2.507429,4.357143,1153.900000,1161.923649,1145.876351,37.500000,27.502845,29.462510,23.583514
2005-02-16,1158.000000,1160.000000,1153.000000,1154.000000,61530,60554,1155.000000,1148.800000,1153.200000,,-0.070528,0.725938,-1.592931,4.785714,1153.850000,1161.857234,1145.842766,46.428571,39.180415,32.705103,52.131040
2005-02-17,1152.000000,1154.000000,1148.000000,1153.000000,47460,58552,1151.000000,1150.200000,1153.000000,,0.052745,0.591299,-1.077108,4.785714,1153.750000,1161.746710,1145.753290,40.740741,44.874130,36.764192,61.094005
2005-02-18,1156.000000,1157.000000,1150.000000,1151.000000,45786,58499,1153.000000,1151.400000,1152.533333,,-0.010819,0.470875,-0.963389,5.000000,1153.450000,1161.383274,1145.516726,40.740741,44.499251,39.343708,54.810335
2005-02-21,1154.000000,1154.000000,1148.000000,1153.000000,66161,62598,1151.000000,1152.200000,1152.333333,,0.099047,0.396510,-0.594925,5.214286,1153.350000,1161.251366,1145.448634,44.827586,48.417345,42.369164,60.513708
2005-02-22,1152.000000,1162.000000,1152.000000,1161.000000,56765,64048,1156.000000,1154.400000,1152.666667,,0.822173,0.481642,0.681061,5.714286,1153.600000,1162.144620,1145.055380,55.555556,63.762788,49.501802,92.284761
2005-02-23,1167.000000,1169.000000,1156.000000,1157.000000,59475,62679,1161.000000,1155.000000,1152.666667,1153.833333,1.060267,0.597367,0.925799,6.357143,1153.650000,1162.265164,1145.034836,48.717949,59.841335,52.948774,73.626457
2005-02-24,1158.000000,1161.000000,1156.000000,1159.000000,77244,63676,1158.000000,1156.200000,1152.733333,1154.300000,1.394269,0.756748,1.275042,6.500000,1153.800000,1162.687602,1144.912398,52.500000,59.894228,55.264131,69.154421
2005-02-25,1157.000000,1159.000000,1156.000000,1156.000000,34249,61415,1157.000000,1157.200000,1152.666667,1154.466667,1.400746,0.885547,1.030397,6.428571,1153.700000,1162.432275,1144.967725,51.219512,52.627466,54.385191,49.112017
2005-02-28,1167.000000,1198.000000,1165.000000,1185.000000,95688,71317,1182.000000,1163.600000,1154.666667,1155.500000,3.703248,1.449087,4.508321,9.071429,1155.150000,1171.658690,1138.641310,73.529412,59.751926,56.174173,66.907432
2005-03-01,1185.000000,1186.000000,1165.000000,1172.000000,73122,70974,1172.000000,1165.800000,1155.933333,1155.966667,4.427963,2.044863,4.766201,10.142857,1155.950000,1174.101120,1137.798880,65.789474,55.834514,56.060951,55.381641
2005-03-02,1167.000000,1188.000000,1166.000000,1178.000000,78480,70725,1177.000000,1170.000000,1157.933333,1156.733333,5.423931,2.720676,5.406510,11.357143,1157.000000,1177.662705,1136.337295,70.000000,57.223034,56.448319,58.772464
2005-03-03,1175.000000,1181.000000,1171.000000,1174.000000,66333,69138,1174.000000,1173.000000,1159.800000,1157.366667,5.823349,3.341211,4.964276,11.714286,1157.800000,1179.820087,1135.779913,67.469880,55.482002,56.126209,54.193588
2005-03-04,1176.000000,1182.000000,1170.000000,1182.000000,72097,68878,1176.000000,1178.200000,1162.266667,1158.200000,6.708097,4.014588,5.387017,12.142857,1159.050000,1183.574746,1134.525254,68.965517,58.727157,56.993199,62.195074
2005-03-07,1185.000000,1192.000000,1181.000000,1186.000000,57738,68614,1186.000000,1178.400000,1164.733333,1159.233333,7.643918,4.740454,5.806928,12.714286,1160.600000,1187.817641,1133.382359,70.000000,62.960984,58.982471,70.918010
2005-03-08,1174.000000,1186.000000,1173.000000,1185.000000,63233,68675,1180.000000,1181.000000,1167.066667,1160.200000,8.210229,5.434409,5.551639,12.928571,1162.200000,1191.237906,1133.162094,67.816092,64.989869,60.984944,72.999720
2005-03-09,1190.000000,1199.000000,1186.000000,1194.000000,81552,71900,1193.000000,1184.200000,1169.733333,1161.466667,9.278304,6.203188,6.150233,13.500000,1164.500000,1195.986004,1133.013996,71.578947,72.783962,64.917959,88.515968
2005-03-10,1196.000000,1221.000000,1196.000000,1214.000000,112587,71015,1208.000000,1192.200000,1173.800000,1163.400000,11.604822,7.283515,8.642614,14.928571,1167.900000,1205.135524,1130.664476,77.876106,77.689316,69.175085,94.717778
2005-03-11,1221.000000,1230.000000,1202.000000,1209.000000,82620,65407,1218.000000,1197.600000,1177.666667,1165.100000,12.896483,8.406108,8.980749,16.500000,1171.100000,1210.957113,1131.242887,74.137931,74.356976,70.902384,81.266162
2005-03-14,1226.000000,1229.000000,1204.000000,1212.000000,91020,60543,1213.000000,1202.800000,1181.600000,1166.966667,14.000816,9.525050,8.951532,17.571429,1174.250000,1216.631103,1131.868897,72.972973,73.529650,71.778140,77.032671
2005-03-15,1205.000000,1243.000000,1205.000000,1234.000000,71085,60438,1224.000000,1212.600000,1186.466667,1169.566667,16.461466,10.912333,11.098266,19.357143,1178.450000,1226.923433,1129.976567,79.844961,78.243513,73.933265,86.864009
2005-03-16,1245.000000,1272.000000,1240.000000,1271.000000,78051,61460,1261.000000,1228.000000,1194.066667,1173.366667,21.153298,12.960526,16.385544,21.714286,1184.300000,1246.613638,1121.986362,84.146341,85.168880,77.678471,100.149698
2005-03-17,1261.000000,1276.000000,1251.000000,1255.000000,67246,57570,1264.000000,1236.200000,1200.466667,1176.600000,23.311818,15.030784,16.562067,23.285714,1189.400000,1257.367175,1121.432825,77.966102,83.316470,79.557805,90.833801
2005-03-18,1263.000000,1269.000000,1215.000000,1249.000000,66920,53247,1250.000000,1244.200000,1206.666667,1179.666667,24.258672,16.876362,14.764620,24.142857,1194.300000,1264.697667,1123.902333,70.779221,80.139782,79.751797,80.915752
2005-03-21,1263.000000,1321.000000,1260.000000,1308.000000,88466,67026,1283.000000,1263.400000,1214.866667,1184.766667,29.430610,19.387212,20.086797,27.785714,1202.050000,1286.106309,1117.993691,84.000000,83.549979,81.017858,88.614220
2005-03-22,1286.000000,1313.000000,1280.000000,1308.000000,152337,82512,1302.000000,1278.200000,1223.933333,1189.933333,33.147306,22.139231,22.016152,28.571429,1209.400000,1303.455751,1115.344249,83.505155,85.566652,82.534123,91.631712
2005-03-23,1306.000000,1319.000000,1295.000000,1299.000000,131643,88614,1305.000000,1283.800000,1232.000000,1194.966667,34.963552,24.704095,20.518915,29.571429,1216.500000,1315.223431,1117.776569,81.407035,84.215303,83.094516,86.456877
2005-03-24,1305.000000,1317.000000,1291.000000,1314.000000,105359,95962,1304.000000,1295.600000,1241.333333,1200.566667,37.184673,27.200211,19.968925,30.571429,1224.250000,1328.166718,1120.333282,82.038835,87.482567,84.557200,93.333301
2005-03-25,1321.000000,1328.000000,1308.000000,1313.000000,108176,98366,1318.000000,1308.400000,1250.066667,1206.166667,38.421338,29.444436,17.953805,31.214286,1232.100000,1338.009395,1126.190605,81.280788,87.590004,85.568135,91.633743
2005-03-28,1328.000000,1331.000000,1305.000000,1313.000000,72667,97575,1315.000000,1309.400000,1258.533333,1211.633333,38.952386,31.346026,15.212719,32.142857,1238.500000,1347.839645,1129.160355,81.683168,86.554256,85.896842,87.869083
2005-03-29,1316.000000,1322.000000,1308.000000,1309.000000,61047,90985,1314.000000,1309.600000,1266.800000,1216.933333,38.605458,32.797912,11.615092,32.142857,1245.350000,1354.313103,1136.386897,79.187817,84.714331,85.502671,83.137651
2005-03-30,1311.000000,1315.000000,1294.000000,1297.000000,59434,90109,1302.000000,1309.200000,1273.666667,1221.700000,36.936436,33.625617,6.621637,31.714286,1251.300000,1357.745143,1144.854857,71.957672,80.039439,83.681594,72.755130
2005-03-31,1309.000000,1310.000000,1300.000000,1304.000000,38398,84812,1305.000000,1307.200000,1279.666667,1226.733333,35.766274,34.053748,3.425051,30.642857,1257.800000,1360.168992,1155.431008,74.869110,74.016903,80.460030,61.130649
2005-04-01,1304.000000,1305.000000,1285.000000,1304.000000,29005,85050,1296.000000,1305.400000,1286.000000,1231.833333,34.441887,34.131376,0.621022,30.285714,1263.900000,1361.687955,1166.112045,74.468085,65.030877,75.316979,44.458671
2005-04-04,1300.000000,1312.000000,1296.000000,1309.000000,17052,83140,1308.000000,1304.600000,1292.466667,1237.033333,33.410623,33.987225,-1.153206,28.714286,1270.050000,1362.537211,1177.562789,71.929825,60.745222,70.459727,41.316213
2005-04-05,1307.000000,1311.000000,1301.000000,1304.000000,16345,83424,1304.000000,1303.600000,1297.133333,1241.800000,31.823044,33.554389,-3.462691,26.714286,1276.000000,1360.407533,1191.592467,61.870504,54.264931,65.061461,32.671869
2005-04-06,1301.000000,1306.000000,1296.000000,1306.000000,15931,80902,1300.000000,1305.400000,1299.466667,1246.766667,30.376102,32.918732,-5.085259,25.642857,1281.600000,1357.537370,1205.662630,70.400000,51.394012,60.505645,33.170746
2005-04-07,1311.000000,1311.000000,1299.000000,1301.000000,12382,78494,1303.000000,1304.800000,1302.533333,1251.500000,28.497432,32.034472,-7.074080,22.642857,1285.950000,1355.260818,1216.639182,70.967742,45.856877,55.622722,26.325187
2005-04-08,1300.000000,1302.000000,1296.000000,1301.000000,9360,78588,1300.000000,1304.200000,1306.000000,1256.333333,26.700782,30.967734,-8.533903,17.928571,1290.550000,1349.845780,1231.254220,44.615385,44.985666,52.077037,30.802924
2005-04-11,1305.000000,1308.000000,1298.000000,1302.000000,12519,77494,1303.000000,1302.800000,1305.600000,1260.233333,25.068640,29.787915,-9.438550,16.285714,1295.050000,1341.518892,1248.581108,45.454545,48.879333,51.011136,44.615728
2005-04-12,1310.000000,1312.000000,1302.000000,1306.000000,9681,75874,1304.000000,1303.200000,1305.466667,1264.700000,23.823302,28.594993,-9.543380,15.285714,1298.650000,1335.329408,1261.970592,55.737705,58.512148,53.511473,68.513498
2005-04-13,1304.000000,1306.000000,1299.000000,1302.000000,10969,72304,1302.000000,1302.400000,1305.666667,1268.833333,22.257031,27.327400,-10.140738,13.928571,1300.200000,1334.502678,1265.897322,38.000000,59.995753,55.672900,68.641459
2005-04-14,1304.000000,1304.000000,1292.000000,1300.000000,11506,72543,1297.000000,1302.200000,1304.733333,1273.033333,20.616711,25.985262,-10.737104,13.357143,1302.450000,1329.380515,1275.519485,37.254902,53.330502,54.892100,50.207305
2005-04-15,1299.000000,1301.000000,1295.000000,1295.000000,4335,71895,1297.000000,1301.000000,1303.533333,1276.800000,18.697750,24.527760,-11.660020,11.928571,1304.750000,1315.390044,1294.109956,33.928571,40.553668,50.112623,21.435758
