time,open,high,low,close,volume,open_interest,average_price,MA5,MA15,MA30,DIF,DEA,MACD,ATR,BOLL_MID,BOLL_UP,BOLL_LOW,RSI,K,D,J
2009-03-27,3550.000000,3663.000000,3513.000000,3561.000000,177295,22774,3577.000000,,,,0.000000,0.000000,0.000000,,,,,,,,
2009-03-30,3550.000000,3580.000000,3528.000000,3544.000000,72584,24190,3548.000000,,,,-1.356125,-0.271225,-2.169801,,,,,,,,
2009-03-31,3538.000000,3566.000000,3531.000000,3549.000000,35296,22357,3549.000000,,,,-2.004302,-0.617840,-2.772923,,,,,,,,
2009-04-01,3560.000000,3561.000000,3543.000000,3547.000000,14050,21038,3549.000000,,,,-2.648836,-1.024039,-3.249592,,,,,,,,
2009-04-02,3545.000000,3548.000000,3456.000000,3473.000000,117723,34444,3481.000000,3534.800000,,,-9.026760,-2.624584,-12.804353,,,,,,,,
2009-04-03,3481.000000,3481.000000,3436.000000,3448.000000,76188,37519,3456.000000,3512.200000,,,-15.915142,-5.282695,-21.264894,,,,,,,,
2009-04-07,3410.000000,3518.000000,3410.000000,3491.000000,121289,50241,3482.000000,3501.600000,,,-17.700454,-7.766247,-19.868414,,,,,,,,
2009-04-08,3480.000000,3491.000000,3456.000000,3463.000000,73644,45955,3469.000000,3484.400000,,,-21.131107,-10.439219,-21.383775,,,,,,,,
2009-04-09,3476.000000,3486.000000,3460.000000,3468.000000,43844,47416,3472.000000,3468.600000,,,-23.179269,-12.987229,-20.384080,,,,,,22.924901,22.924901,22.924901
2009-04-10,3483.000000,3499.000000,3470.000000,3484.000000,60489,50082,3485.000000,3470.800000,,,-23.243450,-15.038473,-16.409954,,,,,,35.287608,30.342525,45.177773
2009-04-13,3485.000000,3493.000000,3464.000000,3469.000000,54910,54715,3481.000000,3475.000000,,,-24.225433,-16.875865,-14.699136,,,,,,36.487405,33.253258,42.955699
2009-04-14,3475.000000,3600.000000,3469.000000,3560.000000,270323,75320,3558.000000,3488.800000,,,-17.459460,-16.992584,-0.933752,,,,,,54.124620,41.922901,78.528060
2009-04-15,3570.000000,3590.000000,3550.000000,3562.000000,127803,75748,3566.000000,3508.600000,,,-11.799972,-15.954062,8.308179,,,,,,64.057823,50.420193,91.333083
2009-04-16,3582.000000,3628.000000,3570.000000,3596.000000,125232,84664,3597.000000,3534.200000,,,-4.519177,-13.667085,18.295816,61.285714,,,,54.901961,71.827713,58.242790,98.997557
2009-04-17,3594.000000,3648.000000,3581.000000,3620.000000,169625,109946,3622.000000,3561.400000,3522.333333,,3.151180,-10.303432,26.909224,55.357143,,,,57.742782,77.636905,65.109381,102.691953
2009-04-20,3620.000000,3648.000000,3608.000000,3623.000000,129598,118914,3632.000000,3592.200000,3526.466667,,9.364125,-6.369920,31.468091,54.500000,,,,60.762943,80.877432,70.578806,101.474685
2009-04-21,3580.000000,3590.000000,3486.000000,3524.000000,166224,119777,3539.000000,3585.000000,3525.133333,,6.227667,-3.850403,20.156140,61.785714,,,,47.288503,64.848866,68.617817,57.310966
2009-04-22,3550.000000,3566.000000,3508.000000,3526.000000,84262,116474,3536.000000,3577.800000,3523.600000,,3.858902,-2.308542,12.334887,64.642857,,,,47.722343,54.281202,63.754610,35.334387
2009-04-23,3529.000000,3531.000000,3488.000000,3513.000000,65193,116493,3507.000000,3561.200000,3521.333333,,0.922018,-1.662430,5.168896,61.142857,,,,55.000000,44.956476,57.415276,20.038877
2009-04-24,3513.000000,3522.000000,3497.000000,3501.000000,50722,123024,3506.000000,3537.400000,3523.200000,,-2.346731,-1.799290,-1.094882,59.714286,3526.100000,3630.101822,3422.098178,56.847545,35.859905,50.174344,7.231028
2009-04-27,3510.000000,3520.000000,3492.000000,3499.000000,51236,127254,3505.000000,3512.600000,3526.600000,,-5.040518,-2.447536,-5.185964,54.000000,3523.000000,3626.315562,3419.684438,51.156069,26.533580,42.253390,-4.906040
2009-04-28,3496.000000,3515.000000,3496.000000,3507.000000,48274,131267,3507.000000,3509.200000,3527.666667,,-6.455416,-3.249112,-6.412608,52.857143,3521.150000,3624.207010,3418.092990,56.748466,21.994492,35.477212,-4.970947
2009-04-29,3507.000000,3520.000000,3503.000000,3520.000000,51347,137527,3511.000000,3508.000000,3531.466667,,-6.453351,-3.889960,-5.126783,52.214286,3519.700000,3621.919784,3417.480216,57.784431,21.658111,30.860302,3.253731
2009-04-30,3536.000000,3575.000000,3523.000000,3553.000000,123456,148800,3543.000000,3516.000000,3537.133333,,-3.745713,-3.861110,0.230795,53.928571,3520.000000,3622.591679,3417.408321,59.829060,28.234762,29.983787,24.736711
2009-05-04,3573.000000,3660.000000,3571.000000,3636.000000,287166,163051,3624.000000,3543.000000,3547.266667,,5.039425,-2.081003,14.240857,59.500000,3528.150000,3640.458363,3415.841637,69.928401,47.578440,35.854630,71.026059
2009-05-05,3636.000000,3644.000000,3570.000000,3577.000000,87977,154972,3588.000000,3558.600000,3554.466667,,7.158386,-0.233125,14.783023,55.428571,3534.600000,3642.247378,3426.952622,52.196382,48.967962,40.228700,66.446485
2009-05-06,3578.000000,3598.000000,3573.000000,3594.000000,51894,156731,3591.000000,3576.000000,3556.733333,,10.093089,1.832118,16.521943,54.357143,3539.750000,3648.464740,3431.035260,53.980100,53.189848,44.551033,70.467479
2009-05-07,3628.000000,3630.000000,3591.000000,3593.000000,75210,159545,3608.000000,3590.600000,3558.800000,,12.197565,3.905207,16.584715,52.428571,3546.250000,3651.120597,3441.379403,49.593496,55.500276,48.201878,70.097071
2009-05-08,3599.000000,3616.000000,3589.000000,3614.000000,51810,161577,3602.000000,3602.800000,3560.000000,,15.382580,6.200682,18.363797,49.571429,3553.550000,3655.778794,3451.321206,49.180328,61.207678,52.538014,78.547004
2009-05-11,3615.000000,3678.000000,3606.000000,3639.000000,167541,169577,3649.000000,3603.400000,3561.266667,3541.800000,19.696965,8.899938,21.594053,51.857143,3561.300000,3664.821368,3457.778632,52.061856,66.996368,57.358110,86.272885
2009-05-12,3645.000000,3660.000000,3630.000000,3645.000000,96817,169723,3647.000000,3617.000000,3562.733333,3544.600000,23.331347,11.786220,23.090253,44.214286,3570.100000,3670.459145,3469.740855,70.508475,71.712285,62.143261,90.850332
2009-05-13,3655.000000,3657.000000,3634.000000,3639.000000,59318,170250,3646.000000,3626.000000,3570.400000,3547.766667,25.434280,14.515832,21.836896,41.714286,3574.050000,3678.855534,3469.244466,68.896321,72.754488,65.680547,86.902371
2009-05-14,3616.000000,3620.000000,3590.000000,3594.000000,69786,168150,3598.000000,3626.200000,3574.933333,3549.266667,23.202284,16.253122,13.898323,42.142857,3575.650000,3680.657819,3470.642181,62.235650,55.909733,62.423480,42.882238
2009-05-15,3600.000000,3618.000000,3596.000000,3604.000000,66146,169039,3606.000000,3624.200000,3581.000000,3551.166667,21.986877,17.399873,9.174007,42.071429,3576.050000,3681.444447,3470.655553,65.653495,47.766767,57.537780,28.224742
