time,open,high,low,close,volume,open_interest,average_price,MA5,MA15,MA30,DIF,DEA,MACD,ATR,BOLL_MID,BOLL_UP,BOLL_LOW,RSI,K,D,J
2011-10-28,3199.000000,3220.000000,3130.000000,3139.000000,20254,1671,3157.000000,,,,0.000000,0.000000,0.000000,,,,,,,,
2011-10-31,3136.000000,3198.000000,3110.000000,3134.000000,17464,1823,3144.000000,,,,-0.398860,-0.079772,-0.638177,,,,,,,,
2011-11-01,3140.000000,3154.000000,3125.000000,3131.000000,6677,1526,3137.000000,,,,-0.946129,-0.253043,-1.386171,,,,,,,,
2011-11-02,3112.000000,3128.000000,3095.000000,3123.000000,3856,1741,3114.000000,,,,-2.002295,-0.602894,-2.798802,,,,,,,,
2011-11-03,3120.000000,3122.000000,3107.000000,3114.000000,1654,1503,3117.000000,3128.200000,,,-3.524906,-1.187296,-4.675219,,,,,,,,
2011-11-04,3126.000000,3145.000000,3122.000000,3139.000000,2928,1363,3132.000000,3128.200000,,,-2.683363,-1.486509,-2.393707,,,,,,,,
2011-11-07,3139.000000,3142.000000,3121.000000,3126.000000,874,1320,3130.000000,3126.600000,,,-3.030492,-1.795306,-2.470371,,,,,,,,
2011-11-08,3130.000000,3134.000000,3114.000000,3118.000000,824,1387,3123.000000,3124.000000,,,-3.906100,-2.217465,-3.377270,,,,,,,,
2011-11-09,3125.000000,3128.000000,3008.000000,3019.000000,11194,3405,3042.000000,3103.200000,,,-12.445039,-4.262980,-16.364120,,,,,,5.188679,5.188679,5.188679
2011-11-10,2975.000000,2975.000000,2920.000000,2920.000000,6428,4093,2937.000000,3064.400000,,,-26.890704,-8.788524,-36.204359,,,,,,2.075472,3.320755,-0.415094
2011-11-11,2930.000000,3007.000000,2900.000000,2976.000000,11827,2380,2967.000000,3031.800000,,,-33.434849,-13.717789,-39.434120,,,,,,15.265582,8.978831,27.839084
2011-11-14,3001.000000,3009.000000,2920.000000,2932.000000,16565,4805,2950.000000,2993.000000,,,-41.690976,-19.312427,-44.757099,,,,,,14.349926,11.209901,20.629975
2011-11-15,2900.000000,2949.000000,2890.000000,2931.000000,11698,4392,2926.000000,2955.600000,,,-47.764113,-25.002764,-45.522698,,,,,,15.013475,12.670041,19.700344
