time,open,high,low,close,volume,open_interest,average_price,MA5,MA15,MA30,DIF,DEA,MACD,ATR,BOLL_MID,BOLL_UP,BOLL_LOW,RSI,K,D,J
2014-02-28,10680.000000,10720.000000,10604.000000,10657.000000,48791,10628,10670.000000,,,,0.000000,0.000000,0.000000,,,,,,,,
2014-03-03,10696.000000,10790.000000,10602.000000,10632.000000,22363,9164,10652.000000,,,,-1.994302,-0.398860,-3.190883,,,,,,,,
2014-03-04,10632.000000,10717.000000,10602.000000,10706.000000,11936,10892,10660.000000,,,,2.369072,0.154726,4.428691,,,,,,,,
2014-03-05,10359.000000,10360.000000,10262.000000,10299.000000,8828,11617,10303.000000,,,,-26.706565,-5.217532,-42.978066,,,,,,,,
2014-03-06,10700.000000,10700.000000,10560.000000,10640.000000,18584,14449,10630.000000,10586.800000,,,-21.979995,-8.570025,-26.819940,,,,,,,,
2014-03-07,10200.000000,10200.000000,10129.000000,10175.000000,22665,18923,10164.000000,10490.400000,,,-55.120375,-17.880095,-74.480560,,,,,,,,
2014-03-10,10025.000000,10150.000000,10000.000000,10077.000000,39680,23268,10067.000000,10379.400000,,,-88.274571,-31.958990,-112.631162,,,,,,,,
2014-03-11,10096.000000,10350.000000,10050.000000,10180.000000,34706,19642,10167.000000,10274.200000,,,-105.027578,-46.572708,-116.909742,,,,,,,,
2014-03-12,10090.000000,10193.000000,10061.000000,10191.000000,23107,24658,10138.000000,10252.600000,,,-116.078766,-60.473919,-111.209693,,,,,,24.177215,24.177215,24.177215
2014-03-13,10200.000000,10236.000000,10165.000000,10209.000000,12901,24972,10198.000000,10166.400000,,,-121.978371,-72.774810,-98.407123,,,,,,25.544304,24.997468,26.637975
2014-03-14,10200.000000,10210.000000,10120.000000,10171.000000,22764,26012,10163.000000,10165.600000,,,-128.241841,-83.868216,-88.747251,,,,,,24.741442,24.876192,24.471940
2014-03-17,10165.000000,10290.000000,10140.000000,10171.000000,13060,26322,10182.000000,10184.400000,,,-131.687673,-93.432107,-76.511131,,,,,,24.611480,24.766235,24.301970
2014-03-18,10125.000000,10290.000000,10125.000000,10284.000000,28443,25906,10237.000000,10205.200000,,,-123.872439,-99.520174,-48.704531,,,,,,30.738285,27.058823,38.097209
2014-03-19,10300.000000,10348.000000,10214.000000,10214.000000,18105,24335,10278.000000,10209.800000,,,-121.921787,-104.000496,-35.842581,213.714286,,,,37.436188,41.848527,32.463181,60.619219
