time,open,high,low,close,volume,open_interest,average_price,MA5,MA15,MA30,DIF,DEA,MACD,ATR,BOLL_MID,BOLL_UP,BOLL_LOW,RSI,K,D,J
2006-12-18,8538.000000,9032.000000,8538.000000,8880.000000,22288,3101,8926.000000,,,,0.000000,0.000000,0.000000,,,,,,,,
2006-12-19,8860.000000,8958.000000,8806.000000,8906.000000,24535,3744,8902.000000,,,,2.074074,0.414815,3.318519,,,,,,,,
2006-12-20,8944.000000,8970.000000,8906.000000,8958.000000,12793,4441,8948.000000,,,,7.823573,1.896566,11.854013,,,,,,,,
2006-12-21,8940.000000,8948.000000,8884.000000,8912.000000,9707,4040,8914.000000,,,,8.569493,3.231152,10.676682,,,,,,,,
2006-12-22,8904.000000,8928.000000,8824.000000,8924.000000,4977,3778,8886.000000,8916.000000,,,10.013510,4.587623,10.851773,,,,,,,,
2006-12-25,8918.000000,9140.000000,8912.000000,9098.000000,17395,6201,9074.000000,8959.600000,,,24.911090,8.652317,32.517547,,,,,,,,
2006-12-26,9120.000000,9166.000000,9062.000000,9158.000000,18623,6413,9108.000000,9010.000000,,,41.085421,15.138938,51.892967,,,,,,,,
2006-12-27,9082.000000,9126.000000,9008.000000,9016.000000,17840,7181,9060.000000,9021.600000,,,41.961773,20.503505,42.916536,,,,,,,,
2006-12-28,9000.000000,9006.000000,8850.000000,8856.000000,15991,7393,8908.000000,9010.400000,,,29.406643,22.284132,14.245022,,,,,,50.636943,50.636943,50.636943
2006-12-29,8850.000000,8934.000000,8780.000000,8898.000000,16016,5615,8878.000000,9005.200000,,,22.585312,22.344368,0.481888,,,,,,38.596746,43.412825,28.964589
2007-01-04,8690.000000,8772.000000,8530.000000,8734.000000,17006,6045,8710.000000,8932.400000,,,3.900961,18.655687,-29.509452,,,,,,35.507721,39.668302,27.186560
2007-01-05,8660.000000,8804.000000,8612.000000,8782.000000,19836,7090,8750.000000,8857.200000,,,-6.953171,13.533915,-40.974173,,,,,,37.216996,38.650067,34.350853
2007-01-08,8806.000000,8838.000000,8738.000000,8746.000000,18056,6580,8780.000000,8803.200000,,,-18.249678,7.177197,-50.853748,,,,,,35.967549,37.620285,32.662077
