time,open,high,low,close,volume,open_interest,average_price,MA5,MA15,MA30,DIF,DEA,MACD,ATR,BOLL_MID,BOLL_UP,BOLL_LOW,RSI,K,D,J
2008-07-15,212.880000,213.930000,212.750000,213.930000,8727,15746,213.340000,,,,0.000000,0.000000,0.000000,,,,,,,,
2008-07-16,211.000000,212.490000,211.000000,211.600000,9025,15227,212.010000,,,,-0.185869,-0.037174,-0.297390,,,,,,,,
2008-07-17,211.500000,211.880000,210.800000,211.010000,8530,15599,211.260000,,,,-0.376440,-0.105027,-0.542826,,,,,,,,
2008-07-18,209.990000,211.500000,209.520000,211.360000,6329,16402,210.600000,,,,-0.493538,-0.182729,-0.621617,,,,,,,,
2008-07-21,211.000000,212.000000,210.810000,211.940000,7103,17475,211.480000,211.968000,,,-0.533389,-0.252861,-0.561056,,,,,,,,
2008-07-22,212.610000,214.200000,212.500000,214.150000,7752,17746,213.170000,212.012000,,,-0.382237,-0.278736,-0.207001,,,,,,,,
2008-07-23,209.980000,209.980000,206.500000,206.610000,12078,15794,207.970000,211.014000,,,-0.860938,-0.395177,-0.931522,,,,,,,,
2008-07-24,202.290000,204.380000,200.450000,203.380000,10014,14408,202.610000,209.488000,,,-1.483841,-0.612909,-1.741863,,,,,,,,
2008-07-25,203.880000,205.780000,203.880000,205.230000,5592,14224,204.910000,208.262000,,,-1.807383,-0.851804,-1.911157,,,,,,34.763636,34.763636,34.763636
2008-07-28,205.000000,205.200000,203.930000,204.350000,4645,13998,204.490000,206.744000,,,-2.110472,-1.103538,-2.013869,,,,,,30.923636,32.459636,27.851636
2008-07-29,205.410000,205.700000,204.590000,204.650000,4281,14133,205.200000,204.844000,,,-2.299953,-1.342821,-1.914264,,,,,,30.744498,31.647202,28.939088
2008-07-30,202.000000,202.400000,201.300000,202.100000,5050,13656,201.900000,203.942000,,,-2.625615,-1.599379,-2.052470,,,,,,22.958322,28.037975,12.799015
2008-07-31,201.270000,202.900000,201.020000,202.870000,9561,15972,201.920000,203.840000,,,-2.789417,-1.837387,-1.904060,,,,,,20.901336,25.298317,12.107373
2008-08-01,201.500000,201.970000,201.310000,201.580000,4754,15833,201.590000,203.110000,,,-2.988870,-2.067684,-1.842372,2.590714,,,,24.765018,16.266740,21.998056,4.804106
2008-08-04,201.660000,203.440000,201.660000,203.400000,5555,16079,202.770000,202.920000,207.210667,,-2.965890,-2.247325,-1.437130,2.639286,,,,29.973374,21.467154,21.810088,20.781287
2008-08-05,197.800000,199.460000,195.800000,196.550000,10148,15602,197.460000,201.300000,206.052000,,-3.460525,-2.489965,-1.941120,2.972857,,,,25.576112,16.627615,20.012456,9.857933
2008-08-06,195.770000,196.950000,195.100000,196.950000,6663,16680,196.230000,200.270000,205.075333,,-3.776715,-2.747315,-2.058800,3.027857,,,,27.041150,16.865292,18.935384,12.725107
2008-08-07,196.020000,197.490000,196.020000,197.410000,4682,16763,196.850000,199.178000,204.168667,,-3.944707,-2.986793,-1.915828,2.991429,,,,27.302310,18.536663,18.800132,18.009725
