time,open,high,low,close,volume,open_interest,average_price,MA5,MA15,MA30,DIF,DEA,MACD,ATR,BOLL_MID,BOLL_UP,BOLL_LOW,RSI,K,D,J
2013-10-18,978.000000,984.000000,962.000000,977.000000,150409,32521,975.000000,,,,0.000000,0.000000,0.000000,,,,,,,,
2013-10-21,976.000000,977.000000,960.000000,969.000000,47716,34065,967.000000,,,,-0.638177,-0.127635,-1.021083,,,,,,,,
2013-10-22,963.000000,966.000000,948.000000,948.000000,45648,38002,956.000000,,,,-2.806114,-0.663331,-4.285565,,,,,,,,
2013-10-23,949.000000,953.000000,936.000000,939.000000,58245,40581,944.000000,,,,-5.190610,-1.568787,-7.243646,,,,,,,,
2013-10-24,938.000000,939.000000,916.000000,926.000000,84514,43936,928.000000,951.800000,,,-8.036690,-2.862367,-10.348645,,,,,,,,
2013-10-25,928.000000,936.000000,917.000000,918.000000,52030,43236,927.000000,940.000000,,,-10.813115,-4.452517,-12.721196,,,,,,,,
2013-10-28,920.000000,928.000000,917.000000,923.000000,41895,46740,922.000000,930.800000,,,-12.466290,-6.055272,-12.822037,,,,,,,,
2013-10-29,924.000000,925.000000,913.000000,921.000000,52938,49529,917.000000,925.400000,,,-13.778991,-7.600015,-12.357951,,,,,,,,
2013-10-30,919.000000,930.000000,916.000000,924.000000,59136,45631,922.000000,922.400000,,,-14.411118,-8.962236,-10.897765,,,,,,15.492958,15.492958,15.492958
2013-10-31,925.000000,927.000000,920.000000,922.000000,37336,42410,923.000000,921.600000,,,-14.901690,-10.150127,-9.503126,,,,,,14.634683,14.977993,13.948063
2013-11-01,921.000000,954.000000,921.000000,942.000000,160621,53791,942.000000,926.400000,,,-13.520779,-10.824257,-5.393044,,,,,,33.621035,23.808908,53.245289
2013-11-04,943.000000,957.000000,942.000000,950.000000,87540,61149,949.000000,931.800000,,,-11.646610,-10.988728,-1.315764,,,,,,54.585444,36.593007,90.570318
2013-11-05,948.000000,954.000000,943.000000,946.000000,54192,60971,947.000000,936.800000,,,-10.364607,-10.863904,0.998594,,,,,,62.422312,46.508522,94.249890
2013-11-06,949.000000,951.000000,942.000000,944.000000,34681,61825,945.000000,940.800000,,,-9.401617,-10.571446,2.339658,16.500000,,,,34.285714,65.357399,53.396157,89.279882
2013-11-07,945.000000,947.000000,939.000000,945.000000,45838,62479,944.000000,945.400000,939.600000,,-8.460225,-10.149202,3.377953,15.500000,,,,34.905660,67.966742,58.554951,86.790325
2013-11-08,947.000000,948.000000,936.000000,939.000000,33170,60266,940.000000,944.800000,937.066667,,-8.104887,-9.740339,3.270904,15.142857,,,,35.576923,64.888003,60.751681,73.160648
2013-11-11,940.000000,944.000000,934.000000,942.000000,28782,56171,938.000000,943.200000,935.266667,,-7.494809,-9.291233,3.592848,14.357143,,,,46.511628,64.383764,61.994710,69.161873
2013-11-12,940.000000,944.000000,936.000000,943.000000,22797,53969,939.000000,942.600000,934.933333,,-6.851644,-8.803315,3.903342,13.714286,,,,52.564103,63.630161,62.549481,65.791523
