time,open,high,low,close,volume,open_interest,average_price
1996-04-02,25530.0,25600.0,25440.0,25440.0,137,12750,25520.0
1996-04-03,25300.0,25420.0,25250.0,25350.0,107,12662,25335.0
1996-04-04,25120.0,25420.0,25100.0,25380.0,119,13475,25260.0
1996-04-05,25450.0,25450.0,25370.0,25440.0,25,8562,25410.0
1996-04-08,25250.0,25260.0,25250.0,25250.0,8,7712,25255.0
1996-04-09,25390.0,25450.0,25370.0,25420.0,46,6288,25410.0
1996-04-10,25370.0,25550.0,25370.0,25440.0,35,6575,25460.0
1996-04-11,25650.0,25740.0,25650.0,25700.0,36,5675,25695.0
1996-04-12,26180.0,26280.0,26000.0,26150.0,279,13287,26140.0
1996-04-15,26060.0,26090.0,25820.0,25850.0,127,12637,25955.0
1996-04-16,25700.0,25800.0,25700.0,25720.0,72,12700,25750.0
1996-04-17,25850.0,25850.0,25800.0,25820.0,24,12512,25825.0
1996-04-18,25940.0,25960.0,25800.0,25840.0,54,12250,25880.0
1996-04-19,25820.0,25830.0,25800.0,25810.0,34,12150,25815.0
1996-04-22,26100.0,26140.0,26000.0,26110.0,101,11425,26070.0
1996-04-23,26060.0,26190.0,26050.0,26180.0,24,11237,26120.0
1996-04-24,26150.0,26150.0,25930.0,25930.0,14,11050,26040.0
1996-04-25,26150.0,26160.0,26000.0,26010.0,63,11387,26080.0
1996-04-26,25920.0,26040.0,25920.0,25950.0,79,11800,25980.0
1996-04-29,25850.0,25850.0,25780.0,25800.0,79,11800,25815.0
1996-04-30,25800.0,25870.0,25740.0,25860.0,52,12087,25805.0
1996-05-06,26060.0,26180.0,26040.0,26170.0,72,11750,26110.0
1996-05-07,26120.0,26120.0,26090.0,26110.0,74,12175,26105.0
1996-05-08,26310.0,26380.0,26220.0,26220.0,15,12250,26300.0
1996-05-09,26280.0,26310.0,26120.0,26130.0,147,13062,26215.0
1996-05-10,26100.0,26140.0,26000.0,26130.0,66,13350,26070.0
1996-05-13,26120.0,26120.0,26020.0,26050.0,63,13962,26070.0
1996-05-14,26150.0,26150.0,26120.0,26120.0,27,14087,26135.0
1996-05-15,25820.0,26040.0,25820.0,26030.0,12,14000,25930.0
1996-05-16,25950.0,26090.0,25950.0,26070.0,86,14737,26020.0
1996-05-17,26080.0,26080.0,26050.0,26080.0,26,14887,26065.0
1996-05-20,25520.0,25610.0,25400.0,25420.0,9,14887,25505.0
1996-05-21,25120.0,25300.0,25100.0,25270.0,182,14625,25200.0
1996-05-22,25250.0,25350.0,25060.0,25250.0,171,14262,25205.0
1996-05-23,25440.0,25500.0,25400.0,25480.0,56,13925,25450.0
1996-05-24,25460.0,25460.0,25340.0,25420.0,71,12900,25400.0
1996-05-27,25300.0,25330.0,25300.0,25330.0,70,14500,25315.0
1996-05-28,25340.0,25340.0,25280.0,25280.0,8,14512,25310.0
