time,open,high,low,close,volume,open_interest,average_price
2004-09-22,1230.0,1235.0,1190.0,1191.0,77893,25181,1203.0
2004-09-23,1181.0,1183.0,1172.0,1176.0,37196,25081,1178.0
2004-09-24,1165.0,1185.0,1165.0,1179.0,29367,24534,1179.0
2004-09-27,1175.0,1184.0,1157.0,1158.0,17336,24356,1165.0
2004-09-28,1159.0,1171.0,1159.0,1165.0,26681,32915,1165.0
2004-09-29,1166.0,1169.0,1151.0,1155.0,25441,35464,1158.0
2004-09-30,1148.0,1152.0,1126.0,1127.0,26989,39267,1138.0
2004-10-08,1129.0,1151.0,1116.0,1145.0,31094,40936,1136.0
2004-10-11,1143.0,1157.0,1133.0,1147.0,25683,41421,1149.0
2004-10-12,1151.0,1163.0,1134.0,1151.0,48752,43287,1148.0
2004-10-13,1143.0,1154.0,1141.0,1144.0,42854,45509,1147.0
2004-10-14,1149.0,1155.0,1143.0,1152.0,40421,47768,1149.0
2004-10-15,1148.0,1152.0,1136.0,1139.0,43496,47734,1140.0
2004-10-18,1143.0,1143.0,1133.0,1137.0,30069,48067,1136.0
2004-10-19,1134.0,1151.0,1134.0,1141.0,38048,49425,1143.0
2004-10-20,1150.0,1158.0,1145.0,1157.0,49666,56793,1152.0
2004-10-21,1155.0,1155.0,1146.0,1149.0,32403,59869,1150.0
2004-10-22,1147.0,1148.0,1136.0,1138.0,36960,53710,1139.0
2004-10-25,1138.0,1147.0,1133.0,1142.0,29902,47996,1140.0
2004-10-26,1151.0,1151.0,1142.0,1144.0,14682,50290,1146.01
2004-10-27,1146.0,1148.0,1143.0,1146.0,13703,50397,1145.0
2004-10-28,1142.0,1149.0,1139.0,1148.0,24494,48277,1145.0
2004-10-29,1142.0,1148.0,1140.0,1142.0,18124,46755,1143.0
2004-11-01,1138.0,1141.0,1125.0,1132.0,56806,55239,1132.0
2004-11-02,1128.0,1138.0,1128.0,1137.0,37464,59964,1134.0
2004-11-03,1136.0,1138.0,1130.0,1138.0,37738,58067,1134.0
2004-11-04,1139.0,1139.0,1133.0,1137.0,28924,57960,1135.0
2004-11-05,1133.0,1152.0,1132.0,1143.0,69458,62682,1144.0
2004-11-08,1145.0,1147.0,1141.0,1141.0,25243,61433,1143.0
2004-11-09,1141.0,1145.0,1138.0,1141.0,36194,60398,1141.0
2004-11-10,1142.0,1142.0,1137.0,1140.0,40319,59460,1138.0
2004-11-11,1140.0,1143.0,1137.0,1138.0,30357,60012,1139.0
2004-11-12,1138.0,1140.0,1131.0,1134.0,40148,63176,1136.0
2004-11-15,1138.0,1151.0,1137.0,1145.0,62877,61413,1144.0
2004-11-16,1149.0,1155.0,1144.0,1146.0,48416,68464,1148.0
2004-11-17,1148.0,1150.0,1143.0,1148.0,30629,68252,1146.0
2004-11-18,1153.0,1158.0,1150.0,1155.0,51946,74798,1153.0
2004-11-19,1152.0,1154.0,1147.0,1153.0,32469,76108,1150.0
2004-11-22,1146.0,1149.0,1145.0,1147.0,34323,76833,1147.0
2004-11-23,1146.0,1151.0,1146.0,1148.0,49774,74564,1149.0
2004-11-24,1149.0,1154.0,1149.0,1154.0,36973,72615,1151.0
2004-11-25,1153.0,1172.0,1152.0,1169.0,94724,93707,1164.0
2004-11-26,1170.0,1172.0,1162.0,1167.0,47300,95923,1167.0
2004-11-29,1164.0,1165.0,1147.0,1149.0,76339,87566,1154.0
2004-11-30,1147.0,1152.0,1146.0,1149.0,42109,80061,1149.0
2004-12-01,1148.0,1157.0,1148.0,1156.0,66270,83259,1153.0
2004-12-02,1154.0,1163.0,1150.0,1153.0,50837,83568,1155.0
2004-12-03,1152.0,1159.0,1151.0,1158.0,60522,85789,1155.0
2004-12-06,1161.0,1173.0,1160.0,1166.0,95244,95186,1166.0
2004-12-07,1170.0,1170.0,1161.0,1162.0,79529,94192,1164.0
2004-12-08,1156.0,1159.0,1153.0,1159.0,107238,88224,1157.0
2004-12-09,1161.0,1170.0,1161.0,1168.0,88951,91582,1163.0
2004-12-10,1165.0,1167.0,1161.0,1164.0,69133,89858,1163.0
2004-12-13,1165.0,1171.0,1162.0,1171.0,103837,92235,1167.0
2004-12-14,1175.0,1180.0,1166.0,1166.0,97113,95245,1171.0
2004-12-15,1169.0,1170.0,1166.0,1169.0,67782,96002,1167.0
2004-12-16,1168.0,1169.0,1166.0,1167.0,75905,92071,1167.0
2004-12-17,1166.0,1166.0,1161.0,1163.0,125355,86351,1163.0
2004-12-20,1167.0,1171.0,1164.0,1168.0,90195,88289,1167.0
2004-12-21,1168.0,1170.0,1165.0,1168.0,98159,87423,1166.0
2004-12-22,1168.0,1168.0,1165.0,1166.0,92246,83933,1167.0
2004-12-23,1165.0,1169.0,1162.0,1165.0,99567,84385,1164.0
2004-12-24,1168.0,1168.0,1164.0,1166.0,55196,82507,1165.0
2004-12-27,1166.0,1167.0,1164.0,1165.0,89704,81689,1165.0
2004-12-28,1165.0,1166.0,1149.0,1153.0,109428,78217,1155.0
2004-12-29,1153.0,1157.0,1150.0,1155.0,87114,76182,1155.0
2004-12-30,1153.0,1158.0,1152.0,1154.0,81071,72967,1155.0
2004-12-31,1155.0,1157.0,1152.0,1156.0,61865,68099,1154.0
2005-01-04,1150.0,1154.0,1143.0,1145.0,50661,69390,1149.0
2005-01-05,1141.0,1152.0,1141.0,1151.0,57702,70335,1146.0
2005-01-06,1151.0,1157.0,1151.0,1154.0,58265,74645,1153.0
2005-01-07,1162.0,1164.0,1156.0,1158.0,71048,73193,1158.0
2005-01-10,1158.0,1158.0,1152.0,1155.0,62543,73703,1154.0
2005-01-11,1156.0,1158.0,1154.0,1155.0,63406,72207,1156.0
2005-01-12,1153.0,1158.0,1153.0,1157.0,76684,71747,1155.0
2005-01-13,1150.0,1156.0,1149.0,1155.0,69985,70757,1153.0
2005-01-14,1155.0,1157.0,1154.0,1156.0,65483,68320,1155.0
2005-01-17,1151.0,1156.0,1151.0,1156.0,52473,66466,1155.0
