time,open,high,low,close,volume,open_interest,average_price
2008-07-15,212.88,213.93,212.75,213.93,8727,15746,213.34
2008-07-16,211.0,212.49,211.0,211.6,9025,15227,212.01
2008-07-17,211.5,211.88,210.8,211.01,8530,15599,211.26
2008-07-18,209.99,211.5,209.52,211.36,6329,16402,210.6
2008-07-21,211.0,212.0,210.81,211.94,7103,17475,211.48
2008-07-22,212.61,214.2,212.5,214.15,7752,17746,213.17
2008-07-23,209.98,209.98,206.5,206.61,12078,15794,207.97
2008-07-24,202.29,204.38,200.45,203.38,10014,14408,202.61
2008-07-25,203.88,205.78,203.88,205.23,5592,14224,204.91
2008-07-28,205.0,205.2,203.93,204.35,4645,13998,204.49
2008-07-29,205.41,205.7,204.59,204.65,4281,14133,205.2
2008-07-30,202.0,202.4,201.3,202.1,5050,13656,201.9
2008-07-31,201.27,202.9,201.02,202.87,9561,15972,201.92
2008-08-01,201.5,201.97,201.31,201.58,4754,15833,201.59
2008-08-04,201.66,203.44,201.66,203.4,5555,16079,202.77
2008-08-05,197.8,199.46,195.8,196.55,10148,15602,197.46
2008-08-06,195.77,196.95,195.1,196.95,6663,16680,196.23
2008-08-07,196.02,197.49,196.02,197.41,4682,16763,196.85
2008-08-08,194.5,194.87,193.52,194.11,7442,17486,194.26
2008-08-11,192.31,193.38,191.0,191.49,8614,17860,192.45
2008-08-12,182.82,182.82,182.82,182.82,1045,17421,182.82
2008-08-13,180.1,184.62,179.1,184.45,19341,16933,181.75
2008-08-14,186.6,186.87,184.04,186.0,11563,16012,185.33
2008-08-15,176.28,177.87,176.1,176.15,14150,15466,176.88
2008-08-18,179.33,181.52,178.81,181.45,11504,16161,179.8
2008-08-19,178.28,178.72,176.18,176.45,12405,16583,177.35
2008-08-20,183.03,183.29,181.86,182.3,9970,15169,182.61
2008-08-21,183.3,184.55,182.73,184.37,8961,15995,183.76
2008-08-22,187.0,187.3,186.12,186.55,7708,15455,186.7
2008-08-25,182.51,183.18,181.1,182.8,8060,15250,182.17
2008-08-26,182.05,183.35,181.56,182.25,7817,15066,182.34
2008-08-27,184.49,185.34,184.15,184.83,6374,14939,184.89
2008-08-28,185.11,186.12,184.72,185.56,5817,14932,185.45
2008-08-29,184.38,185.75,184.35,185.44,5602,13925,185.32
2008-09-01,185.0,185.18,184.5,184.9,4510,14156,184.85
2008-09-02,180.5,181.4,179.37,179.5,9029,14318,180.55
2008-09-03,180.0,180.24,178.1,178.76,8346,15045,179.21
2008-09-04,179.8,180.5,179.35,180.3,7266,15704,179.82
2008-09-05,176.5,178.33,176.3,177.99,7896,15844,177.55
2008-09-08,181.4,182.09,180.8,181.25,9109,14955,181.36
2008-09-09,179.0,179.27,177.5,178.57,9361,15614,178.42
2008-09-10,170.81,173.85,170.71,173.26,12919,15947,172.77
2008-09-11,169.2,169.9,168.5,168.82,11013,16855,169.28
2008-09-12,168.9,170.0,168.4,170.0,13354,18502,169.16
2008-09-16,174.02,174.38,171.0,172.9,22455,16060,172.74
2008-09-17,174.66,174.88,173.42,174.58,11550,15465,174.16
2008-09-18,182.86,182.86,182.86,182.86,527,15216,182.86
2008-09-19,189.0,189.7,185.8,187.2,25791,14236,187.51
2008-09-22,191.0,191.86,189.5,191.79,17804,14053,190.76
2008-09-23,199.39,199.5,195.72,195.87,20333,13778,197.95
2008-09-24,195.0,196.67,193.38,196.34,18585,13130,194.54
2008-09-25,195.0,197.48,194.47,197.19,14556,12368,196.3
2008-09-26,195.0,195.46,192.88,193.7,11783,11063,194.06
2008-10-06,184.35,184.68,184.35,184.35,3952,10860,184.36
2008-10-07,188.3,192.09,188.0,192.09,23919,12679,190.61
2008-10-08,194.08,199.98,193.12,199.16,26474,14772,195.94
2008-10-09,198.1,199.18,193.88,194.6,33102,15824,196.87
2008-10-10,203.5,204.5,199.1,202.72,86505,18074,201.63
2008-10-13,191.54,191.96,191.54,191.54,8861,14900,191.56
2008-10-14,188.7,188.7,185.69,186.55,24590,13877,187.03
2008-10-15,186.42,187.28,185.5,186.62,26403,14542,186.42
2008-10-16,184.5,185.49,177.1,178.99,37037,19599,182.73
2008-10-17,176.0,177.8,173.6,176.64,24796,16033,175.67
2008-10-20,175.0,177.6,172.61,177.14,29302,14580,175.43
2008-10-21,176.0,176.3,172.33,172.72,22677,16078,174.06
2008-10-22,169.0,169.33,165.35,165.35,17914,20091,167.15
2008-10-23,155.44,159.98,155.44,159.3,20922,20193,156.73
2008-10-24,158.0,159.5,148.89,148.9,52696,22647,153.0
2008-10-27,160.3,160.65,152.14,156.59,47987,17939,156.67
2008-10-28,159.01,164.4,155.0,163.98,32164,8471,159.83
2008-10-29,163.0,164.48,161.21,163.99,35027,23143,162.88
2008-10-30,168.0,168.55,165.66,168.5,41200,25473,167.48
2008-10-31,159.1,159.74,159.1,159.1,15654,28413,159.15
2008-11-03,159.0,161.1,157.97,160.6,35106,28937,159.58
2008-11-04,159.5,159.6,156.51,158.36,33103,29771,158.15
2008-11-05,166.05,166.05,163.3,164.02,28726,29598,164.78
2008-11-06,160.5,160.89,159.38,159.66,24383,31114,160.04
2008-11-07,156.81,159.75,156.01,159.7,28065,32134,157.97
2008-11-10,162.98,163.88,162.01,163.2,23753,29344,163.1
2008-11-11,161.0,161.2,159.84,160.0,26783,33983,160.45
2008-11-12,158.0,160.33,157.7,160.16,22268,32912,159.18
2008-11-13,155.0,155.31,152.91,153.2,29170,37267,154.05
2008-11-14,158.0,158.5,157.38,158.08,21327,34159,157.83
2008-11-17,158.6,161.15,158.6,160.82,22226,34251,160.2
2008-11-18,159.8,160.8,159.5,159.67,15828,31837,160.21
2008-11-19,160.0,160.89,160.0,160.89,10159,29847,160.47
2008-11-20,159.7,164.0,159.7,161.4,30052,28770,161.19
2008-11-21,161.4,165.3,161.22,164.83,34719,26620,163.31
2008-11-24,171.47,171.47,171.47,171.47,3665,24573,171.47
2008-11-25,178.85,178.85,176.05,177.7,29685,21757,177.32
2008-11-26,177.01,177.75,176.7,177.35,13488,21626,177.26
2008-11-27,177.02,179.47,177.02,177.47,17029,20955,178.29
2008-11-28,177.4,177.96,176.77,177.73,11936,20368,177.38
2008-12-01,177.01,178.08,175.88,177.18,15849,21149,176.92
2008-12-02,168.51,169.58,168.07,168.07,16084,22741,168.73
2008-12-03,168.5,170.3,168.43,170.0,15234,24149,169.41
2008-12-04,168.76,169.03,167.01,167.82,19539,25925,168.36
2008-12-05,168.0,168.77,167.34,168.69,25189,26037,168.22
2008-12-08,166.99,170.4,166.7,170.24,23843,23264,168.48
2008-12-09,170.25,171.47,169.6,170.4,16013,22514,170.17
2008-12-10,171.85,173.17,171.0,173.08,19786,21678,172.23
2008-12-11,176.6,180.84,176.6,180.8,19511,23446,178.83
2008-12-12,181.0,181.88,177.12,178.02,31449,20895,179.54
2008-12-15,182.0,184.39,181.7,183.61,23369,21757,183.51
