time,open,high,low,close,volume,open_interest,average_price
2014-03-21,3252.0,3336.0,3230.0,3324.0,93739,26015,3300.0
2014-03-24,3314.0,3330.0,3266.0,3330.0,43405,23808,3304.03
2014-03-25,3326.0,3400.0,3320.0,3378.0,59927,30628,3358.0
2014-03-26,3370.0,3382.0,3354.0,3376.0,18938,30280,3368.0
2014-03-27,3368.0,3386.0,3350.0,3362.0,20115,30715,3364.0
2014-03-28,3376.0,3386.0,3360.0,3382.0,17145,31540,3372.0
2014-03-31,3396.0,3422.0,3382.0,3410.0,30485,32820,3402.0
2014-04-01,3412.0,3418.0,3396.0,3414.0,8948,32068,3406.0
2014-04-02,3410.0,3426.0,3388.0,3390.0,14285,34350,3404.0
2014-04-03,3384.0,3414.0,3382.0,3410.0,10353,34205,3398.0
2014-04-04,3412.0,3440.0,3402.0,3440.0,10680,35047,3422.0
2014-04-08,3450.0,3488.0,3442.0,3480.0,20143,40436,3468.0
2014-04-09,3488.0,3488.0,3444.0,3452.0,16451,40917,3461.99
2014-04-10,3450.0,3470.0,3442.0,3446.0,9815,40616,3456.0
2014-04-11,3430.0,3452.0,3430.0,3434.0,6550,38420,3440.0
2014-04-14,3432.0,3464.0,3432.0,3438.0,6321,38510,3446.0
2014-04-15,3442.0,3448.0,3418.0,3448.0,10362,37762,3430.0
2014-04-16,3446.0,3446.0,3410.0,3418.0,9269,34076,3418.0
2014-04-17,3428.0,3428.0,3410.0,3412.0,2795,33702,3418.0
2014-04-18,3410.0,3412.0,3346.0,3354.0,25880,33249,3370.0
2014-04-21,3340.0,3364.0,3340.0,3340.0,4146,32418,3350.0
2014-04-22,3340.0,3366.0,3324.0,3354.0,11979,30475,3344.0
2014-04-23,3358.0,3388.0,3336.0,3380.0,9922,29460,3358.0
2014-04-24,3376.0,3396.0,3366.0,3390.0,6324,29043,3380.0
2014-04-25,3398.0,3400.0,3372.0,3378.0,4283,29285,3382.0
2014-04-28,3372.0,3372.0,3334.0,3336.0,8677,28315,3342.0
2014-04-29,3334.0,3374.0,3334.0,3360.0,4368,27846,3358.0
2014-04-30,3370.0,3370.0,3338.0,3344.0,4974,27605,3344.0
2014-05-05,3334.0,3362.0,3224.0,3352.0,5784,26863,3340.0
2014-05-06,3342.0,3364.0,3336.0,3344.0,2361,26490,3350.0
2014-05-07,3338.0,3358.0,3330.0,3332.0,4766,26392,3340.0
2014-05-08,3330.0,3338.0,3310.0,3312.0,6649,24822,3320.0
2014-05-09,3312.0,3330.0,3302.0,3318.0,4806,24675,3318.0
2014-05-12,3332.0,3336.0,3298.0,3336.0,5756,24132,3316.0
2014-05-13,3336.0,3346.0,3320.0,3326.0,3347,23913,3332.0
2014-05-14,3326.0,3330.0,3314.0,3324.0,3872,22508,3318.0
2014-05-15,3324.0,3328.0,3298.0,3300.0,2333,22369,3312.0
2014-05-16,3294.0,3300.0,3240.0,3272.0,5949,22089,3272.0
2014-05-19,3262.0,3284.0,3250.0,3264.0,3701,21930,3268.0
2014-05-20,3260.0,3276.0,3254.0,3262.0,1613,21896,3264.0
2014-05-21,3264.0,3284.0,3254.0,3274.0,2538,22028,3266.0
2014-05-22,3272.0,3314.0,3272.0,3280.0,2835,22015,3292.0
2014-05-23,3286.0,3294.0,3276.0,3282.0,1239,21923,3284.0
2014-05-26,3288.0,3330.0,3286.0,3326.0,3263,21979,3316.0
2014-05-27,3332.0,3370.0,3320.0,3340.0,8607,23904,3348.0
2014-05-28,3300.0,3342.0,3300.0,3312.0,3344,23700,3324.0
2014-05-29,3308.0,3324.0,3300.0,3308.0,2848,23502,3310.0
2014-05-30,3300.0,3300.0,3252.0,3264.0,5945,23206,3270.0
2014-06-03,3256.0,3290.0,3246.0,3268.0,5747,22996,3270.0
2014-06-04,3268.0,3276.0,3260.0,3262.0,3911,23068,3268.0
2014-06-05,3268.0,3284.0,3252.0,3270.0,6525,22093,3264.0
2014-06-06,3276.0,3282.0,3260.0,3282.0,2606,21718,3270.0
2014-06-09,3278.0,3282.0,3254.0,3262.0,5531,19969,3266.0
2014-06-10,3262.0,3272.0,3230.0,3268.0,4445,19716,3252.0
2014-06-11,3270.0,3278.0,3254.0,3260.0,2646,19698,3262.0
2014-06-12,3252.0,3256.0,3230.0,3246.0,6006,19826,3244.0
2014-06-13,3238.0,3258.0,3230.0,3248.0,6497,20335,3246.0
2014-06-16,3250.0,3250.0,3216.0,3226.0,9355,22719,3228.0
2014-06-17,3218.0,3246.0,3208.0,3238.0,3941,22080,3230.0
2014-06-18,3240.0,3276.0,3232.0,3264.0,9549,22596,3258.01
2014-06-19,3266.0,3280.0,3260.0,3264.0,8578,23735,3272.0
2014-06-20,3270.0,3286.0,3254.0,3278.0,9546,25424,3270.0
