time,open,high,low,close,volume,open_interest,average_price
2013-10-18,978.0,984.0,962.0,977.0,150409,32521,975.0
2013-10-21,976.0,977.0,960.0,969.0,47716,34065,967.0
2013-10-22,963.0,966.0,948.0,948.0,45648,38002,956.0
2013-10-23,949.0,953.0,936.0,939.0,58245,40581,944.0
2013-10-24,938.0,939.0,916.0,926.0,84514,43936,928.0
2013-10-25,928.0,936.0,917.0,918.0,52030,43236,927.0
2013-10-28,920.0,928.0,917.0,923.0,41895,46740,922.0
2013-10-29,924.0,925.0,913.0,921.0,52938,49529,917.0
2013-10-30,919.0,930.0,916.0,924.0,59136,45631,922.0
2013-10-31,925.0,927.0,920.0,922.0,37336,42410,923.0
2013-11-01,921.0,954.0,921.0,942.0,160621,53791,942.0
2013-11-04,943.0,957.0,942.0,950.0,87540,61149,949.0
2013-11-05,948.0,954.0,943.0,946.0,54192,60971,947.0
2013-11-06,949.0,951.0,942.0,944.0,34681,61825,945.0
2013-11-07,945.0,947.0,939.0,945.0,45838,62479,944.0
2013-11-08,947.0,948.0,936.0,939.0,33170,60266,940.0
2013-11-11,940.0,944.0,934.0,942.0,28782,56171,938.0
2013-11-12,940.0,944.0,936.0,943.0,22797,53969,939.0
2013-11-13,941.0,952.0,940.0,943.0,48242,55406,946.0
2013-11-14,940.0,944.0,937.0,937.0,27876,51723,940.0
2013-11-15,939.0,942.0,930.0,931.0,38007,51376,935.0
2013-11-18,931.0,935.0,925.0,932.0,26352,49689,930.0
2013-11-19,931.0,943.0,930.0,942.0,30082,53452,936.0
2013-11-20,943.0,946.0,940.0,942.0,21726,52114,942.0
2013-11-21,942.0,943.0,932.0,932.0,20661,52545,935.0
2013-11-22,934.0,935.0,929.0,931.0,26296,53046,932.0
2013-11-25,933.0,936.0,928.0,933.0,19098,52094,932.0
2013-11-26,934.0,943.0,934.0,941.0,36325,54081,939.0
2013-11-27,940.0,942.0,933.0,936.0,15307,53268,936.0
2013-11-28,933.0,940.0,933.0,939.0,13610,52864,937.0
2013-11-29,939.0,945.0,939.0,939.0,16682,53209,941.0
2013-12-02,940.0,941.0,934.0,936.0,20760,54372,936.0
2013-12-03,938.0,941.0,936.0,939.0,17713,52668,938.0
2013-12-04,942.0,955.0,941.0,952.0,47210,57191,949.0
2013-12-05,953.0,956.0,944.0,945.0,26495,57269,948.0
2013-12-06,944.0,945.0,938.0,941.0,20022,54215,940.0
2013-12-09,941.0,946.0,940.0,945.0,9695,56189,943.0
2013-12-10,946.0,947.0,942.0,942.0,8450,54863,943.0
2013-12-11,942.0,942.0,934.0,937.0,19492,54066,936.0
2013-12-12,936.0,938.0,930.0,930.0,17747,54472,934.0
2013-12-13,927.0,927.0,905.0,914.0,45697,58370,912.0
2013-12-16,913.0,923.0,912.0,918.0,19835,60656,918.0
2013-12-17,918.0,920.0,908.0,910.0,12291,62356,916.0
2013-12-18,908.0,913.0,902.0,906.0,35612,64094,907.0
2013-12-19,909.0,913.0,907.0,908.0,15149,64133,909.0
2013-12-20,909.0,913.0,901.0,905.0,17377,63595,908.0
2013-12-23,904.0,905.0,885.0,893.0,64256,67862,892.0
2013-12-24,892.0,907.0,892.0,900.0,47812,60578,901.0
2013-12-25,903.0,904.0,898.0,903.0,24396,57104,901.0
2013-12-26,903.0,904.0,885.0,896.0,42295,62058,891.0
2013-12-27,898.0,910.0,896.0,907.0,43641,53961,903.0
2013-12-30,908.0,920.0,908.0,911.0,42603,52025,913.0
2013-12-31,908.0,914.0,899.0,911.0,36290,49323,909.0
2014-01-02,912.0,912.0,899.0,907.0,28255,53940,906.0
2014-01-03,904.0,905.0,887.0,902.0,66377,61179,897.0
2014-01-06,900.0,900.0,888.0,893.0,54301,71321,892.0
2014-01-07,892.0,899.0,887.0,896.0,43226,74517,893.0
2014-01-08,895.0,897.0,884.0,892.0,50626,78632,890.0
2014-01-09,891.0,899.0,884.0,888.0,51024,80803,890.0
2014-01-10,885.0,886.0,870.0,881.0,90126,81689,877.0
2014-01-13,879.0,880.0,868.0,871.0,54137,89053,872.0
2014-01-14,875.0,881.0,866.0,880.0,47068,89051,874.0
2014-01-15,880.0,882.0,875.0,879.0,34427,92352,877.0
2014-01-16,880.0,885.0,875.0,879.0,33018,93255,879.0
2014-01-17,876.0,878.0,870.0,876.0,42036,92206,874.0
2014-01-20,872.0,876.0,859.0,861.0,47709,97511,867.0
2014-01-21,860.0,861.0,843.0,847.0,62245,104255,849.0
2014-01-22,850.0,858.0,845.0,852.0,38022,104493,851.0
2014-01-23,857.0,885.0,855.0,878.0,108820,97052,869.0
2014-01-24,877.0,880.0,871.0,877.0,51756,88150,875.0
2014-01-27,871.0,874.0,861.0,864.0,39952,92335,865.0
2014-01-28,863.0,867.0,857.0,857.0,31705,92174,861.0
2014-01-29,857.0,868.0,856.0,866.0,26187,91991,863.0
2014-01-30,864.0,871.0,860.0,868.0,18561,90933,866.0
2014-02-07,865.0,868.0,853.0,856.0,42810,84392,859.0
2014-02-10,856.0,859.0,846.0,854.0,48715,87214,853.0
2014-02-11,852.0,857.0,845.0,848.0,35926,89945,851.0
2014-02-12,849.0,855.0,844.0,853.0,35622,89344,849.0
2014-02-13,853.0,858.0,850.0,854.0,31686,87939,853.0
2014-02-14,854.0,865.0,854.0,861.0,39634,88926,860.0
