time,open,high,low,close,volume,open_interest,average_price
2011-10-28,3199.0,3220.0,3130.0,3139.0,20254,1671,3157.0
2011-10-31,3136.0,3198.0,3110.0,3134.0,17464,1823,3144.0
2011-11-01,3140.0,3154.0,3125.0,3131.0,6677,1526,3137.0
2011-11-02,3112.0,3128.0,3095.0,3123.0,3856,1741,3114.0
2011-11-03,3120.0,3122.0,3107.0,3114.0,1654,1503,3117.0
2011-11-04,3126.0,3145.0,3122.0,3139.0,2928,1363,3132.0
2011-11-07,3139.0,3142.0,3121.0,3126.0,874,1320,3130.0
2011-11-08,3130.0,3134.0,3114.0,3118.0,824,1387,3123.0
2011-11-09,3125.0,3128.0,3008.0,3019.0,11194,3405,3042.0
2011-11-10,2975.0,2975.0,2920.0,2920.0,6428,4093,2937.0
2011-11-11,2930.0,3007.0,2900.0,2976.0,11827,2380,2967.0
2011-11-14,3001.0,3009.0,2920.0,2932.0,16565,4805,2950.0
2011-11-15,2900.0,2949.0,2890.0,2931.0,11698,4392,2926.0
2011-11-16,2939.0,2944.0,2903.0,2903.0,5863,4263,2920.0
2011-11-17,2912.0,2912.0,2855.0,2871.0,16362,5537,2876.0
2011-11-18,2831.0,2877.0,2831.0,2869.0,6489,4366,2860.0
2011-11-21,2852.0,2879.0,2852.0,2860.0,4744,4585,2868.0
2011-11-22,2850.0,2859.0,2833.0,2839.0,4080,4534,2844.0
2011-11-23,2841.0,2850.0,2801.0,2809.0,3879,4899,2833.0
2011-11-24,2798.0,2810.0,2769.0,2784.0,5572,5086,2787.0
2011-11-25,2776.0,2795.0,2753.0,2755.0,5332,5635,2772.0
2011-11-28,2757.0,2776.0,2721.0,2743.0,14311,6819,2745.0
2011-11-29,2744.0,2766.0,2722.0,2754.0,17553,6916,2748.0
2011-11-30,2758.0,2788.0,2751.0,2758.0,17175,5846,2769.0
2011-12-01,2821.0,2850.0,2782.0,2793.0,9777,5284,2802.0
2011-12-02,2788.0,2799.0,2762.0,2784.0,8257,5390,2783.0
2011-12-05,2786.0,2804.0,2784.0,2798.0,4866,4762,2796.0
2011-12-06,2792.0,2796.0,2782.0,2794.0,3146,4447,2789.0
2011-12-07,2798.0,2804.0,2793.0,2801.0,1527,4313,2799.0
2011-12-08,2796.0,2796.0,2779.0,2789.0,2221,4177,2787.0
2011-12-09,2782.0,2785.0,2775.0,2776.0,1964,4066,2778.0
2011-12-12,2777.0,2780.0,2736.0,2739.0,3053,4576,2755.0
