time,open,high,low,close,volume,open_interest,average_price
2009-05-25,6575.0,6630.0,6435.0,6490.0,53882,6139,6495.0
2009-05-26,6485.0,6540.0,6445.0,6460.0,19145,5281,6480.0
2009-05-27,6500.0,6535.0,6460.0,6485.0,17001,5173,6495.0
2009-06-01,6555.0,6595.0,6520.0,6570.0,13089,5176,6555.0
2009-06-02,6590.0,6590.0,6545.0,6555.0,6748,4694,6560.0
2009-06-03,6565.0,6595.0,6550.0,6580.0,7340,4726,6565.0
2009-06-04,6545.0,6570.0,6530.0,6555.0,4266,4390,6550.0
2009-06-05,6590.0,6695.0,6575.0,6655.0,9932,5098,6640.0
2009-06-08,6650.0,6970.0,6620.0,6970.0,53674,17486,6920.0
2009-06-09,7020.0,7160.0,6910.0,7040.0,177433,23976,7030.0
2009-06-10,7120.0,7130.0,6955.0,6990.0,106076,19206,7025.0
2009-06-11,7025.0,7050.0,6930.0,6930.0,52459,19142,6980.0
2009-06-12,6955.0,6970.0,6790.0,6820.0,71327,19673,6890.0
2009-06-15,6800.0,6910.0,6755.0,6855.0,54975,20662,6840.0
2009-06-16,6805.0,6890.0,6800.0,6850.0,31603,19485,6850.0
2009-06-17,6830.0,6990.0,6800.0,6940.0,101671,24056,6935.0
2009-06-18,6965.0,7085.0,6910.0,6945.0,110258,25965,7005.0
2009-06-19,6970.0,7015.0,6890.0,6915.0,56215,24544,6940.0
2009-06-22,6850.0,6930.0,6815.0,6815.0,48718,24338,6865.0
2009-06-23,6755.0,6810.0,6715.0,6770.0,43952,22250,6750.0
2009-06-24,6795.0,6795.0,6715.0,6770.0,24420,21293,6755.0
2009-06-25,6770.0,6865.0,6750.0,6830.0,35475,22472,6820.0
2009-06-26,6880.0,6920.0,6825.0,6885.0,27506,20853,6860.0
2009-06-29,6865.0,6865.0,6770.0,6775.0,18948,20755,6815.0
2009-06-30,6820.0,6915.0,6800.0,6885.0,34925,22904,6860.0
2009-07-01,6855.0,6905.0,6820.0,6855.0,23045,22066,6845.0
2009-07-02,6830.0,6895.0,6815.0,6830.0,22940,20812,6850.0
2009-07-03,6800.0,6880.0,6770.0,6855.0,29958,20196,6835.0
2009-07-06,6850.0,6955.0,6840.0,6870.0,43933,20251,6900.0
2009-07-07,6890.0,6930.0,6880.0,6925.0,19973,20823,6905.0
2009-07-08,6890.0,6905.0,6845.0,6870.0,13964,17859,6875.0
2009-07-09,6840.0,6870.0,6815.0,6865.0,13606,18230,6840.0
2009-07-10,6880.0,6985.0,6865.0,6880.0,43494,19211,6925.0
2009-07-13,6905.0,6910.0,6840.0,6845.0,20243,18454,6875.0
2009-07-14,6870.0,6880.0,6840.0,6860.0,11451,19231,6855.0
2009-07-15,6870.0,6950.0,6850.0,6930.0,29360,23212,6910.0
2009-07-16,6955.0,7000.0,6890.0,6930.0,27790,23580,6945.0
2009-07-17,6945.0,7030.0,6930.0,7000.0,52675,30493,6980.0
2009-07-20,7030.0,7075.0,6990.0,7005.0,36948,31182,7020.0
2009-07-21,7010.0,7010.0,6860.0,6905.0,27824,27839,6930.0
2009-07-22,6905.0,6945.0,6865.0,6875.0,19105,25523,6905.0
2009-07-23,6900.0,6915.0,6845.0,6895.0,15807,25367,6880.0
2009-07-24,6900.0,6935.0,6880.0,6905.0,13982,24704,6905.0
2009-07-27,6910.0,7045.0,6910.0,7035.0,26617,26824,6975.0
2009-07-28,7245.0,7340.0,7195.0,7270.0,55158,36301,7275.0
2009-07-29,7250.0,7360.0,7155.0,7220.0,61718,32806,7255.0
2009-07-30,7200.0,7495.0,7185.0,7490.0,184132,63404,7410.0
2009-07-31,7560.0,7750.0,7520.0,7660.0,151185,66930,7650.0
2009-08-03,7745.0,7865.0,7550.0,7740.0,213796,74772,7735.0
2009-08-04,7755.0,7815.0,7390.0,7520.0,230353,70596,7575.0
2009-08-05,7600.0,7670.0,7460.0,7520.0,157259,67352,7575.0
2009-08-06,7550.0,7785.0,7505.0,7735.0,312459,84946,7685.0
2009-08-07,7705.0,7825.0,7540.0,7570.0,299481,76843,7655.0
2009-08-10,7575.0,7740.0,7555.0,7675.0,259512,83695,7670.0
2009-08-11,7645.0,8025.0,7635.0,7930.0,439088,97332,7850.0
2009-08-12,7930.0,8035.0,7765.0,7785.0,300577,88938,7900.0
2009-08-13,7900.0,7990.0,7815.0,7875.0,221921,89704,7890.0
2009-08-14,7920.0,7950.0,7635.0,7670.0,302396,79484,7730.0
2009-08-17,7505.0,7540.0,7345.0,7345.0,101133,70713,7380.0
2009-08-18,7345.0,7410.0,7255.0,7330.0,183426,64505,7330.0
2009-08-19,7420.0,7425.0,7015.0,7155.0,164495,56330,7210.0
2009-08-20,7290.0,7315.0,7130.0,7260.0,148282,54522,7230.0
2009-08-21,7200.0,7380.0,7170.0,7255.0,160926,54505,7285.0
2009-08-24,7440.0,7510.0,7240.0,7380.0,127385,56528,7380.0
2009-08-25,7310.0,7360.0,7185.0,7230.0,116347,55233,7255.0
2009-08-26,7170.0,7295.0,7160.0,7230.0,73914,56678,7240.0
2009-08-27,7220.0,7305.0,7180.0,7235.0,95005,56747,7240.0
2009-08-28,7300.0,7325.0,7240.0,7265.0,75192,56164,7275.0
2009-08-31,7295.0,7295.0,7100.0,7120.0,82672,56152,7165.0
2009-09-01,7125.0,7140.0,6980.0,7035.0,88165,55027,7055.0
