time,open,high,low,close,volume,open_interest,average_price
2009-03-27,3550.0,3663.0,3513.0,3561.0,177295,22774,3577.0
2009-03-30,3550.0,3580.0,3528.0,3544.0,72584,24190,3548.0
2009-03-31,3538.0,3566.0,3531.0,3549.0,35296,22357,3549.0
2009-04-01,3560.0,3561.0,3543.0,3547.0,14050,21038,3549.0
2009-04-02,3545.0,3548.0,3456.0,3473.0,117723,34444,3481.0
2009-04-03,3481.0,3481.0,3436.0,3448.0,76188,37519,3456.0
2009-04-07,3410.0,3518.0,3410.0,3491.0,121289,50241,3482.0
2009-04-08,3480.0,3491.0,3456.0,3463.0,73644,45955,3469.0
2009-04-09,3476.0,3486.0,3460.0,3468.0,43844,47416,3472.0
2009-04-10,3483.0,3499.0,3470.0,3484.0,60489,50082,3485.0
2009-04-13,3485.0,3493.0,3464.0,3469.0,54910,54715,3481.0
2009-04-14,3475.0,3600.0,3469.0,3560.0,270323,75320,3558.0
2009-04-15,3570.0,3590.0,3550.0,3562.0,127803,75748,3566.0
2009-04-16,3582.0,3628.0,3570.0,3596.0,125232,84664,3597.0
2009-04-17,3594.0,3648.0,3581.0,3620.0,169625,109946,3622.0
2009-04-20,3620.0,3648.0,3608.0,3623.0,129598,118914,3632.0
2009-04-21,3580.0,3590.0,3486.0,3524.0,166224,119777,3539.0
2009-04-22,3550.0,3566.0,3508.0,3526.0,84262,116474,3536.0
2009-04-23,3529.0,3531.0,3488.0,3513.0,65193,116493,3507.0
2009-04-24,3513.0,3522.0,3497.0,3501.0,50722,123024,3506.0
2009-04-27,3510.0,3520.0,3492.0,3499.0,51236,127254,3505.0
2009-04-28,3496.0,3515.0,3496.0,3507.0,48274,131267,3507.0
2009-04-29,3507.0,3520.0,3503.0,3520.0,51347,137527,3511.0
2009-04-30,3536.0,3575.0,3523.0,3553.0,123456,148800,3543.0
2009-05-04,3573.0,3660.0,3571.0,3636.0,287166,163051,3624.0
2009-05-05,3636.0,3644.0,3570.0,3577.0,87977,154972,3588.0
2009-05-06,3578.0,3598.0,3573.0,3594.0,51894,156731,3591.0
2009-05-07,3628.0,3630.0,3591.0,3593.0,75210,159545,3608.0
2009-05-08,3599.0,3616.0,3589.0,3614.0,51810,161577,3602.0
2009-05-11,3615.0,3678.0,3606.0,3639.0,167541,169577,3649.0
2009-05-12,3645.0,3660.0,3630.0,3645.0,96817,169723,3647.0
2009-05-13,3655.0,3657.0,3634.0,3639.0,59318,170250,3646.0
2009-05-14,3616.0,3620.0,3590.0,3594.0,69786,168150,3598.0
2009-05-15,3600.0,3618.0,3596.0,3604.0,66146,169039,3606.0
2009-05-18,3595.0,3612.0,3581.0,3608.0,52373,168375,3596.0
2009-05-19,3630.0,3630.0,3611.0,3618.0,47810,167745,3617.0
2009-05-20,3616.0,3644.0,3612.0,3618.0,59387,168740,3624.0
2009-05-21,3620.0,3642.0,3618.0,3624.0,58814,170924,3629.0
2009-05-22,3619.0,3627.0,3608.0,3618.0,30111,170021,3617.0
2009-05-25,3629.0,3629.0,3600.0,3609.0,47905,176578,3607.0
2009-05-26,3609.0,3620.0,3596.0,3601.0,57097,171483,3606.0
2009-05-27,3628.0,3628.0,3606.0,3610.0,23259,168363,3610.0
2009-06-01,3630.0,3657.0,3622.0,3647.0,96504,172995,3643.0
2009-06-02,3660.0,3682.0,3652.0,3655.0,99564,171860,3663.0
2009-06-03,3659.0,3672.0,3656.0,3670.0,52733,172337,3665.0
2009-06-04,3650.0,3712.0,3645.0,3700.0,185477,182156,3693.0
2009-06-05,3721.0,3778.0,3720.0,3756.0,133893,173062,3754.0
2009-06-08,3755.0,3793.0,3747.0,3788.0,146889,174721,3770.0
2009-06-09,3797.0,3807.0,3768.0,3779.0,107338,172991,3782.0
2009-06-10,3792.0,3813.0,3774.0,3808.0,119105,175288,3797.0
2009-06-11,3810.0,3940.0,3807.0,3878.0,317076,189683,3869.0
2009-06-12,3888.0,3928.0,3835.0,3864.0,294421,178049,3893.0
2009-06-15,3855.0,3877.0,3823.0,3849.0,183011,173911,3850.0
