time,open,high,low,close,volume,open_interest,average_price
2000-07-17,2160.0,2160.0,1996.0,1996.0,186,135,2096.0
2000-07-18,2013.0,2146.0,2013.0,2038.0,542,346,2056.0
2000-07-19,2040.0,2040.0,2011.0,2012.0,68,371,2024.0
2000-07-20,2021.0,2026.0,2006.0,2016.0,30,371,2016.0
2000-07-21,1990.0,1998.0,1970.0,1970.0,102,377,1970.0
2000-07-24,1970.0,1977.0,1930.0,1976.0,59,374,1976.0
2000-07-25,1938.0,1998.0,1937.0,1998.0,62,374,1998.0
2000-07-26,1990.0,1990.0,1940.0,1950.0,31,374,1950.0
2000-07-27,1987.0,1987.0,1935.0,1948.0,33,374,1948.0
2000-07-28,1924.0,1950.0,1922.0,1926.0,79,371,1926.0
2000-07-31,1950.0,1958.0,1940.0,1948.0,354,371,1948.0
2000-08-02,1760.0,1760.0,1710.0,1712.0,222,188,1712.0
2000-08-03,1720.0,1740.0,1712.0,1725.0,111,326,1725.0
2000-08-04,1865.0,1895.0,1861.0,1870.0,324,537,1870.0
2000-08-07,1661.0,1677.0,1605.0,1650.0,2550,4298,1650.0
2000-08-08,1650.0,1700.0,1650.0,1665.0,3021,5281,1665.0
2000-08-09,1650.0,1690.0,1650.0,1690.0,2051,4231,1690.0
2000-08-10,1650.0,1675.0,1650.0,1675.0,2101,5330,1675.0
2000-08-11,1660.0,1715.0,1660.0,1690.0,3934,4056,1690.0
2000-08-14,1670.0,1699.0,1670.0,1680.0,3832,2854,1680.0
2000-08-15,1660.0,1700.0,1620.0,1680.0,734,2868,1680.0
2000-08-16,1905.0,1905.0,1900.0,1900.0,800,1696,1900.0
2000-08-17,1680.0,1685.0,1670.0,1680.0,2203,2865,1680.0
2000-08-18,1680.0,1680.0,1670.0,1680.0,2400,2865,1680.0
2000-08-21,1660.0,1680.0,1660.0,1670.0,2400,2865,1670.0
2000-08-22,1670.0,1680.0,1650.0,1680.0,2608,2965,1680.0
2000-08-23,1670.0,1680.0,1670.0,1680.0,1005,1965,1680.0
2000-08-24,1700.0,1700.0,1698.0,1700.0,660,6014,1700.0
2000-08-25,1688.0,1710.0,1688.0,1700.0,1700,5264,1700.0
2000-08-28,1690.0,1751.0,1690.0,1750.0,607,4974,1750.0
2000-08-29,1940.0,1946.0,1930.0,1946.0,1053,1926,1946.0
2000-08-30,1965.0,1970.0,1951.0,1970.0,3301,1057,1970.0
