time,open,high,low,close,volume,open_interest,average_price
2006-01-06,4700.0,4800.0,4650.0,4741.0,10786,2257,4751.0
2006-01-09,4739.0,4756.0,4703.0,4720.0,2843,2021,4724.0
2006-01-10,4687.0,4750.0,4650.0,4745.0,3653,2286,4721.0
2006-01-11,4750.0,4755.0,4689.0,4710.0,5210,2693,4714.0
2006-01-12,4700.0,4705.0,4664.0,4668.0,3560,2906,4675.0
2006-01-13,4665.0,4678.0,4628.0,4632.0,3052,2722,4648.0
2006-01-16,4707.0,4834.0,4694.0,4833.0,12599,4214,4795.0
2006-01-17,4833.0,4873.0,4822.0,4847.0,13983,5080,4846.0
2006-01-18,4884.0,5018.0,4861.0,4990.0,25299,6478,4972.0
2006-01-19,5000.0,5100.0,4982.0,5025.0,31902,7139,5023.0
2006-01-20,5112.0,5204.0,5110.0,5201.0,26447,8486,5150.0
2006-01-23,5356.0,5356.0,5356.0,5356.0,405,8201,5356.0
2006-01-24,5490.0,5678.0,5450.0,5678.0,30178,9172,5603.0
2006-01-25,5670.0,5811.0,5586.0,5712.0,33380,8361,5708.0
2006-01-26,5741.0,5937.0,5680.0,5934.0,39621,11743,5815.0
2006-01-27,6048.0,6048.0,5950.0,6030.0,27603,12989,6005.0
2006-02-06,6246.0,6246.0,6220.0,6246.0,5796,14154,6245.0
2006-02-07,6110.0,6110.0,5995.0,5995.0,2880,13669,6031.0
2006-02-08,5669.0,5669.0,5669.0,5669.0,623,13356,5669.0
2006-02-09,5625.0,5880.0,5500.0,5650.0,35809,12879,5696.0
2006-02-10,5468.0,5585.0,5468.0,5468.0,22465,13519,5512.0
2006-02-13,5380.0,5428.0,5275.0,5308.0,36661,13205,5344.0
2006-02-14,5370.0,5445.0,5357.0,5433.0,28430,12871,5411.0
2006-02-15,5420.0,5470.0,5386.0,5401.0,24801,11664,5427.0
2006-02-16,5390.0,5433.0,5353.0,5364.0,19953,10569,5400.0
2006-02-17,5300.0,5339.0,5184.0,5280.0,13744,8656,5261.0
2006-02-20,5280.0,5354.0,5256.0,5338.0,8107,7402,5327.0
2006-02-21,5631.0,5710.0,5535.0,5701.0,22391,9597,5618.0
2006-02-22,5700.0,5813.0,5666.0,5767.0,48136,12948,5757.0
2006-02-23,5850.0,5880.0,5666.0,5680.0,53186,12869,5781.0
2006-02-24,5549.0,5630.0,5549.0,5550.0,34428,11751,5579.0
2006-02-27,5595.0,5595.0,5430.0,5431.0,36805,12771,5514.0
2006-02-28,5293.0,5332.0,5293.0,5293.0,18840,9414,5303.0
2006-03-01,5350.0,5389.0,5140.0,5150.0,50338,12772,5284.0
2006-03-02,5130.0,5293.0,5125.0,5276.0,53875,11643,5219.0
2006-03-03,5281.0,5335.0,5255.0,5330.0,55292,11299,5299.0
2006-03-06,5349.0,5386.0,5281.0,5322.0,52554,11574,5343.0
2006-03-07,5374.0,5397.0,5212.0,5229.0,71874,13746,5305.0
2006-03-08,5200.0,5216.0,5100.0,5117.0,59124,14068,5148.0
2006-03-09,5052.0,5168.0,5023.0,5151.0,68395,14198,5114.0
2006-03-10,5100.0,5158.0,5060.0,5106.0,76980,14636,5116.0
2006-03-13,5148.0,5148.0,5090.0,5109.0,43079,14876,5120.0
2006-03-14,5132.0,5137.0,5052.0,5063.0,39667,15677,5093.0
2006-03-15,5048.0,5097.0,5037.0,5055.0,47524,15816,5068.0
2006-03-16,5070.0,5147.0,5050.0,5143.0,66709,17841,5100.0
2006-03-17,5128.0,5235.0,5104.0,5219.0,71546,18703,5153.0
2006-03-20,5190.0,5250.0,5056.0,5081.0,93780,18002,5143.0
2006-03-21,5100.0,5142.0,5053.0,5110.0,80712,17232,5102.0
2006-03-22,5158.0,5229.0,5155.0,5210.0,81465,19313,5197.0
2006-03-23,5169.0,5179.0,5120.0,5146.0,49718,17748,5153.0
2006-03-24,5162.0,5198.0,5158.0,5174.0,29429,16410,5179.0
2006-03-27,5221.0,5238.0,5165.0,5175.0,20623,15881,5189.0
2006-03-28,5201.0,5217.0,5103.0,5122.0,20761,14873,5145.0
2006-03-29,5166.0,5185.0,5117.0,5124.0,18106,14167,5146.0
2006-03-30,5110.0,5113.0,5048.0,5050.0,54955,13362,5075.0
2006-03-31,5060.0,5083.0,5026.0,5071.0,44719,13613,5057.0
2006-04-03,5027.0,5040.0,4890.0,4911.0,53700,13913,4952.0
2006-04-04,4950.0,4985.0,4922.0,4964.0,52995,15014,4953.0
2006-04-05,4912.0,4924.0,4779.0,4822.0,53212,17011,4848.0
2006-04-06,4828.0,4860.0,4798.0,4840.0,46397,16914,4832.0
2006-04-07,4830.0,4850.0,4805.0,4816.0,24682,17011,4827.0
2006-04-10,4718.0,4735.0,4637.0,4644.0,35298,17501,4676.0
2006-04-11,4620.0,4676.0,4618.0,4670.0,33805,16593,4649.0
2006-04-12,4668.0,4750.0,4653.0,4737.0,38796,17324,4709.0
2006-04-13,4698.0,4698.0,4574.0,4586.0,48055,17801,4613.0
2006-04-14,4555.0,4571.0,4511.0,4518.0,43730,16882,4538.0
2006-04-17,4495.0,4585.0,4428.0,4571.0,63289,18517,4517.0
2006-04-18,4615.0,4698.0,4568.0,4698.0,43871,19283,4644.0
2006-04-19,4897.0,4900.0,4820.0,4875.0,44894,18640,4865.0
2006-04-20,4811.0,4826.0,4755.0,4760.0,43982,19284,4782.0
2006-04-21,4660.0,4680.0,4595.0,4617.0,42382,20077,4649.0
2006-04-24,4672.0,4835.0,4672.0,4769.0,81082,23038,4768.0
2006-04-25,4667.0,4766.0,4650.0,4702.0,86567,22927,4718.0
2006-04-26,4650.0,4750.0,4632.0,4738.0,73129,22495,4711.0
2006-04-27,4749.0,4790.0,4730.0,4773.0,52397,21062,4765.0
2006-04-28,4757.0,4780.0,4733.0,4778.0,35953,20671,4761.0
2006-05-08,4808.0,4847.0,4750.0,4763.0,43121,21938,4782.0
2006-05-09,4735.0,4779.0,4730.0,4746.0,26767,19164,4760.0
2006-05-10,4800.0,4806.0,4750.0,4762.0,13327,17073,4768.0
2006-05-11,4830.0,5039.0,4822.0,5039.0,39562,24077,4955.0
2006-05-12,5090.0,5253.0,4950.0,5023.0,72436,24252,5098.0
2006-05-15,5040.0,5300.0,5040.0,5257.0,111813,32138,5167.0
2006-05-16,5000.0,5125.0,4960.0,4960.0,89213,25879,5030.0
2006-05-17,5030.0,5062.0,4880.0,4979.0,94737,25570,4976.0
2006-05-18,4900.0,4926.0,4830.0,4836.0,68173,23823,4858.0
2006-05-19,4686.0,4759.0,4680.0,4719.0,52413,22725,4725.0
2006-05-22,4740.0,4810.0,4722.0,4758.0,79378,24128,4772.0
2006-05-23,4800.0,4928.0,4800.0,4881.0,75995,24646,4860.0
2006-05-24,4988.0,5010.0,4900.0,4908.0,121250,27528,4943.0
2006-05-25,4828.0,4855.0,4764.0,4806.0,51228,24786,4809.0
2006-05-26,4830.0,4883.0,4827.0,4875.0,79346,26876,4861.0
2006-05-29,4781.0,4854.0,4759.0,4846.0,70738,29006,4805.0
2006-05-30,4852.0,4903.0,4780.0,4786.0,81150,29385,4842.0
2006-05-31,4814.0,4839.0,4775.0,4776.0,87708,31471,4805.0
2006-06-01,4640.0,4682.0,4612.0,4612.0,48442,31251,4644.0
2006-06-02,4586.0,4630.0,4511.0,4627.0,84608,27645,4571.0
2006-06-05,4675.0,4679.0,4609.0,4644.0,66900,29588,4639.0
2006-06-06,4650.0,4656.0,4559.0,4561.0,73628,31991,4592.0
2006-06-07,4521.0,4555.0,4480.0,4530.0,85490,33291,4522.0
2006-06-08,4580.0,4590.0,4515.0,4520.0,60336,33753,4552.0
2006-06-09,4477.0,4495.0,4445.0,4460.0,77369,34591,4470.0
2006-06-12,4480.0,4490.0,4380.0,4393.0,69478,38083,4443.0
2006-06-13,4361.0,4370.0,4265.0,4265.0,60593,35349,4302.0
2006-06-14,4112.0,4205.0,4043.0,4195.0,142316,27659,4105.0
2006-06-15,4179.0,4230.0,4090.0,4138.0,108460,29303,4164.0
2006-06-16,4230.0,4270.0,4168.0,4204.0,115214,30803,4204.0
2006-06-19,4180.0,4180.0,4060.0,4067.0,93408,33444,4113.0
2006-06-20,4000.0,4136.0,3975.0,4128.0,125031,32743,4060.0
2006-06-21,4200.0,4215.0,4141.0,4175.0,132577,31355,4181.0
2006-06-22,4298.0,4325.0,4265.0,4305.0,107649,30955,4299.0
2006-06-23,4237.0,4254.0,4200.0,4200.0,100002,31943,4228.0
2006-06-26,4179.0,4312.0,4166.0,4296.0,169292,35463,4267.0
2006-06-27,4358.0,4371.0,4230.0,4258.0,193058,37184,4278.0
2006-06-28,4200.0,4256.0,4192.0,4201.0,122940,37658,4226.0
2006-06-29,4220.0,4233.0,4159.0,4168.0,104015,38425,4200.0
2006-06-30,4211.0,4276.0,4205.0,4272.0,165750,39037,4243.0
2006-07-03,4287.0,4288.0,4239.0,4255.0,135581,40041,4264.0
2006-07-04,4280.0,4299.0,4183.0,4194.0,162163,42951,4227.0
2006-07-05,4181.0,4206.0,4138.0,4172.0,116063,41190,4164.0
2006-07-06,4236.0,4299.0,4194.0,4271.0,214242,45736,4252.0
2006-07-07,4300.0,4314.0,4227.0,4228.0,148869,44883,4262.0
2006-07-10,4185.0,4195.0,4123.0,4128.0,119363,43886,4152.0
2006-07-11,4080.0,4159.0,4051.0,4146.0,184777,43040,4120.0
2006-07-12,4139.0,4150.0,4113.0,4136.0,122504,42074,4131.0
