time,open,high,low,close,volume,open_interest,average_price
2013-09-26,525.4,535.2,523.8,534.4,154324,16085,529.4
2013-09-27,535.8,550.6,533.2,546.6,215148,19785,545.0
2013-09-30,545.0,555.8,542.2,555.0,120028,22409,548.8
2013-10-08,555.0,555.0,538.4,547.4,91564,17693,544.4
2013-10-09,546.4,549.6,541.6,547.0,95069,17602,547.2
2013-10-10,545.6,552.0,545.6,547.4,85068,22889,548.2
2013-10-11,549.2,550.8,546.8,547.2,44504,21611,548.6
2013-10-14,548.0,561.2,547.2,560.0,143103,30975,556.6
2013-10-15,561.0,567.0,559.2,563.4,127571,34499,563.0
2013-10-16,563.2,565.8,560.0,563.8,91037,34630,562.8
2013-10-17,565.0,567.8,558.8,561.8,139065,35170,564.0
2013-10-18,562.0,563.2,557.4,562.4,71644,33306,560.8
2013-10-21,563.0,564.2,558.0,559.0,64967,28324,560.8
2013-10-22,558.2,560.8,555.6,560.2,65553,24170,558.0
2013-10-23,561.0,564.4,558.2,559.8,75620,20850,561.4
2013-10-24,560.2,560.4,552.2,553.2,58538,22597,555.2
2013-10-25,554.0,556.4,552.8,555.6,44250,19208,554.8
2013-10-28,556.4,560.2,554.8,558.2,53035,21689,557.8
2013-10-29,557.8,559.4,555.8,558.6,34182,21624,557.6
2013-10-30,559.0,562.0,554.4,556.8,63403,21881,557.0
2013-10-31,555.4,558.0,554.6,555.2,29787,21235,556.2
2013-11-01,553.0,559.2,553.0,559.0,25327,19062,556.6
2013-11-04,559.0,560.8,556.6,557.4,25447,16996,558.6
2013-11-05,556.8,557.6,554.0,554.0,16965,17639,555.8
2013-11-06,554.0,555.2,550.8,550.8,17625,17234,553.0
2013-11-07,551.2,553.6,550.2,552.0,14473,13932,552.0
2013-11-08,559.0,565.6,558.6,559.8,42262,15355,562.8
2013-11-11,560.4,563.0,558.2,559.2,20125,15213,561.0
2013-11-12,559.4,560.4,558.0,560.2,16605,16678,559.4
2013-11-13,560.0,564.0,559.2,563.2,18310,15733,562.0
2013-11-14,564.2,566.6,562.2,565.0,19098,16433,564.4
2013-11-15,565.8,567.6,565.2,565.8,19445,16324,566.4
2013-11-18,566.6,573.0,566.4,572.0,31939,19250,570.8
2013-11-19,571.8,576.2,571.2,576.0,29525,19154,574.0
2013-11-20,576.2,577.6,574.6,576.8,27407,19959,576.2
2013-11-21,576.0,577.6,573.6,574.4,25790,19741,575.8
2013-11-22,575.6,590.6,575.4,588.4,87457,27823,585.4
2013-11-25,590.0,597.6,590.0,593.0,85201,31008,594.0
2013-11-26,594.8,597.4,592.2,597.2,43026,34353,594.2
2013-11-27,598.0,598.6,588.4,592.2,80616,35421,593.0
2013-11-28,593.0,596.0,591.8,594.0,61355,38334,593.8
2013-11-29,595.0,596.8,592.2,595.0,82828,41691,594.8
2013-12-02,595.8,596.6,589.6,594.8,50206,43764,593.6
2013-12-03,594.0,600.4,589.8,591.2,123081,49373,595.6
