true,pred,action,confidence
1249.0,1261.9277,2,0.47900343
1308.0,1265.3829,2,0.47913858
1308.0,1276.3495,2,0.48024672
1299.0,1284.7206,2,0.48086807
1314.0,1291.8014,2,0.48136398
1313.0,1299.2001,2,0.48181483
1313.0,1308.203,2,0.4823079
1309.0,1315.1296,2,0.4826638
1297.0,1320.5873,2,0.48278174
1304.0,1323.2263,2,0.48253524
1304.0,1325.8899,2,0.48241764
1309.0,1326.0507,2,0.4821733
1304.0,1328.1326,2,0.4813641
1306.0,1330.0151,2,0.47989544
1301.0,1332.5212,2,0.47929996
1301.0,1334.7261,2,0.47862464
1302.0,1336.5269,2,0.47588897
1306.0,1340.7352,2,0.47430772
1302.0,1346.358,2,0.4746015
1300.0,1349.8484,2,0.47368494
1295.0,1352.0114,2,0.4732391
1294.0,1351.5365,2,0.4723395
1301.0,1349.3029,2,0.47077644
1304.0,1348.1385,2,0.47070536
1292.0,1348.931,2,0.47071123
1293.0,1347.9691,2,0.46971
1293.0,1347.7252,2,0.4683357
1291.0,1348.5549,2,0.46755895
1289.0,1348.0581,2,0.46588805
1284.0,1346.4349,2,0.46424732
1284.0,1345.2085,2,0.46259785
1279.0,1344.5809,2,0.4611343
1302.0,1343.7845,2,0.45913804
1298.0,1349.2301,2,0.46293488
1282.0,1353.796,2,0.46651122
1271.0,1353.7584,2,0.4684637
1277.0,1349.8092,2,0.4686964
1281.0,1346.7955,2,0.46827933
1287.0,1343.4829,2,0.4672337
1291.0,1341.518,2,0.4675649
1289.0,1342.5338,2,0.46875638
1296.0,1344.2509,2,0.47017378
1296.0,1347.1897,2,0.47206646
1280.0,1349.3013,2,0.47370175
1286.0,1346.1204,2,0.47420228
1292.0,1343.2177,2,0.474146
1285.0,1341.8143,2,0.47424835
1283.0,1338.4388,2,0.4725958
1280.0,1336.7236,2,0.47122067
1280.0,1334.9114,2,0.47057414
1280.0,1333.3739,2,0.47027555
1298.0,1330.9801,2,0.4690719
1295.0,1334.369,2,0.47040257
1293.0,1338.1935,2,0.47166166
1295.0,1341.6788,2,0.47274774
1299.0,1344.8005,2,0.47403684
1296.0,1347.82,2,0.47507498
1294.0,1347.9167,2,0.47545
1296.0,1346.1333,2,0.4764797
1295.0,1344.0178,2,0.47673434
1296.0,1341.478,2,0.4762291
1299.0,1338.8976,2,0.4762498
1294.0,1337.716,2,0.47644663
1297.0,1335.8795,2,0.47601706
1294.0,1334.2931,2,0.47540587
1298.0,1332.5808,2,0.47420067
1294.0,1332.8267,2,0.47177607
1289.0,1333.8514,2,0.46978602
1292.0,1334.5123,2,0.46828586
1288.0,1337.633,2,0.46799505
1288.0,1340.4476,2,0.46731484
1287.0,1342.5795,2,0.46742654
1284.0,1343.9435,2,0.46780863
1285.0,1343.5249,2,0.4673011
1286.0,1342.7671,2,0.46688074
1287.0,1342.4812,2,0.46666196
1298.0,1342.2843,2,0.46649638
1297.0,1344.6919,2,0.4689301
1293.0,1346.7335,2,0.4706438
1292.0,1347.1927,2,0.47178435
1292.0,1346.1858,2,0.4718928
1287.0,1345.0403,2,0.47212
1288.0,1342.1956,2,0.47133863
1281.0,1338.7383,2,0.46972057
1283.0,1335.1592,2,0.46738738
1275.0,1332.7955,2,0.4654461
1268.0,1331.0405,2,0.4629576
1267.0,1330.4601,2,0.46074766
1271.0,1330.0393,2,0.4586968
1238.0,1330.6545,2,0.45802444
1237.0,1327.9656,2,0.4555937
1244.0,1325.8113,2,0.45288786
1250.0,1327.7168,2,0.45296118
1242.0,1329.0214,2,0.45493504
1234.0,1328.3126,2,0.45620236
1237.0,1325.913,2,0.45680937
1238.0,1323.464,2,0.45755908
1238.0,1320.6713,2,0.45785487
1245.0,1318.0278,2,0.45834965
1246.0,1317.3656,2,0.46025613
1241.0,1317.8484,2,0.46256265
1233.0,1316.0231,2,0.46398196
1201.0,1311.5088,2,0.46362284
1193.0,1301.8889,2,0.4608148
1202.0,1293.4387,2,0.4574048
1203.0,1287.285,2,0.4548244
1210.0,1282.6887,2,0.4522878
1207.0,1281.6367,2,0.45148754
1201.0,1281.4645,2,0.45185
1206.0,1280.4276,2,0.45208153
1202.0,1279.6956,2,0.45259994
1205.0,1279.1165,2,0.45360947
1204.0,1279.8633,2,0.45558277
1210.0,1279.7332,2,0.45663163
1209.0,1281.4424,2,0.45916402
1237.0,1282.403,2,0.46166345
1240.0,1286.628,2,0.46588346
1216.0,1287.5923,2,0.47053567
1213.0,1281.3807,2,0.47226387
1211.0,1275.0338,2,0.47187835
1211.0,1268.5697,2,0.47055873
1206.0,1262.8855,2,0.46795854
1208.0,1258.0095,2,0.46440032
1227.0,1255.5835,2,0.46180642
1237.0,1257.8934,2,0.46207875
1240.0,1264.4869,2,0.46455926
1242.0,1271.0286,2,0.4674027
1234.0,1278.532,2,0.47042572
1240.0,1282.681,2,0.47221532
1241.0,1284.9242,2,0.47349602
1243.0,1285.9664,2,0.47322422
1231.0,1287.1226,2,0.4732083
1254.0,1285.3232,2,0.47369367
1261.0,1287.1647,2,0.47492763
1267.0,1288.4547,2,0.47597808
1265.0,1291.201,2,0.47710213
1293.0,1293.6895,2,0.4782732
1297.0,1299.069,2,0.479503
1296.0,1304.7656,2,0.48023498
1295.0,1309.4043,2,0.48069265
1282.0,1312.8313,2,0.48103452
1289.0,1313.6254,2,0.48082063
1284.0,1314.3143,2,0.48067746
1276.0,1314.3958,2,0.4799958
1273.0,1312.6051,2,0.47878397
1264.0,1310.8369,2,0.4770185
1272.0,1308.5262,2,0.4752854
1269.0,1308.3951,2,0.4728094
1277.0,1309.6597,2,0.4705948
1279.0,1313.6404,2,0.46973625
1266.0,1319.4089,2,0.4702812
1263.0,1322.4681,2,0.46856743
1271.0,1323.5476,2,0.46674365
1276.0,1326.1233,2,0.46647123
1276.0,1328.5966,2,0.46696585
1269.0,1330.5657,2,0.46823364
1262.0,1330.7815,2,0.46858454
1264.0,1328.6991,2,0.4683244
1255.0,1326.1527,2,0.46778035
1258.0,1322.1276,2,0.4660993
1258.0,1318.8156,2,0.46508527
1256.0,1316.7225,2,0.4636356
1252.0,1316.4968,2,0.46278217
1280.0,1315.4664,2,0.46058214
1280.0,1321.0697,2,0.46335447
1279.0,1326.2273,2,0.4672424
1269.0,1330.5967,2,0.4706908
1288.0,1331.4482,2,0.4722271
1284.0,1334.6935,2,0.47432792
1286.0,1335.4388,2,0.47530302
1285.0,1334.8656,2,0.47622472
1273.0,1333.8572,2,0.47708964
1277.0,1328.8955,2,0.47705144
1283.0,1324.4835,2,0.47664225
1290.0,1322.1312,2,0.47606245
1301.0,1323.0895,2,0.4760012
1310.0,1326.7513,2,0.47672203
1313.0,1332.0425,2,0.47825107
1312.0,1337.359,2,0.4789661
1307.0,1341.2212,2,0.47969183
1323.0,1342.6919,2,0.48001167
1330.0,1345.4792,2,0.48073146
1331.0,1348.4528,2,0.48104367
1323.0,1350.3717,2,0.4816648
1327.0,1351.0533,2,0.48172638
1331.0,1351.5875,2,0.4817224
1348.0,1352.8098,2,0.48206335
1341.0,1355.9211,2,0.48219857
1346.0,1359.4038,2,0.48226798
1355.0,1362.9086,2,0.48243877
1356.0,1367.5394,2,0.48241886
1380.0,1372.3776,2,0.48243278
1380.0,1377.7734,2,0.48261032
1380.0,1383.4492,2,0.48313344
1378.0,1388.0527,2,0.48387522
1368.0,1390.8838,2,0.4840265
1397.0,1390.4434,2,0.4837038
1384.0,1395.2426,2,0.48304695
1395.0,1398.8267,2,0.48295918
1389.0,1403.0118,2,0.48274747
1387.0,1407.1292,2,0.4827553
1384.0,1410.611,2,0.48269963
1368.0,1412.0061,2,0.4825943
1373.0,1409.6924,2,0.48192626
1387.0,1407.5854,2,0.48042154
1381.0,1409.4728,2,0.47920707
1366.0,1411.984,2,0.47782877
1376.0,1411.6835,2,0.47647205
1380.0,1414.3523,2,0.47563317
1383.0,1418.057,2,0.47535905
1382.0,1421.6019,2,0.4756501
1425.9999,1424.0198,2,0.47527918
1424.0,1429.3212,2,0.47699365
1446.0,1435.5045,2,0.4784034
1496.0,1441.5399,2,0.47985932
1520.0,1454.6428,2,0.48136437
1448.0,1460.1444,2,0.48218998
1480.0,1458.4166,2,0.48315912
1466.0,1461.6,2,0.48322433
1458.0,1462.7483,2,0.48276663
1466.0,1463.5559,2,0.48244718
1476.0,1467.4984,2,0.4823616
1483.0001,1472.8173,2,0.4821283
1481.0,1476.2255,2,0.48162144
1476.0,1482.0673,2,0.4814475
1476.0,1488.7042,2,0.48128474
1499.0,1494.0881,2,0.48076308
1475.0,1500.1064,2,0.48021215
1484.0,1503.6602,2,0.48040354
