true,pred,action,confidence
1249.0,1381.567,2,0.4652397
1308.0,1385.2701,2,0.46603176
1308.0,1391.3143,2,0.46665195
1299.0,1398.3253,2,0.46729553
1314.0,1404.6191,2,0.46787617
1313.0,1410.9127,2,0.46852306
1313.0,1417.5208,2,0.4691268
1309.0,1423.0844,2,0.46972167
1297.0,1426.7938,2,0.4701626
1304.0,1428.3625,2,0.47048795
1304.0,1428.1962,2,0.47063532
1309.0,1424.4468,2,0.4705639
1304.0,1419.9601,2,0.47031665
1306.0,1415.3354,2,0.46989
1301.0,1411.8235,2,0.4692989
1301.0,1407.6433,2,0.4684929
1302.0,1404.7428,2,0.4678915
1306.0,1405.7329,2,0.46730527
1302.0,1409.695,2,0.46704873
1300.0,1412.8647,2,0.46704426
1295.0,1415.3673,2,0.4670933
1294.0,1413.7559,2,0.4669482
1301.0,1410.8881,2,0.4666971
1304.0,1408.3218,2,0.46626648
1292.0,1407.4526,2,0.46599707
1293.0,1406.8125,2,0.46569133
1293.0,1405.224,2,0.46539494
1291.0,1404.1521,2,0.4648056
1289.0,1403.3962,2,0.46418872
1284.0,1402.7935,2,0.46348175
1284.0,1402.2538,2,0.46289498
1279.0,1401.8352,2,0.46242648
1302.0,1401.3992,2,0.4620615
1298.0,1401.8544,2,0.46188995
1282.0,1404.6823,2,0.46220163
1271.0,1405.6891,2,0.46259418
1277.0,1403.4862,2,0.4628337
1281.0,1399.6641,2,0.46297133
1287.0,1396.7247,2,0.46307927
1291.0,1395.4738,2,0.46327013
1289.0,1396.5135,2,0.4636768
1296.0,1399.2015,2,0.46422958
1296.0,1404.0911,2,0.46488854
1280.0,1409.8267,2,0.4653671
1286.0,1410.9276,2,0.46560052
1292.0,1409.6874,2,0.46587405
1285.0,1408.8724,2,0.46614814
1283.0,1406.044,2,0.4662798
1280.0,1402.8589,2,0.46622452
1280.0,1398.1578,2,0.46582818
1280.0,1393.044,2,0.46516305
1298.0,1388.4729,2,0.4643782
1295.0,1389.1097,2,0.4638769
1293.0,1393.7367,2,0.46383438
1295.0,1399.7719,2,0.46422124
1299.0,1406.6361,2,0.4648054
1296.0,1413.8341,2,0.465539
1294.0,1419.5801,2,0.46629807
1296.0,1422.9698,2,0.46692845
1295.0,1424.5177,2,0.46758273
1296.0,1423.5898,2,0.46800604
1299.0,1421.1705,2,0.46815926
1294.0,1418.2432,2,0.46800506
1297.0,1413.3604,2,0.467543
1294.0,1407.8452,2,0.46689636
1298.0,1401.8591,2,0.46603
1294.0,1397.7717,2,0.46532023
1289.0,1395.7375,2,0.46442074
1292.0,1393.684,2,0.46378663
1288.0,1393.5162,2,0.46320313
1288.0,1393.6265,2,0.46288216
1287.0,1394.3141,2,0.46275225
1284.0,1394.9507,2,0.4627454
1285.0,1394.5651,2,0.4628154
1286.0,1394.0698,2,0.46292305
1287.0,1393.4492,2,0.46306077
1298.0,1394.0914,2,0.4633366
1297.0,1398.0835,2,0.4637594
1293.0,1401.213,2,0.4642174
1292.0,1404.4155,2,0.4646164
1292.0,1405.4788,2,0.46497518
1287.0,1405.9614,2,0.4651872
1288.0,1403.0953,2,0.46510074
1281.0,1398.8386,2,0.46491602
1283.0,1394.5497,2,0.4644929
1275.0,1390.9359,2,0.46390814
1268.0,1388.2982,2,0.4631252
1267.0,1386.7247,2,0.46216643
1271.0,1385.3909,2,0.4611421
1238.0,1384.7568,2,0.46024463
1237.0,1384.3356,2,0.45955166
1244.0,1383.1165,2,0.45914054
