true,pred,action,confidence
1249.0,1279.608,0,0.49809045
1308.0,1275.3309,0,0.4923149
1308.0,1300.1674,0,0.49836433
1299.0,1311.7744,0,0.49995345
1314.0,1314.5328,0,0.49726194
1313.0,1322.8464,0,0.49902672
1313.0,1329.4313,0,0.49760872
1309.0,1332.0725,0,0.49513683
1297.0,1332.691,0,0.49184301
1304.0,1326.8599,0,0.48553097
1304.0,1326.4131,0,0.47987458
1309.0,1321.3269,2,0.48551446
1304.0,1323.1835,2,0.487947
1306.0,1315.4576,2,0.4936386
1301.0,1321.4456,2,0.49183905
1301.0,1320.23,2,0.4949037
1302.0,1310.624,2,0.49729478
1306.0,1316.673,2,0.4900378
1302.0,1332.0874,0,0.47865513
1300.0,1319.8447,2,0.47886437
1295.0,1308.5663,2,0.48688167
1294.0,1289.9303,2,0.4999093
1301.0,1282.9335,2,0.5053846
1304.0,1304.7914,2,0.4914391
1292.0,1317.0001,2,0.47958675
1293.0,1294.2515,2,0.492601
1293.0,1288.1738,2,0.49439722
1291.0,1289.1385,2,0.4935337
1289.0,1282.5676,2,0.4963769
1284.0,1279.6207,2,0.498148
1284.0,1273.6617,2,0.49991307
1279.0,1272.8976,2,0.49872717
1302.0,1268.6001,2,0.4964026
1298.0,1311.1831,0,0.48992652
1282.0,1317.5015,0,0.50075966
1271.0,1300.1096,0,0.486192
1277.0,1280.479,2,0.4807009
1281.0,1278.7571,2,0.4831174
1287.0,1282.703,2,0.4796
1291.0,1295.7988,0,0.48129737
1289.0,1305.517,0,0.4889574
1296.0,1306.7314,0,0.48997882
1296.0,1317.0471,0,0.49754813
1280.0,1318.7249,0,0.49725428
1286.0,1300.2513,0,0.4819518
1292.0,1299.0997,0,0.4774178
1285.0,1307.505,0,0.48014107
1283.0,1293.7092,2,0.48136508
1280.0,1288.8494,2,0.48583052
1280.0,1285.4221,2,0.48974273
1280.0,1288.4269,2,0.49044564
1298.0,1285.7753,2,0.4913863
1295.0,1317.3622,0,0.4866414
1293.0,1318.229,0,0.49209177
1295.0,1315.1052,0,0.49125153
1299.0,1318.021,0,0.49307394
1296.0,1319.5867,0,0.493728
1294.0,1315.5691,0,0.48965952
1296.0,1319.4683,0,0.48652768
1295.0,1320.1444,0,0.48548603
1296.0,1311.9492,2,0.47761118
1299.0,1316.3992,2,0.47874832
1294.0,1324.2361,0,0.4776456
1297.0,1316.5505,2,0.48358786
1294.0,1314.4982,2,0.48850414
1298.0,1305.2883,2,0.49662206
1294.0,1305.8468,2,0.49322435
1289.0,1299.2383,2,0.49814284
1292.0,1301.5636,2,0.49071616
1288.0,1308.8597,2,0.48246548
1288.0,1300.2401,2,0.4841199
1287.0,1302.3085,2,0.4801463
1284.0,1301.7646,2,0.4795512
1285.0,1292.7672,2,0.48424068
1286.0,1294.2405,2,0.48385826
1287.0,1295.1034,2,0.4822108
1298.0,1300.1267,0,0.47756088
1297.0,1319.0511,0,0.4893087
1293.0,1318.7588,0,0.4907186
1292.0,1313.2499,0,0.4852984
1292.0,1305.0874,0,0.47952923
1287.0,1306.0914,0,0.4774734
1288.0,1294.3656,2,0.48681843
1281.0,1288.8201,2,0.49107367
1283.0,1278.0789,2,0.50078046
1275.0,1279.8628,2,0.50084805
1268.0,1276.4799,2,0.49901935
1267.0,1271.2185,2,0.5000713
1271.0,1266.7083,2,0.50092405
1238.0,1271.7726,2,0.49530813
1237.0,1254.2532,2,0.49842155
1244.0,1245.69,2,0.4934347
1250.0,1250.8591,2,0.48364946
1242.0,1255.7251,0,0.47611594
1234.0,1250.1548,0,0.4758782
1237.0,1240.44,2,0.4794669
1238.0,1241.3842,2,0.4780453
1238.0,1240.4751,2,0.47663158
1245.0,1242.6932,0,0.47784242
1246.0,1254.0874,0,0.49049526
1241.0,1257.3552,0,0.4927938
1233.0,1250.3368,0,0.48555672
1201.0,1231.6301,2,0.48236167
1193.0,1206.768,2,0.49354565
1202.0,1199.5302,2,0.5016692
1203.0,1204.8278,2,0.49793965
1210.0,1204.28,2,0.49521258
1207.0,1208.7881,2,0.48823878
1201.0,1210.1426,2,0.48561648
1206.0,1205.1163,2,0.48823217
1202.0,1206.647,2,0.4847326
1205.0,1208.2649,2,0.47682354
1204.0,1214.4696,0,0.4824959
1210.0,1209.9387,0,0.4807451
1209.0,1221.5779,0,0.49294466
1237.0,1222.7085,0,0.49569976
1240.0,1244.4927,0,0.50440896
1216.0,1264.7164,0,0.50936145
1213.0,1242.2894,0,0.49037564
1211.0,1230.4834,0,0.47646904
1211.0,1222.3599,2,0.4863094
1206.0,1218.9492,2,0.4914391
1208.0,1210.2567,2,0.50184613
1227.0,1213.3225,2,0.50192153
1237.0,1237.8835,2,0.4810815
1240.0,1257.639,0,0.48663443
1242.0,1265.6383,0,0.49572724
1234.0,1271.2125,0,0.49884516
1240.0,1263.5673,0,0.4918142
1241.0,1267.5261,0,0.49243745
1243.0,1265.6498,0,0.4904753
1231.0,1268.1841,0,0.49173957
1254.0,1264.4933,0,0.48315412
1261.0,1279.0087,0,0.4866888
1267.0,1291.4312,0,0.4938672
1265.0,1302.371,0,0.500042
1293.0,1304.9846,0,0.49659064
1297.0,1318.8768,0,0.5005923
1296.0,1327.0094,0,0.5007624
1295.0,1329.603,0,0.49878445
1282.0,1329.2631,0,0.49494892
1289.0,1314.0844,0,0.48152795
1284.0,1316.68,0,0.48064557
1276.0,1310.6294,2,0.48085406
1273.0,1297.7893,2,0.49177843
1264.0,1287.4235,2,0.5004346
1272.0,1280.2877,2,0.50566405
1269.0,1284.565,2,0.5022048
1277.0,1282.9177,2,0.50133157
1279.0,1296.4357,2,0.48893768
1266.0,1305.8593,2,0.47977534
1263.0,1280.8304,2,0.4913825
1271.0,1268.3549,2,0.49677575
1276.0,1277.926,2,0.48715866
1276.0,1289.0215,0,0.47766757
1269.0,1294.3741,0,0.48313895
1262.0,1282.409,2,0.47723418
1264.0,1268.2798,2,0.48776552
1255.0,1268.0983,2,0.48911512
1258.0,1260.3357,2,0.49351013
1258.0,1264.7903,2,0.49030954
1256.0,1262.2676,2,0.48959544
1252.0,1260.8438,2,0.49033114
1280.0,1249.3888,2,0.49665204
1280.0,1287.7979,0,0.48765364
1279.0,1301.8755,0,0.5017217
1269.0,1306.9885,0,0.5055842
1288.0,1292.7412,0,0.49380365
1284.0,1306.6768,0,0.501516
1286.0,1306.67,0,0.49887002
1285.0,1311.2136,0,0.498771
1273.0,1315.2527,0,0.49633998
1277.0,1295.3268,0,0.4779087
1283.0,1298.1443,2,0.4794977
1290.0,1305.7065,0,0.4786535
1301.0,1318.6758,0,0.48915207
1310.0,1330.1091,0,0.49492592
1313.0,1340.4641,0,0.49929854
1312.0,1343.4757,0,0.49780178
1307.0,1343.4467,0,0.49526176
1323.0,1337.7756,0,0.4898036
1330.0,1351.8654,0,0.4955117
1331.0,1355.0896,0,0.49199533
1323.0,1358.7025,0,0.4905628
1327.0,1351.2764,0,0.4822458
1331.0,1352.254,0,0.4806367
1348.0,1362.3638,0,0.48350897
1341.0,1377.3015,0,0.49153367
1346.0,1374.6057,0,0.4871989
1355.0,1377.9717,0,0.4873157
1356.0,1386.8915,0,0.49129722
1380.0,1389.461,0,0.48987645
1380.0,1400.2344,0,0.49295938
1380.0,1404.9331,0,0.49051103
1378.0,1408.7255,0,0.48872802
1368.0,1408.9622,0,0.48549804
1397.0,1396.043,2,0.4810894
1384.0,1416.5266,0,0.48743483
1395.0,1413.1178,0,0.48403582
1389.0,1421.32,0,0.48951614
1387.0,1419.4387,0,0.4864229
1384.0,1414.846,0,0.48117986
1368.0,1411.8036,2,0.47953373
1373.0,1388.7732,2,0.4974734
1387.0,1383.2223,2,0.50082225
1381.0,1400.9548,2,0.4880765
1366.0,1400.0864,2,0.4866575
1376.0,1377.0574,2,0.5019968
1380.0,1382.8231,2,0.49534878
1383.0,1392.6345,2,0.4857591
1382.0,1401.914,0,0.47847065
1425.9999,1396.8005,0,0.47908032
1424.0,1426.8192,0,0.49460927
1446.0,1430.2911,0,0.49468017
1496.0,1444.7852,0,0.5015955
1520.0,1466.1638,0,0.50607324
1448.0,1491.1731,0,0.5095481
1480.0,1465.24,0,0.4903781
1466.0,1471.9725,0,0.48726195
1458.0,1470.4005,0,0.4825822
1466.0,1463.1924,2,0.4811578
1476.0,1459.6859,2,0.48752332
1483.0001,1467.3464,2,0.48731357
1481.0,1477.2598,2,0.48800394
1476.0,1478.5312,2,0.49042144
1476.0,1484.1648,2,0.4864709
1499.0,1488.086,2,0.48583204
1475.0,1511.7067,0,0.4900329
1484.0,1501.1053,0,0.4798977
1476.0,1496.3658,2,0.48018736
1467.0,1487.9789,2,0.48772356
1460.0,1473.5803,2,0.50309545
1465.0,1455.7128,2,0.5132321
1473.9999,1463.9331,2,0.50630164
1461.0,1479.5647,2,0.49354646
1454.9999,1468.1797,2,0.49743384
1433.0,1457.3287,2,0.5030272
1441.0,1443.9208,2,0.50666785
1429.0,1445.8083,2,0.4997883
1428.0,1438.4122,2,0.5019156
1414.0,1432.2748,2,0.5028237
1417.0,1422.1737,2,0.5020607
1406.0001,1423.5502,2,0.49767667
1386.0,1412.5328,2,0.49821404
1393.0,1400.1887,2,0.50061935
1393.0,1402.5596,2,0.49373955
1408.0,1401.626,2,0.48914814
1406.0001,1413.9376,2,0.47700098
1405.0,1414.1488,0,0.48160785
1411.0001,1416.1707,0,0.48731533
1402.0,1423.8042,0,0.49677357
1397.0,1421.4757,0,0.49591157
1399.0,1409.3007,0,0.48812205
1406.9999,1407.5568,0,0.48594782
1401.0,1415.5964,0,0.49231404
1396.0,1404.0045,0,0.4779894
1400.0,1387.2689,2,0.4885701
1401.0,1392.443,2,0.48729002
1395.0,1402.6246,2,0.48372644
1388.0,1392.4967,2,0.49146807
1369.0,1385.1262,2,0.4961937
1370.0,1366.7426,2,0.5020577
1358.0,1363.9761,2,0.50122404
1358.0,1355.185,2,0.50451946
1372.0,1350.9133,2,0.5028275
1405.0,1367.4681,2,0.48803392
1410.0,1408.9424,0,0.49529615
1404.0,1421.4949,0,0.5073755
1385.0,1420.1829,0,0.50765306
1406.0001,1407.8302,0,0.4958931
1404.0,1421.5436,0,0.5016358
1408.0,1421.1318,0,0.50108063
1425.9999,1425.4902,0,0.502126
1447.0,1435.7755,0,0.50428843
1444.9999,1448.3241,0,0.5063459
1473.9999,1456.3365,0,0.50353116
1468.0,1471.452,0,0.5053147
1472.0,1478.7211,0,0.5001356
1473.0,1485.0325,0,0.49746034
1486.0,1488.0702,0,0.493432
1457.0,1495.6523,0,0.49143317
1468.0,1476.8363,2,0.47870603
1472.0,1477.9551,2,0.48276174
1504.0,1482.541,2,0.48552728
