true,pred,action,confidence
1249.0,1314.9211,2,0.4824983
1308.0,1318.6685,2,0.48252943
1308.0,1329.8912,2,0.48407862
1299.0,1338.5996,2,0.48508063
1314.0,1345.8788,2,0.48569864
1313.0,1353.4507,2,0.4864047
1313.0,1362.4592,2,0.48713377
1309.0,1369.2797,2,0.48759446
1297.0,1374.4781,2,0.48764265
1304.0,1376.7906,2,0.48703295
1304.0,1378.8682,2,0.48652408
1309.0,1378.4425,2,0.48566523
1304.0,1379.818,2,0.48438123
1306.0,1380.9736,2,0.48232973
1301.0,1382.7887,2,0.4815525
1301.0,1384.2124,2,0.4805361
1302.0,1385.2543,2,0.477186
1306.0,1388.8087,2,0.4756708
1302.0,1394.041,2,0.4766129
1300.0,1397.2231,2,0.4757273
1295.0,1399.0024,2,0.47504064
1294.0,1397.8602,2,0.47345716
1301.0,1394.8785,2,0.47126535
1304.0,1393.1906,2,0.47134197
1292.0,1393.8005,2,0.4716629
1293.0,1392.548,2,0.47019017
1293.0,1391.9719,2,0.46843392
1291.0,1392.4722,2,0.46753395
1289.0,1391.5754,2,0.46563673
1284.0,1389.4912,2,0.46379498
1284.0,1387.9094,2,0.4619017
1279.0,1386.982,2,0.46027175
1302.0,1385.9968,2,0.4581549
1298.0,1391.9409,2,0.46298537
1282.0,1397.2316,2,0.46752435
1271.0,1397.6638,2,0.46950457
1277.0,1393.7775,2,0.46927065
1281.0,1390.6022,2,0.46849683
1287.0,1387.0485,2,0.46733838
1291.0,1385.0109,2,0.4679684
1289.0,1386.1722,2,0.46959728
1296.0,1388.1442,2,0.47130263
1296.0,1391.4098,2,0.47368923
1280.0,1393.8115,2,0.47568986
1286.0,1390.7742,2,0.4757662
1292.0,1387.7623,2,0.47538137
1285.0,1386.2555,2,0.47548386
1283.0,1382.7024,2,0.47343248
1280.0,1380.7043,2,0.4717441
1280.0,1378.5919,2,0.4708374
1280.0,1376.7228,2,0.4704062
1298.0,1374.0786,2,0.46903577
1295.0,1377.7173,2,0.47095722
1293.0,1381.955,2,0.47274113
1295.0,1385.8207,2,0.4741673
1299.0,1389.2994,2,0.47588617
1296.0,1392.5981,2,0.47727492
1294.0,1392.7438,2,0.4776723
1296.0,1390.8304,2,0.47871003
1295.0,1388.5933,2,0.47889858
1296.0,1385.8555,2,0.47799528
1299.0,1383.0101,2,0.4778145
1294.0,1381.642,2,0.47798106
1297.0,1379.6108,2,0.4771982
1294.0,1377.7509,2,0.47630504
1298.0,1375.7335,2,0.4746441
1294.0,1375.7667,2,0.4719809
1289.0,1376.4944,2,0.46968484
1292.0,1377.1609,2,0.46818087
1288.0,1380.3604,2,0.46806493
1288.0,1383.2463,2,0.4673537
1287.0,1385.4167,2,0.4676348
1284.0,1386.827,2,0.4681324
1285.0,1386.3495,2,0.46743968
1286.0,1385.4432,2,0.4669433
1287.0,1385.0371,2,0.4666836
1298.0,1384.8853,2,0.46670854
1297.0,1387.5721,2,0.46988237
1293.0,1389.9265,2,0.4718754
1292.0,1390.5906,2,0.4729973
1292.0,1389.6973,2,0.47288263
1287.0,1388.5121,2,0.47299427
1288.0,1385.3647,2,0.47178015
1281.0,1381.5558,2,0.46984553
1283.0,1377.5022,2,0.4669661
1275.0,1374.6945,2,0.46465623
1268.0,1372.6427,2,0.46191737
1267.0,1371.8273,2,0.45947644
1271.0,1371.178,2,0.45722064
1238.0,1371.7496,2,0.4566422
1237.0,1369.1204,2,0.45399773
1244.0,1366.9932,2,0.45126373
1250.0,1369.0101,2,0.45171925
1242.0,1370.7157,2,0.4540748
1234.0,1370.3751,2,0.45551175
1237.0,1368.1973,2,0.45595643
1238.0,1365.8505,2,0.45665222
1238.0,1363.1534,2,0.45696524
1245.0,1360.6333,2,0.4576043
1246.0,1360.4067,2,0.46000272
1241.0,1361.3384,2,0.4627098
1233.0,1359.8372,2,0.46412992
1201.0,1355.324,2,0.46330547
1193.0,1345.6355,2,0.45994774
1202.0,1336.5631,2,0.45590514
1203.0,1329.8259,2,0.45309618
1210.0,1324.8516,2,0.4504438
1207.0,1323.7043,2,0.4497589
1201.0,1323.6313,2,0.45023623
1206.0,1322.7686,2,0.45043656
1202.0,1322.2806,2,0.4510375
1205.0,1322.1123,2,0.45230532
1204.0,1323.3666,2,0.45469445
1210.0,1323.6752,2,0.45594543
