true,pred,action,confidence
1249.0,1398.1621,2,0.46545956
1308.0,1401.8829,2,0.4662591
1308.0,1407.7611,2,0.46694553
1299.0,1414.6969,2,0.46760854
1314.0,1420.8687,2,0.4682304
1313.0,1427.0349,2,0.46891475
1313.0,1433.5083,2,0.46956742
1309.0,1438.9495,2,0.47020313
1297.0,1442.5756,2,0.47065663
1304.0,1444.0797,2,0.47098732
1304.0,1443.8318,2,0.47112677
1309.0,1440.0853,2,0.47101396
1304.0,1435.5979,2,0.470715
1306.0,1431.1228,2,0.47023302
1301.0,1427.5854,2,0.46957454
1301.0,1423.3116,2,0.46868607
1302.0,1420.465,2,0.46801922
1306.0,1421.2926,2,0.46738982
1302.0,1425.0057,2,0.46716806
1300.0,1428.1578,2,0.4671834
1295.0,1430.6359,2,0.46723726
1294.0,1429.143,2,0.46706817
1301.0,1426.301,2,0.4667296
1304.0,1423.6517,2,0.46626976
1292.0,1422.6193,2,0.46601254
1293.0,1421.8739,2,0.46568865
1293.0,1420.3215,2,0.46531826
1291.0,1419.1902,2,0.46468815
1289.0,1418.3458,2,0.4640269
1284.0,1417.6788,2,0.46327028
1284.0,1417.0786,2,0.4626411
1279.0,1416.5939,2,0.46214265
1302.0,1416.0854,2,0.46175784
1298.0,1416.397,2,0.46166158
1282.0,1419.0496,2,0.46204448
1271.0,1420.2036,2,0.4624933
1277.0,1418.1952,2,0.46274066
1281.0,1414.5479,2,0.4628682
1287.0,1411.7642,2,0.46297812
1291.0,1410.5435,2,0.46319753
1289.0,1411.554,2,0.46363753
1296.0,1414.295,2,0.4642396
1296.0,1419.2229,2,0.46496147
1280.0,1425.0453,2,0.46550712
1286.0,1426.022,2,0.46575266
1292.0,1424.7963,2,0.46603227
1285.0,1424.0072,2,0.4663206
1283.0,1421.2479,2,0.46645442
1280.0,1418.1332,2,0.46637863
1280.0,1413.6027,2,0.46594137
1280.0,1408.4994,2,0.4652033
1298.0,1403.8689,2,0.4643277
1295.0,1404.3046,2,0.4638469
1293.0,1408.9036,2,0.46384013
1295.0,1414.9385,2,0.46427238
1299.0,1421.8618,2,0.46492106
1296.0,1428.995,2,0.46572205
1294.0,1434.7094,2,0.46654496
1296.0,1437.9891,2,0.46722043
1295.0,1439.5403,2,0.46791813
1296.0,1438.6716,2,0.46836063
1299.0,1436.3195,2,0.46850973
1294.0,1433.433,2,0.46833763
1297.0,1428.6057,2,0.46783164
1294.0,1423.2231,2,0.46712685
1298.0,1417.171,2,0.46615756
1294.0,1413.027,2,0.46534264
1289.0,1410.8585,2,0.46437982
1292.0,1408.8091,2,0.46368122
1288.0,1408.4651,2,0.46310335
1288.0,1408.5249,2,0.4627738
1287.0,1409.2166,2,0.46264505
1284.0,1409.8596,2,0.46264628
1285.0,1409.5481,2,0.46272135
1286.0,1409.1031,2,0.46283105
1287.0,1408.5305,2,0.4629732
1298.0,1409.1105,2,0.4632608
1297.0,1413.1285,2,0.46373072
1293.0,1416.2928,2,0.46423948
1292.0,1419.5072,2,0.4646748
1292.0,1420.6074,2,0.46505493
1287.0,1421.1115,2,0.46527997
1288.0,1418.3712,2,0.46518528
1281.0,1414.1375,2,0.46495086
1283.0,1409.8954,2,0.46444234
1275.0,1406.2532,2,0.46378607
1268.0,1403.5667,2,0.46293592
1267.0,1401.8716,2,0.46191454
1271.0,1400.4424,2,0.46082896
1238.0,1399.6783,2,0.45988908
1237.0,1399.1357,2,0.459161
1244.0,1397.8403,2,0.45874017
1250.0,1396.0067,2,0.45847306
1242.0,1393.7418,2,0.4585182
1234.0,1391.4874,2,0.4587594
1237.0,1388.7319,2,0.4589502
1238.0,1385.8246,2,0.45911357
1238.0,1383.5447,2,0.4593132
1245.0,1381.7328,2,0.45954204
1246.0,1382.5621,2,0.46011996
1241.0,1385.8058,2,0.4608086
1233.0,1387.3356,2,0.4613201
1201.0,1384.6707,2,0.46136466
1193.0,1379.3407,2,0.46112946
1202.0,1373.5632,2,0.46043372
1203.0,1368.4133,2,0.45965186
1210.0,1364.6399,2,0.45884344
1207.0,1362.257,2,0.45808974
1201.0,1360.8783,2,0.4573009
1206.0,1359.9149,2,0.45641276
1202.0,1359.2605,2,0.45570636
1205.0,1359.1208,2,0.45545754
1204.0,1359.9598,2,0.45569724
1210.0,1360.9943,2,0.45624068
1209.0,1365.2771,2,0.45733446
1237.0,1371.0549,2,0.4585706
1240.0,1378.6432,2,0.45991167
1216.0,1386.858,2,0.46124807
1213.0,1388.4822,2,0.46215466
1211.0,1386.1345,2,0.4627716
1211.0,1381.1868,2,0.46291447
1206.0,1374.5421,2,0.46266347
1208.0,1367.4756,2,0.46186525
1227.0,1361.909,2,0.46072733
1237.0,1359.2192,2,0.45967484
1240.0,1360.9432,2,0.458819
1242.0,1365.4904,2,0.45851254
1234.0,1373.1582,2,0.4588182
1240.0,1379.499,2,0.45950487
1241.0,1385.599,2,0.46050987
1243.0,1391.3865,2,0.46172172
1231.0,1397.8593,2,0.46305045
1254.0,1399.8281,2,0.46400124
1261.0,1400.4656,2,0.46479663
1267.0,1402.5641,2,0.46540135
1265.0,1407.1274,2,0.46595162
1293.0,1411.4982,2,0.46634904
1297.0,1417.2914,2,0.46691972
1296.0,1424.2601,2,0.46750084
1295.0,1431.8315,2,0.46819836
1282.0,1437.9685,2,0.4688151
1289.0,1438.9921,2,0.46923998
1284.0,1438.8441,2,0.46961495
1276.0,1435.8192,2,0.46964025
1273.0,1429.6282,2,0.46929792
1264.0,1421.2356,2,0.46864548
1272.0,1411.6078,2,0.46759653
1269.0,1403.55,2,0.46635297
1277.0,1398.9851,2,0.46501365
1279.0,1396.5714,2,0.4638535
1266.0,1396.8203,2,0.46299577
1263.0,1396.7711,2,0.4624482
1271.0,1397.1112,2,0.46202657
1276.0,1397.3943,2,0.4618242
1276.0,1398.9645,2,0.46197549
1269.0,1402.2524,2,0.46246627
1262.0,1403.514,2,0.46291354
1264.0,1402.6633,2,0.46309054
1255.0,1400.0857,2,0.4629995
1258.0,1397.2894,2,0.46262872
1258.0,1394.9943,2,0.46213132
1256.0,1393.2808,2,0.46170783
1252.0,1392.2928,2,0.4612089
1280.0,1391.4591,2,0.46058854
1280.0,1392.2772,2,0.46026623
1279.0,1396.6052,2,0.46049523
1269.0,1404.0438,2,0.46138853
1288.0,1409.6306,2,0.46238133
1284.0,1417.5383,2,0.46375626
1286.0,1424.5988,2,0.46501333
1285.0,1431.1737,2,0.46627942
1273.0,1435.8481,2,0.4673276
1277.0,1433.8936,2,0.4679479
1283.0,1429.665,2,0.46824822
1290.0,1425.54,2,0.46817908
1301.0,1425.2377,2,0.46810588
1310.0,1428.4119,2,0.46813732
1313.0,1433.6394,2,0.46832117
1312.0,1440.2181,2,0.4686421
1307.0,1447.2711,2,0.46905747
1323.0,1451.7665,2,0.469453
1330.0,1457.7483,2,0.4700136
1331.0,1462.5226,2,0.47059226
1323.0,1466.7595,2,0.47122198
1327.0,1466.8994,2,0.47157466
1331.0,1465.7169,2,0.47173303
1348.0,1464.5614,2,0.47164097
1341.0,1465.6664,2,0.47160697
1346.0,1466.9198,2,0.47149172
1355.0,1468.9683,2,0.47156036
1356.0,1472.4436,2,0.4716652
1380.0,1476.7368,2,0.4718078
1380.0,1482.2972,2,0.47208092
1380.0,1487.5006,2,0.47238377
1378.0,1491.6008,2,0.47275797
1368.0,1493.7319,2,0.47306275
1397.0,1492.2262,2,0.4731769
1384.0,1494.2057,2,0.4733938
1395.0,1495.292,2,0.47342393
1389.0,1497.6938,2,0.47360128
1387.0,1499.8661,2,0.47366756
1384.0,1500.6274,2,0.47372556
1368.0,1500.1443,2,0.47367376
1373.0,1493.4187,2,0.4732986
1387.0,1485.2845,2,0.47281563
1381.0,1480.9672,2,0.47241202
1366.0,1478.0969,2,0.47197202
1376.0,1472.9474,2,0.4712656
1380.0,1467.9872,2,0.4706076
1383.0,1466.3809,2,0.46995902
1382.0,1467.843,2,0.46956438
1425.9999,1470.2576,2,0.4694785
1424.0,1479.0555,2,0.46985036
1446.0,1487.2534,2,0.4705079
1496.0,1498.0659,2,0.47133398
1520.0,1511.1357,2,0.4722292
1448.0,1526.7738,2,0.47324395
1480.0,1533.7351,2,0.474195
1466.0,1536.2362,2,0.47489694
1458.0,1536.3345,2,0.4752992
1466.0,1532.848,2,0.47545093
1476.0,1526.4098,2,0.475204
1483.0001,1521.0282,2,0.47483903
1481.0,1517.8539,2,0.47429988
1476.0,1515.3789,2,0.4737347
1476.0,1513.507,2,0.47311664
1499.0,1513.631,2,0.47270417
1475.0,1519.2723,2,0.47279966
1484.0,1523.434,2,0.4728785
1476.0,1526.2704,2,0.47324407
1467.0,1528.5854,2,0.47353125
1460.0,1527.4459,2,0.4734614
1465.0,1523.5071,2,0.47332487
1473.9999,1521.3641,2,0.472973
1461.0,1520.53,2,0.47258517
1454.9999,1519.6414,2,0.47211647
1433.0,1517.5425,2,0.47147858
1441.0,1516.0261,2,0.4707872
1429.0,1514.1394,2,0.4701404
1428.0,1511.7432,2,0.46941063
1414.0,1508.866,2,0.46881273
1417.0,1507.061,2,0.4685691
1406.0001,1504.6206,2,0.4682568
1386.0,1501.6697,2,0.4679233
1393.0,1497.9602,2,0.46746197
1393.0,1493.5261,2,0.46706474
1408.0,1489.0782,2,0.46671128
1406.0001,1485.449,2,0.46657822
1405.0,1483.7981,2,0.46667492
1411.0001,1483.8314,2,0.46700987
1402.0,1486.3785,2,0.46770436
1397.0,1489.0917,2,0.46837702
1399.0,1490.4628,2,0.4690703
1406.9999,1491.4518,2,0.4697421
1401.0,1494.1628,2,0.47051898
1396.0,1492.9237,2,0.47075602
1400.0,1487.1721,2,0.47074506
1401.0,1481.7443,2,0.4704838
1395.0,1476.8921,2,0.46991727
1388.0,1472.0914,2,0.46919093
1369.0,1467.7513,2,0.46835804
1370.0,1464.1405,2,0.46757177
1358.0,1460.9165,2,0.46665177
1358.0,1457.5071,2,0.46562403
1372.0,1454.8071,2,0.46476266
1405.0,1452.6848,2,0.46417737
1410.0,1454.3673,2,0.4642247
1404.0,1460.4246,2,0.4648242
1385.0,1468.4948,2,0.46589422
1406.0001,1474.7661,2,0.46700692
1404.0,1482.0084,2,0.46830747
1408.0,1489.0513,2,0.46952653
1425.9999,1496.9736,2,0.47076106
1447.0,1505.8281,2,0.47193697
1444.9999,1514.8828,2,0.47302273
1473.9999,1522.6333,2,0.47377768
1468.0,1530.6716,2,0.47441474
1472.0,1537.5999,2,0.47483087
1473.0,1543.203,2,0.47530055
1486.0,1546.9727,2,0.4757054
1457.0,1550.6151,2,0.47602767
1468.0,1549.7654,2,0.47624013
1472.0,1546.3442,2,0.47624537
1504.0,1541.5603,2,0.47599345
1487.0,1541.5013,2,0.47592667
1505.0,1542.7544,2,0.47577834
1521.0,1546.8018,2,0.47593012
1516.0,1554.9015,2,0.4761173
1540.0,1563.1511,2,0.4765219
1545.0,1573.1654,2,0.4769818
1547.0,1584.1619,2,0.47758457
1526.0001,1594.9586,2,0.4782581
1497.0,1599.357,2,0.47882015
1515.0,1594.3938,2,0.47902295
1529.0,1586.1637,2,0.47901502
1517.0001,1580.7192,2,0.47871292
1512.0001,1575.0669,2,0.47829095
1505.0,1568.9731,2,0.47777092
1502.0001,1562.8447,2,0.47712296
1511.0,1557.1948,2,0.4763318
1491.0,1553.5732,2,0.47560033
1476.0,1550.614,2,0.47486785
1480.0,1547.35,2,0.47434655
1477.0,1543.331,2,0.4739535
1465.0,1539.7382,2,0.47343463
1468.9999,1535.6124,2,0.47277907
1478.0001,1531.3691,2,0.47220045
1480.0,1528.8323,2,0.4716797
1473.0,1528.2572,2,0.4714312
1467.0,1528.8994,2,0.4714083
1476.0,1529.853,2,0.47152692
1467.0,1532.0311,2,0.47189763
1473.0,1533.2587,2,0.4721681
1476.0,1535.2844,2,0.47266203
1478.0001,1538.515,2,0.47324732
1470.0,1541.6853,2,0.47373492
1461.0,1540.495,2,0.47390148
1454.0001,1535.8723,2,0.47384095
1444.9999,1529.945,2,0.47352093
1427.0,1523.7867,2,0.47298396
1437.0,1516.9126,2,0.47221163
1430.9999,1510.9723,2,0.4713101
1425.0001,1505.6836,2,0.47032607
1422.0,1500.639,2,0.46925405
1430.9999,1496.071,2,0.46819362
1425.0001,1493.0481,2,0.4674286
1423.0,1491.009,2,0.4668882
1420.0,1488.9493,2,0.46660894
1396.0,1487.1013,2,0.46647647
1381.0,1484.9373,2,0.4663381
1379.0,1481.4375,2,0.4661758
1369.0,1477.193,2,0.4658695
1411.0001,1472.8342,2,0.46550357
1417.0,1469.9567,2,0.46548155
1428.0,1471.498,2,0.46574676
1411.0001,1477.8572,2,0.46664587
1410.0,1485.453,2,0.467598
1403.0,1492.1403,2,0.46866894
1410.0,1496.6155,2,0.4696218
1394.0,1499.8223,2,0.47055212
1386.0,1499.5846,2,0.47114834
1386.0,1492.6476,2,0.4712879
1391.0,1482.5897,2,0.47103313
1397.0,1473.8292,2,0.47036332
1385.0,1467.3829,2,0.46945444
1397.0,1462.4299,2,0.468379
1400.0,1459.4874,2,0.4674644
1418.0,1461.543,2,0.46708035
1420.9999,1469.2853,2,0.46730453
1418.0,1479.6221,2,0.4678676
