true,pred,action,confidence
1249.0,1284.3307,0,0.49259493
1308.0,1279.405,0,0.4868971
1308.0,1304.7816,0,0.49255934
1299.0,1316.3403,0,0.49397883
1314.0,1318.9167,0,0.49125335
1313.0,1326.9248,0,0.4929412
1313.0,1333.3468,0,0.49142435
1309.0,1336.1328,0,0.4889143
1297.0,1337.0115,0,0.48561755
1304.0,1331.316,2,0.48441586
1304.0,1331.0208,2,0.49011728
1309.0,1325.6481,2,0.4985201
1304.0,1326.8337,2,0.50124294
1306.0,1318.8538,2,0.5070642
1301.0,1324.3878,2,0.50561625
1301.0,1322.8429,2,0.5089179
1302.0,1311.325,2,0.5110369
1306.0,1317.3822,2,0.50395656
1302.0,1331.4912,2,0.49065873
1300.0,1319.8809,2,0.49281788
1295.0,1308.0876,2,0.50064725
1294.0,1289.5931,2,0.51353997
1301.0,1281.7415,2,0.51914066
1304.0,1303.3278,2,0.505877
1292.0,1314.8242,2,0.49404353
1293.0,1291.8668,2,0.5068202
1293.0,1285.4498,2,0.508555
1291.0,1285.7518,2,0.50782585
1289.0,1279.3937,2,0.5105276
1284.0,1276.0253,2,0.5123506
1284.0,1270.1378,2,0.51403594
1279.0,1269.1904,2,0.5129333
1302.0,1265.2059,2,0.51057726
1298.0,1308.2719,0,0.4827509
1282.0,1315.6705,0,0.4938882
1271.0,1297.7643,0,0.4796094
1277.0,1277.0464,2,0.4948599
1281.0,1275.2438,2,0.497116
1287.0,1279.5034,2,0.49367398
1291.0,1293.9315,2,0.4843196
1289.0,1304.2556,0,0.48255408
1296.0,1305.3208,0,0.48372895
1296.0,1315.8132,0,0.49127367
1280.0,1317.6849,0,0.4911151
1286.0,1299.1075,2,0.48417377
1292.0,1297.9861,2,0.48889887
1285.0,1306.7758,2,0.4863709
1283.0,1292.4218,2,0.49442306
1280.0,1287.6904,2,0.49883157
1280.0,1285.05,2,0.5029445
1280.0,1287.753,2,0.50390005
1298.0,1284.7142,2,0.50495946
1295.0,1316.2661,0,0.48026636
1293.0,1317.6277,0,0.48577306
1295.0,1314.5243,0,0.4850229
1299.0,1317.7112,0,0.48682398
1296.0,1319.4808,0,0.48749277
1294.0,1315.2432,0,0.48360196
1296.0,1320.2992,2,0.48070583
1295.0,1320.9143,2,0.4816615
1296.0,1311.7825,2,0.49086955
1299.0,1316.5317,2,0.49208325
1294.0,1324.8386,2,0.48964605
1297.0,1316.2589,2,0.49689293
1294.0,1313.9756,2,0.5018982
1298.0,1305.4727,2,0.51007277
1294.0,1304.1471,2,0.50678545
1289.0,1297.2218,2,0.5117808
1292.0,1298.9329,2,0.50457895
1288.0,1306.268,2,0.49652922
1288.0,1297.5004,2,0.4980484
1287.0,1299.2765,2,0.49421933
1284.0,1298.6255,2,0.4936525
1285.0,1289.5319,2,0.49816343
1286.0,1291.1512,2,0.4978864
1287.0,1291.8817,2,0.49623132
1298.0,1296.5079,2,0.48815614
1297.0,1317.9287,0,0.48282152
1293.0,1317.2593,0,0.48436266
1292.0,1311.7642,2,0.48071623
1292.0,1302.9429,2,0.48630673
1287.0,1304.2834,2,0.48856458
1288.0,1293.1501,2,0.500235
1281.0,1287.3595,2,0.50457203
1283.0,1275.7002,2,0.51426077
1275.0,1276.845,2,0.5145375
1268.0,1272.827,2,0.51277155
1267.0,1267.1135,2,0.5138671
1271.0,1262.4777,2,0.5148131
1238.0,1267.5201,2,0.5094597
1237.0,1249.61,2,0.5122942
1244.0,1240.3008,2,0.50717115
1250.0,1245.4485,2,0.49761775
1242.0,1251.6766,2,0.4882485
1234.0,1246.0925,2,0.48825088
1237.0,1236.3606,2,0.49312183
1238.0,1238.0239,2,0.49170077
1238.0,1237.1987,2,0.4901975
